카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020년04월_계_총인구수,"46,122","14,284","2,882","3,256","1,281","3,697","1,932","2,872","2,676","1,902","2,469","4,488","4,383"
2020년04월_계_연령구간인구수,"46,122","14,284","2,882","3,256","1,281","3,697","1,932","2,872","2,676","1,902","2,469","4,488","4,383"
2020년04월_계_0~9세,"2,344","1,074",130,118,41,147,66,77,85,77,114,216,199
2020년04월_계_10~19세,"3,041","1,239",114,183,52,210,110,146,129,87,122,321,328
2020년04월_계_20~29세,"4,931","1,684",253,285,104,345,185,633,232,169,205,417,419
2020년04월_계_30~39세,"3,731","1,490",226,249,83,252,128,160,199,134,186,312,312
2020년04월_계_40~49세,"5,368","1,935",327,339,115,394,182,237,270,184,261,577,547
2020년04월_계_50~59세,"8,178","2,269",541,646,258,708,394,431,465,351,462,831,822
2020년04월_계_60~69세,"7,895","2,023",561,646,255,687,373,460,538,392,475,779,706
2020년04월_계_70~79세,"6,268","1,579",441,493,206,547,285,409,423,319,395,572,599
2020년04월_계_80~89세,"3,748",840,248,251,139,362,178,275,282,161,220,393,399
2020년04월_계_90~99세,584,140,40,43,27,39,30,42,50,26,28,67,52
2020년04월_계_100세 이상,34,11,1,3,1,6,1,2,3,2,1,3,0
2020년04월_남_총인구수,"23,501","7,244","1,450","1,654",643,"1,905",995,"1,650","1,354",942,"1,225","2,259","2,180"
2020년04월_남_연령구간인구수,"23,501","7,244","1,450","1,654",643,"1,905",995,"1,650","1,354",942,"1,225","2,259","2,180"
2020년04월_남_0~9세,"1,179",527,64,57,20,82,39,34,47,45,50,116,98
2020년04월_남_10~19세,"1,589",648,60,92,22,111,60,95,65,43,59,177,157
2020년04월_남_20~29세,"2,938",955,133,158,58,201,102,545,131,81,106,231,237
2020년04월_남_30~39세,"1,972",773,120,137,43,144,68,91,113,62,91,167,163
2020년04월_남_40~49세,"3,137","1,084",206,202,65,239,105,141,183,116,164,318,314
2020년04월_남_50~59세,"4,531","1,222",300,353,151,392,216,238,257,189,264,475,474
2020년04월_남_60~69세,"4,057","1,003",278,358,137,363,215,230,265,200,234,399,375
2020년04월_남_70~79세,"2,769",708,199,213,88,237,127,181,188,144,191,247,246
2020년04월_남_80~89세,"1,199",292,81,75,51,125,59,87,96,53,63,109,108
2020년04월_남_90~99세,127,31,9,9,8,10,4,8,9,9,3,19,8
2020년04월_남_100세 이상,3,1,0,0,0,1,0,0,0,0,0,1,0
2020년04월_여_총인구수,"22,621","7,040","1,432","1,602",638,"1,792",937,"1,222","1,322",960,"1,244","2,229","2,203"
2020년04월_여_연령구간인구수,"22,621","7,040","1,432","1,602",638,"1,792",937,"1,222","1,322",960,"1,244","2,229","2,203"
2020년04월_여_0~9세,"1,165",547,66,61,21,65,27,43,38,32,64,100,101
2020년04월_여_10~19세,"1,452",591,54,91,30,99,50,51,64,44,63,144,171
2020년04월_여_20~29세,"1,993",729,120,127,46,144,83,88,101,88,99,186,182
2020년04월_여_30~39세,"1,759",717,106,112,40,108,60,69,86,72,95,145,149
2020년04월_여_40~49세,"2,231",851,121,137,50,155,77,96,87,68,97,259,233
2020년04월_여_50~59세,"3,647","1,047",241,293,107,316,178,193,208,162,198,356,348
2020년04월_여_60~69세,"3,838","1,020",283,288,118,324,158,230,273,192,241,380,331
2020년04월_여_70~79세,"3,499",871,242,280,118,310,158,228,235,175,204,325,353
2020년04월_여_80~89세,"2,549",548,167,176,88,237,119,188,186,108,157,284,291
2020년04월_여_90~99세,457,109,31,34,19,29,26,34,41,17,25,48,44
2020년04월_여_100세 이상,31,10,1,3,1,5,1,2,3,2,1,2,0
