카테고리,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020년01월_계_총인구수,"62,628","29,521","8,688","2,411","4,495","5,374","5,390","4,444","2,305"
2020년01월_계_연령구간인구수,"62,628","29,521","8,688","2,411","4,495","5,374","5,390","4,444","2,305"
2020년01월_계_0~9세,"3,259","2,304",329,60,136,133,116,133,48
2020년01월_계_10~19세,"4,619","2,988",572,136,210,197,227,188,101
2020년01월_계_20~29세,"5,307","3,030",589,128,520,309,269,335,127
2020년01월_계_30~39세,"5,509","3,447",626,130,282,335,277,285,127
2020년01월_계_40~49세,"7,908","4,534","1,063",242,405,511,545,427,181
2020년01월_계_50~59세,"11,019","4,966","1,575",483,790,"1,007",995,807,396
2020년01월_계_60~69세,"11,524","4,056","1,860",517,971,"1,343","1,286",942,549
2020년01월_계_70~79세,"8,538","2,729","1,390",454,730,971,"1,034",790,440
2020년01월_계_80~89세,"4,339","1,292",580,233,397,503,569,469,296
2020년01월_계_90~99세,584,171,93,28,53,63,71,67,38
2020년01월_계_100세 이상,22,4,11,0,1,2,1,1,2
2020년01월_남_총인구수,"31,623","14,907","4,342","1,157","2,337","2,775","2,667","2,271","1,167"
2020년01월_남_연령구간인구수,"31,623","14,907","4,342","1,157","2,337","2,775","2,667","2,271","1,167"
2020년01월_남_0~9세,"1,634","1,166",166,22,61,63,59,69,28
2020년01월_남_10~19세,"2,402","1,538",314,61,109,113,115,98,54
2020년01월_남_20~29세,"3,098","1,718",336,70,368,195,150,196,65
2020년01월_남_30~39세,"3,070","1,843",349,71,162,215,171,180,79
2020년01월_남_40~49세,"4,519","2,422",610,146,256,340,346,271,128
2020년01월_남_50~59세,"5,750","2,524",848,258,397,538,522,436,227
2020년01월_남_60~69세,"5,529","1,950",857,249,494,643,615,459,262
2020년01월_남_70~79세,"3,970","1,268",636,199,337,458,476,383,213
2020년01월_남_80~89세,"1,527",441,203,76,138,196,201,165,107
2020년01월_남_90~99세,120,37,21,5,14,14,12,13,4
2020년01월_남_100세 이상,4,0,2,0,1,0,0,1,0
2020년01월_여_총인구수,"31,005","14,614","4,346","1,254","2,158","2,599","2,723","2,173","1,138"
2020년01월_여_연령구간인구수,"31,005","14,614","4,346","1,254","2,158","2,599","2,723","2,173","1,138"
2020년01월_여_0~9세,"1,625","1,138",163,38,75,70,57,64,20
2020년01월_여_10~19세,"2,217","1,450",258,75,101,84,112,90,47
2020년01월_여_20~29세,"2,209","1,312",253,58,152,114,119,139,62
2020년01월_여_30~39세,"2,439","1,604",277,59,120,120,106,105,48
2020년01월_여_40~49세,"3,389","2,112",453,96,149,171,199,156,53
2020년01월_여_50~59세,"5,269","2,442",727,225,393,469,473,371,169
2020년01월_여_60~69세,"5,995","2,106","1,003",268,477,700,671,483,287
2020년01월_여_70~79세,"4,568","1,461",754,255,393,513,558,407,227
2020년01월_여_80~89세,"2,812",851,377,157,259,307,368,304,189
2020년01월_여_90~99세,464,134,72,23,39,49,59,54,34
2020년01월_여_100세 이상,18,4,9,0,0,2,1,0,2
