,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년03월_계_총인구수,"542,678","55,677","17,369","6,721","7,844","3,819","3,259","6,362","10,072","9,731","10,173","74,847","80,833","9,584","41,543","34,489","7,943","56,352","36,902","69,158"
2020년03월_계_연령구간인구수,"542,678","55,677","17,369","6,721","7,844","3,819","3,259","6,362","10,072","9,731","10,173","74,847","80,833","9,584","41,543","34,489","7,943","56,352","36,902","69,158"
2020년03월_계_0~9세,"51,484","6,733","2,648",241,223,78,94,184,579,683,639,"5,080","7,757",568,"2,807","1,763",586,"5,789","3,939","11,093"
2020년03월_계_10~19세,"62,500","5,910","1,232",366,344,123,165,234,744,613,719,"8,368","10,837",736,"4,017","3,389",811,"8,135","5,295","10,462"
2020년03월_계_20~29세,"69,225","5,557","2,166",645,704,322,303,512,"1,343","1,215","1,478","12,516","10,877","1,292","6,338","5,910","1,043","6,759","4,317","5,928"
2020년03월_계_30~39세,"72,070","9,248","4,031",568,635,259,264,476,"1,326","1,292","1,243","8,484","9,995","1,014","4,691","3,190",862,"7,226","5,054","12,212"
2020년03월_계_40~49세,"99,541","10,586","2,691",884,787,373,364,615,"1,457","1,304","1,484","12,518","15,684","1,362","6,798","5,379","1,298","12,144","7,956","15,857"
2020년03월_계_50~59세,"95,500","8,210","2,569","1,541","1,716",866,752,"1,219","2,062","1,858","2,143","16,191","14,400","2,033","8,824","7,733","1,594","8,738","5,710","7,341"
2020년03월_계_60~69세,"54,422","5,547","1,284","1,291","1,773",897,773,"1,688","1,521","1,529","1,480","7,026","6,901","1,508","4,928","4,302","1,052","4,285","2,769","3,868"
2020년03월_계_70~79세,"25,588","2,598",449,753,"1,011",590,371,929,714,864,693,"3,088","2,947",730,"2,189","1,891",482,"2,239","1,314","1,736"
2020년03월_계_80~89세,"10,936","1,131",267,369,575,276,140,435,286,332,258,"1,408","1,282",313,845,843,189,925,489,573
2020년03월_계_90~99세,"1,332",150,31,61,75,34,30,68,35,36,30,158,147,27,95,85,21,105,59,85
2020년03월_계_100세 이상,80,7,1,2,1,1,3,2,5,5,6,10,6,1,11,4,5,7,0,3
2020년03월_남_총인구수,"274,437","28,663","8,872","3,646","4,265","2,014","1,799","3,303","5,157","4,941","5,207","37,258","40,515","5,055","21,131","17,649","4,033","28,082","18,520","34,327"
2020년03월_남_연령구간인구수,"274,437","28,663","8,872","3,646","4,265","2,014","1,799","3,303","5,157","4,941","5,207","37,258","40,515","5,055","21,131","17,649","4,033","28,082","18,520","34,327"
2020년03월_남_0~9세,"26,233","3,449","1,319",141,122,52,57,82,291,355,344,"2,655","3,984",288,"1,422",913,309,"2,909","1,979","5,562"
2020년03월_남_10~19세,"32,653","3,092",631,199,202,64,84,138,382,333,389,"4,389","5,726",392,"2,128","1,781",399,"4,173","2,747","5,404"
2020년03월_남_20~29세,"37,461","3,050","1,101",388,450,192,172,312,757,687,804,"6,684","5,869",712,"3,425","3,314",562,"3,611","2,275","3,096"
2020년03월_남_30~39세,"36,984","4,817","2,095",316,396,153,169,284,758,667,666,"4,412","4,959",587,"2,553","1,766",463,"3,549","2,586","5,788"
2020년03월_남_40~49세,"49,542","5,709","1,406",551,511,230,220,356,761,699,748,"5,792","7,451",740,"3,398","2,624",643,"5,945","3,886","7,872"
2020년03월_남_50~59세,"49,243","4,230","1,296",881,984,479,437,645,"1,036",925,"1,097","8,054","7,404","1,094","4,453","3,930",825,"4,586","3,023","3,864"
2020년03월_남_60~69세,"27,689","2,766",730,699,958,476,421,898,777,771,737,"3,662","3,484",819,"2,533","2,268",535,"2,030","1,329","1,796"
2020년03월_남_70~79세,"10,992","1,178",210,328,464,280,185,430,308,374,317,"1,190","1,223",318,939,781,223,941,540,763
2020년03월_남_80~89세,"3,354",344,73,134,165,80,47,140,80,121,98,385,385,103,255,256,65,310,143,170
2020년03월_남_90~99세,263,26,11,9,13,8,6,17,4,8,6,32,30,2,20,15,7,25,12,12
2020년03월_남_100세 이상,23,2,0,0,0,0,1,1,3,1,1,3,0,0,5,1,2,3,0,0
2020년03월_여_총인구수,"268,241","27,014","8,497","3,075","3,579","1,805","1,460","3,059","4,915","4,790","4,966","37,589","40,318","4,529","20,412","16,840","3,910","28,270","18,382","34,831"
2020년03월_여_연령구간인구수,"268,241","27,014","8,497","3,075","3,579","1,805","1,460","3,059","4,915","4,790","4,966","37,589","40,318","4,529","20,412","16,840","3,910","28,270","18,382","34,831"
2020년03월_여_0~9세,"25,251","3,284","1,329",100,101,26,37,102,288,328,295,"2,425","3,773",280,"1,385",850,277,"2,880","1,960","5,531"
2020년03월_여_10~19세,"29,847","2,818",601,167,142,59,81,96,362,280,330,"3,979","5,111",344,"1,889","1,608",412,"3,962","2,548","5,058"
2020년03월_여_20~29세,"31,764","2,507","1,065",257,254,130,131,200,586,528,674,"5,832","5,008",580,"2,913","2,596",481,"3,148","2,042","2,832"
2020년03월_여_30~39세,"35,086","4,431","1,936",252,239,106,95,192,568,625,577,"4,072","5,036",427,"2,138","1,424",399,"3,677","2,468","6,424"
2020년03월_여_40~49세,"49,999","4,877","1,285",333,276,143,144,259,696,605,736,"6,726","8,233",622,"3,400","2,755",655,"6,199","4,070","7,985"
2020년03월_여_50~59세,"46,257","3,980","1,273",660,732,387,315,574,"1,026",933,"1,046","8,137","6,996",939,"4,371","3,803",769,"4,152","2,687","3,477"
2020년03월_여_60~69세,"26,733","2,781",554,592,815,421,352,790,744,758,743,"3,364","3,417",689,"2,395","2,034",517,"2,255","1,440","2,072"
2020년03월_여_70~79세,"14,596","1,420",239,425,547,310,186,499,406,490,376,"1,898","1,724",412,"1,250","1,110",259,"1,298",774,973
2020년03월_여_80~89세,"7,582",787,194,235,410,196,93,295,206,211,160,"1,023",897,210,590,587,124,615,346,403
2020년03월_여_90~99세,"1,069",124,20,52,62,26,24,51,31,28,24,126,117,25,75,70,14,80,47,73
2020년03월_여_100세 이상,57,5,1,2,1,1,2,1,2,4,5,7,6,1,6,3,3,4,0,3
