,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2021년05월_계_총인구수,"35,912","10,923","6,155","2,343","1,124","1,479",537,912,"1,711","6,295","2,759","1,674"
2021년05월_계_연령구간인구수,"35,912","10,923","6,155","2,343","1,124","1,479",537,912,"1,711","6,295","2,759","1,674"
2021년05월_계_0~9세,"1,566",752,220,43,12,35,9,26,43,333,68,25
2021년05월_계_10~19세,"2,053",920,295,62,37,35,15,30,70,417,128,44
2021년05월_계_20~29세,"2,344",940,409,124,45,67,16,44,80,464,106,49
2021년05월_계_30~39세,"2,315",992,377,108,47,56,12,32,73,436,121,61
2021년05월_계_40~49세,"3,775","1,554",645,174,62,99,26,75,160,683,202,95
2021년05월_계_50~59세,"6,053","1,833","1,123",405,185,256,87,143,301,"1,053",421,246
2021년05월_계_60~69세,"7,545","1,859","1,400",554,287,390,142,194,414,"1,234",641,430
2021년05월_계_70~79세,"5,795","1,215","1,058",478,226,291,137,198,353,911,551,377
2021년05월_계_80~89세,"3,900",731,559,339,192,221,84,154,202,654,460,304
2021년05월_계_90~99세,545,119,68,55,30,28,9,16,15,108,61,36
2021년05월_계_100세 이상,21,8,1,1,1,1,0,0,0,2,0,7
2021년05월_남_총인구수,"17,021","5,236","2,881","1,140",509,734,251,429,803,"2,918","1,295",825
2021년05월_남_연령구간인구수,"17,021","5,236","2,881","1,140",509,734,251,429,803,"2,918","1,295",825
2021년05월_남_0~9세,780,367,110,23,8,19,4,16,23,156,40,14
2021년05월_남_10~19세,"1,043",444,166,41,19,22,7,15,39,212,58,20
2021년05월_남_20~29세,"1,365",552,235,75,25,40,10,27,47,265,58,31
2021년05월_남_30~39세,"1,212",485,212,60,29,29,8,14,42,224,71,38
2021년05월_남_40~49세,"2,071",791,357,111,30,67,21,45,89,362,132,66
2021년05월_남_50~59세,"3,264",997,584,235,103,150,48,84,159,537,236,131
2021년05월_남_60~69세,"3,621",864,639,292,152,199,67,91,191,577,323,226
2021년05월_남_70~79세,"2,347",481,409,190,84,127,56,87,145,374,223,171
2021년05월_남_80~89세,"1,218",233,160,103,54,72,29,48,62,196,145,116
2021년05월_남_90~99세,97,21,9,10,5,9,1,2,6,15,9,10
2021년05월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,2
2021년05월_여_총인구수,"18,891","5,687","3,274","1,203",615,745,286,483,908,"3,377","1,464",849
2021년05월_여_연령구간인구수,"18,891","5,687","3,274","1,203",615,745,286,483,908,"3,377","1,464",849
2021년05월_여_0~9세,786,385,110,20,4,16,5,10,20,177,28,11
2021년05월_여_10~19세,"1,010",476,129,21,18,13,8,15,31,205,70,24
2021년05월_여_20~29세,979,388,174,49,20,27,6,17,33,199,48,18
2021년05월_여_30~39세,"1,103",507,165,48,18,27,4,18,31,212,50,23
2021년05월_여_40~49세,"1,704",763,288,63,32,32,5,30,71,321,70,29
2021년05월_여_50~59세,"2,789",836,539,170,82,106,39,59,142,516,185,115
2021년05월_여_60~69세,"3,924",995,761,262,135,191,75,103,223,657,318,204
2021년05월_여_70~79세,"3,448",734,649,288,142,164,81,111,208,537,328,206
2021년05월_여_80~89세,"2,682",498,399,236,138,149,55,106,140,458,315,188
2021년05월_여_90~99세,448,98,59,45,25,19,8,14,9,93,52,26
2021년05월_여_100세 이상,18,7,1,1,1,1,0,0,0,2,0,5
