카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021년09월_계_총인구수,"69,732","10,956","15,673","10,998","15,200","9,308","7,597"
2021년09월_계_연령구간인구수,"69,732","10,956","15,673","10,998","15,200","9,308","7,597"
2021년09월_계_0~9세,"6,025",808,"1,811",746,"1,526",604,530
2021년09월_계_10~19세,"6,762",975,"1,866","1,119","1,395",579,828
2021년09월_계_20~29세,"9,319","1,552","1,803","1,665","2,020","1,251","1,028"
2021년09월_계_30~39세,"9,880","1,415","2,099","1,365","2,470","1,596",935
2021년09월_계_40~49세,"10,414","1,426","2,823","1,449","2,195","1,335","1,186"
2021년09월_계_50~59세,"12,159","2,055","2,535","2,108","2,609","1,528","1,324"
2021년09월_계_60~69세,"8,757","1,609","1,619","1,431","1,756","1,432",910
2021년09월_계_70~79세,"3,961",654,712,611,751,665,568
2021년09월_계_80~89세,"2,062",382,351,419,394,276,240
2021년09월_계_90~99세,382,76,54,82,82,42,46
2021년09월_계_100세 이상,11,4,0,3,2,0,2
2021년09월_남_총인구수,"34,275","5,306","7,607","5,283","7,485","4,871","3,723"
2021년09월_남_연령구간인구수,"34,275","5,306","7,607","5,283","7,485","4,871","3,723"
2021년09월_남_0~9세,"3,146",413,949,388,812,302,282
2021년09월_남_10~19세,"3,465",480,913,571,727,321,453
2021년09월_남_20~29세,"4,911",829,926,848,"1,062",702,544
2021년09월_남_30~39세,"4,912",693,930,690,"1,212",903,484
2021년09월_남_40~49세,"5,078",661,"1,387",664,"1,052",741,573
2021년09월_남_50~59세,"5,847",959,"1,254",995,"1,243",747,649
2021년09월_남_60~69세,"4,281",805,796,688,878,704,410
2021년09월_남_70~79세,"1,775",306,299,267,332,332,239
2021년09월_남_80~89세,763,145,134,147,147,107,83
2021년09월_남_90~99세,94,14,19,23,20,12,6
2021년09월_남_100세 이상,3,1,0,2,0,0,0
2021년09월_여_총인구수,"35,457","5,650","8,066","5,715","7,715","4,437","3,874"
2021년09월_여_연령구간인구수,"35,457","5,650","8,066","5,715","7,715","4,437","3,874"
2021년09월_여_0~9세,"2,879",395,862,358,714,302,248
2021년09월_여_10~19세,"3,297",495,953,548,668,258,375
2021년09월_여_20~29세,"4,408",723,877,817,958,549,484
2021년09월_여_30~39세,"4,968",722,"1,169",675,"1,258",693,451
2021년09월_여_40~49세,"5,336",765,"1,436",785,"1,143",594,613
2021년09월_여_50~59세,"6,312","1,096","1,281","1,113","1,366",781,675
2021년09월_여_60~69세,"4,476",804,823,743,878,728,500
2021년09월_여_70~79세,"2,186",348,413,344,419,333,329
2021년09월_여_80~89세,"1,299",237,217,272,247,169,157
2021년09월_여_90~99세,288,62,35,59,62,30,40
2021년09월_여_100세 이상,8,3,0,1,2,0,2
