카테고리,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2021년06월_계_총인구수,"140,175","6,186","5,142","13,228","3,991","3,252","5,876","2,744","4,378","16,040","43,561","31,759","4,018"
2021년06월_계_연령구간인구수,"140,175","6,186","5,142","13,228","3,991","3,252","5,876","2,744","4,378","16,040","43,561","31,759","4,018"
2021년06월_계_0~9세,"11,667",231,244,809,131,93,204,76,178,932,"6,942","1,748",79
2021년06월_계_10~19세,"12,773",339,354,"1,111",264,191,293,144,312,"1,246","5,007","3,400",112
2021년06월_계_20~29세,"18,763",625,538,"1,605",426,339,606,289,477,"2,038","3,804","7,744",272
2021년06월_계_30~39세,"21,307",603,518,"1,570",369,282,675,231,449,"2,388","8,694","5,260",268
2021년06월_계_40~49세,"24,625",806,810,"2,015",549,473,738,373,594,"2,560","9,544","5,698",465
2021년06월_계_50~59세,"20,619","1,281",871,"2,274",720,613,"1,110",485,775,"2,834","4,651","4,128",877
2021년06월_계_60~69세,"16,619","1,309",819,"2,067",757,620,"1,109",566,823,"2,480","2,991","1,998","1,080"
2021년06월_계_70~79세,"9,291",638,626,"1,189",535,444,700,392,521,"1,015","1,401","1,229",601
2021년06월_계_80~89세,"3,866",301,306,506,207,167,362,164,222,453,452,509,217
2021년06월_계_90~99세,622,52,54,82,32,30,74,23,26,89,73,43,44
2021년06월_계_100세 이상,23,1,2,0,1,0,5,1,1,5,2,2,3
2021년06월_남_총인구수,"72,886","3,348","2,632","6,760","2,032","1,676","3,098","1,423","2,157","8,901","21,897","16,724","2,238"
2021년06월_남_연령구간인구수,"72,886","3,348","2,632","6,760","2,032","1,676","3,098","1,423","2,157","8,901","21,897","16,724","2,238"
2021년06월_남_0~9세,"6,029",120,139,409,58,57,100,48,91,481,"3,576",915,35
2021년06월_남_10~19세,"6,613",164,182,574,149,92,147,74,148,652,"2,574","1,803",54
2021년06월_남_20~29세,"9,582",362,296,867,245,188,328,162,251,"1,153","1,887","3,665",178
2021년06월_남_30~39세,"11,603",364,286,846,200,168,391,145,249,"1,454","4,188","3,143",169
2021년06월_남_40~49세,"13,441",487,444,"1,079",308,263,437,203,330,"1,501","5,032","3,055",302
2021년06월_남_50~59세,"11,412",748,477,"1,220",384,348,652,274,411,"1,602","2,411","2,362",523
2021년06월_남_60~69세,"8,338",683,408,"1,024",359,304,580,279,375,"1,365","1,363","1,025",573
2021년06월_남_70~79세,"4,303",298,272,537,244,200,320,164,227,507,685,533,316
2021년06월_남_80~89세,"1,415",109,116,188,77,51,124,63,67,165,166,209,80
2021년06월_남_90~99세,143,13,12,16,8,5,18,11,8,18,14,13,7
2021년06월_남_100세 이상,7,0,0,0,0,0,1,0,0,3,1,1,1
2021년06월_여_총인구수,"67,289","2,838","2,510","6,468","1,959","1,576","2,778","1,321","2,221","7,139","21,664","15,035","1,780"
2021년06월_여_연령구간인구수,"67,289","2,838","2,510","6,468","1,959","1,576","2,778","1,321","2,221","7,139","21,664","15,035","1,780"
2021년06월_여_0~9세,"5,638",111,105,400,73,36,104,28,87,451,"3,366",833,44
2021년06월_여_10~19세,"6,160",175,172,537,115,99,146,70,164,594,"2,433","1,597",58
2021년06월_여_20~29세,"9,181",263,242,738,181,151,278,127,226,885,"1,917","4,079",94
2021년06월_여_30~39세,"9,704",239,232,724,169,114,284,86,200,934,"4,506","2,117",99
2021년06월_여_40~49세,"11,184",319,366,936,241,210,301,170,264,"1,059","4,512","2,643",163
2021년06월_여_50~59세,"9,207",533,394,"1,054",336,265,458,211,364,"1,232","2,240","1,766",354
2021년06월_여_60~69세,"8,281",626,411,"1,043",398,316,529,287,448,"1,115","1,628",973,507
2021년06월_여_70~79세,"4,988",340,354,652,291,244,380,228,294,508,716,696,285
2021년06월_여_80~89세,"2,451",192,190,318,130,116,238,101,155,288,286,300,137
2021년06월_여_90~99세,479,39,42,66,24,25,56,12,18,71,59,30,37
2021년06월_여_100세 이상,16,1,2,0,1,0,4,1,1,2,1,1,2
