,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년12월_계_총인구수,"654,915","351,888","25,009","23,979","33,015","32,968","37,248","38,101","26,840","20,156","21,944","38,604","26,833","18,085","9,106","303,027","38,957","21,940","25,138","44,212","6,272","18,463","22,665","47,015","17,747","16,498","35,320","8,800"
2020년12월_계_연령구간인구수,"654,915","351,888","25,009","23,979","33,015","32,968","37,248","38,101","26,840","20,156","21,944","38,604","26,833","18,085","9,106","303,027","38,957","21,940","25,138","44,212","6,272","18,463","22,665","47,015","17,747","16,498","35,320","8,800"
2020년12월_계_0~9세,"44,632","23,696","1,737","1,086","1,820","2,524","4,267","2,679","1,560",962,"1,477","2,271","1,711","1,119",483,"20,936","2,660","1,168","1,624","3,430",287,"1,321","1,647","3,817","1,312",920,"2,441",309
2020년12월_계_10~19세,"64,045","34,292","2,485","1,618","2,909","3,613","4,396","4,019","2,879","1,763","2,124","3,821","2,598","1,305",762,"29,753","3,952","1,921","2,167","5,244",319,"1,785","2,505","4,816","1,427","1,604","3,623",390
2020년12월_계_20~29세,"106,487","58,151","3,831","4,372","6,010","5,360","6,004","6,004","4,369","3,565","3,502","6,994","4,764","2,221","1,155","48,336","6,054","4,175","5,067","7,582",493,"2,812","3,085","7,433","2,682","2,461","5,774",718
2020년12월_계_30~39세,"85,743","44,312","3,069","3,748","4,562","4,198","5,485","4,658","2,976","2,427","2,449","4,394","3,183","2,226",937,"41,431","5,149","3,172","3,890","5,526",633,"2,463","2,949","7,231","2,925","1,865","4,965",663
2020년12월_계_40~49세,"108,359","58,079","4,513","3,988","5,626","5,509","6,541","6,897","4,478","3,123","3,635","6,089","3,677","2,645","1,358","50,280","7,147","3,278","3,750","7,294","1,012","2,824","4,062","8,240","2,758","2,826","6,138",951
2020년12월_계_50~59세,"127,771","69,060","4,648","4,520","6,292","6,379","6,406","7,349","5,434","4,272","4,646","8,186","5,718","3,339","1,871","58,711","7,521","4,109","4,535","8,925","1,628","3,714","4,308","8,163","3,316","3,674","6,868","1,950"
2020년12월_계_60~69세,"71,471","37,944","2,578","2,665","2,950","3,391","2,958","3,723","2,903","2,270","2,382","4,256","3,372","2,976","1,520","33,527","3,876","2,453","2,778","4,233","1,016","2,337","2,619","4,434","2,132","1,946","3,559","2,144"
2020년12월_계_70~79세,"29,780","16,804","1,434","1,312","1,535","1,270",804,"1,814","1,449","1,127","1,092","1,609","1,103","1,586",669,"12,976","1,689","1,089",855,"1,214",587,864,974,"1,846",763,791,"1,243","1,061"
2020년12월_계_80~89세,"14,393","8,258",612,583,"1,105",631,323,859,697,575,574,861,577,569,292,"6,135",791,519,385,648,262,298,441,887,382,364,632,526
2020년12월_계_90~99세,"2,102","1,223",98,80,192,88,64,99,90,72,59,114,120,94,53,879,112,54,81,112,29,34,71,141,48,44,72,81
2020년12월_계_100세 이상,132,69,4,7,14,5,0,0,5,0,4,9,10,5,6,63,6,2,6,4,6,11,4,7,2,3,5,7
2020년12월_남_총인구수,"335,804","179,452","12,731","12,811","17,288","16,695","18,801","19,692","13,303","10,039","11,328","19,747","13,152","9,113","4,752","156,352","20,554","10,956","12,523","22,209","3,609","9,379","12,150","24,127","9,100","8,981","18,143","4,621"
2020년12월_남_연령구간인구수,"335,804","179,452","12,731","12,811","17,288","16,695","18,801","19,692","13,303","10,039","11,328","19,747","13,152","9,113","4,752","156,352","20,554","10,956","12,523","22,209","3,609","9,379","12,150","24,127","9,100","8,981","18,143","4,621"
2020년12월_남_0~9세,"22,718","12,013",872,541,939,"1,300","2,076","1,383",803,498,761,"1,164",889,548,239,"10,705","1,358",589,836,"1,719",146,669,848,"1,960",684,465,"1,255",176
2020년12월_남_10~19세,"32,993","17,555","1,221",834,"1,508","1,848","2,240","2,092","1,420",889,"1,049","2,028","1,353",676,397,"15,438","2,093",986,"1,105","2,738",167,927,"1,283","2,449",741,857,"1,881",211
2020년12월_남_20~29세,"56,666","31,001","1,965","2,292","3,293","2,849","3,286","3,192","2,237","1,842","1,879","3,808","2,499","1,209",650,"25,665","3,347","2,090","2,519","3,875",297,"1,475","1,746","3,994","1,453","1,358","3,099",412
2020년12월_남_30~39세,"46,746","24,037","1,673","2,223","2,649","2,230","2,664","2,548","1,594","1,312","1,358","2,409","1,644","1,205",528,"22,709","2,880","1,778","2,080","2,794",383,"1,308","1,699","4,001","1,651","1,068","2,683",384
2020년12월_남_40~49세,"55,320","29,482","2,399","2,240","2,988","2,763","3,156","3,559","2,163","1,531","1,889","2,991","1,653","1,416",734,"25,838","3,840","1,599","1,814","3,430",613,"1,401","2,245","4,221","1,451","1,576","3,104",544
2020년12월_남_50~59세,"65,374","35,270","2,464","2,456","3,338","3,193","3,235","3,857","2,706","2,104","2,470","4,129","2,669","1,631","1,018","30,104","4,041","2,071","2,200","4,433","1,021","1,841","2,300","4,094","1,585","2,080","3,443",995
2020년12월_남_60~69세,"37,433","19,673","1,308","1,394","1,556","1,732","1,621","1,969","1,512","1,155","1,257","2,252","1,726","1,425",766,"17,760","2,038","1,220","1,432","2,383",580,"1,218","1,378","2,284","1,099","1,060","1,946","1,122"
2020년12월_남_70~79세,"13,299","7,383",604,600,627,552,411,781,609,471,453,696,499,762,318,"5,916",702,460,409,593,286,423,475,809,316,383,514,546
2020년12월_남_80~89세,"4,775","2,753",207,217,331,208,101,294,238,217,200,249,180,219,92,"2,022",233,156,114,217,105,109,158,286,111,119,206,208
2020년12월_남_90~99세,448,269,18,13,55,20,11,17,20,20,11,20,35,20,9,179,22,7,12,26,10,6,17,27,8,14,11,19
2020년12월_남_100세 이상,32,16,0,1,4,0,0,0,1,0,1,1,5,2,1,16,0,0,2,1,1,2,1,2,1,1,1,4
2020년12월_여_총인구수,"319,111","172,436","12,278","11,168","15,727","16,273","18,447","18,409","13,537","10,117","10,616","18,857","13,681","8,972","4,354","146,675","18,403","10,984","12,615","22,003","2,663","9,084","10,515","22,888","8,647","7,517","17,177","4,179"
2020년12월_여_연령구간인구수,"319,111","172,436","12,278","11,168","15,727","16,273","18,447","18,409","13,537","10,117","10,616","18,857","13,681","8,972","4,354","146,675","18,403","10,984","12,615","22,003","2,663","9,084","10,515","22,888","8,647","7,517","17,177","4,179"
2020년12월_여_0~9세,"21,914","11,683",865,545,881,"1,224","2,191","1,296",757,464,716,"1,107",822,571,244,"10,231","1,302",579,788,"1,711",141,652,799,"1,857",628,455,"1,186",133
2020년12월_여_10~19세,"31,052","16,737","1,264",784,"1,401","1,765","2,156","1,927","1,459",874,"1,075","1,793","1,245",629,365,"14,315","1,859",935,"1,062","2,506",152,858,"1,222","2,367",686,747,"1,742",179
2020년12월_여_20~29세,"49,821","27,150","1,866","2,080","2,717","2,511","2,718","2,812","2,132","1,723","1,623","3,186","2,265","1,012",505,"22,671","2,707","2,085","2,548","3,707",196,"1,337","1,339","3,439","1,229","1,103","2,675",306
2020년12월_여_30~39세,"38,997","20,275","1,396","1,525","1,913","1,968","2,821","2,110","1,382","1,115","1,091","1,985","1,539","1,021",409,"18,722","2,269","1,394","1,810","2,732",250,"1,155","1,250","3,230","1,274",797,"2,282",279
2020년12월_여_40~49세,"53,039","28,597","2,114","1,748","2,638","2,746","3,385","3,338","2,315","1,592","1,746","3,098","2,024","1,229",624,"24,442","3,307","1,679","1,936","3,864",399,"1,423","1,817","4,019","1,307","1,250","3,034",407
2020년12월_여_50~59세,"62,397","33,790","2,184","2,064","2,954","3,186","3,171","3,492","2,728","2,168","2,176","4,057","3,049","1,708",853,"28,607","3,480","2,038","2,335","4,492",607,"1,873","2,008","4,069","1,731","1,594","3,425",955
2020년12월_여_60~69세,"34,038","18,271","1,270","1,271","1,394","1,659","1,337","1,754","1,391","1,115","1,125","2,004","1,646","1,551",754,"15,767","1,838","1,233","1,346","1,850",436,"1,119","1,241","2,150","1,033",886,"1,613","1,022"
2020년12월_여_70~79세,"16,481","9,421",830,712,908,718,393,"1,033",840,656,639,913,604,824,351,"7,060",987,629,446,621,301,441,499,"1,037",447,408,729,515
2020년12월_여_80~89세,"9,618","5,505",405,366,774,423,222,565,459,358,374,612,397,350,200,"4,113",558,363,271,431,157,189,283,601,271,245,426,318
2020년12월_여_90~99세,"1,654",954,80,67,137,68,53,82,70,52,48,94,85,74,44,700,90,47,69,86,19,28,54,114,40,30,61,62
2020년12월_여_100세 이상,100,53,4,6,10,5,0,0,4,0,3,8,5,3,5,47,6,2,4,3,5,9,3,5,1,2,4,3
