카테고리,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021년03월_계_총인구수,"259,833","47,775","4,656","13,577","50,482","38,586","29,680","25,333","23,071","7,863","3,696","15,114"
2021년03월_계_연령구간인구수,"259,833","47,775","4,656","13,577","50,482","38,586","29,680","25,333","23,071","7,863","3,696","15,114"
2021년03월_계_0~9세,"29,196","3,215",269,798,"5,829","6,215","5,242","2,580","2,404",408,107,"2,129"
2021년03월_계_10~19세,"23,975","4,481",165,"1,387","5,936","3,467","3,436","1,780","1,691",485,124,"1,023"
2021년03월_계_20~29세,"28,793","6,275",488,"1,856","5,591","3,924","2,424","2,635","3,135",654,278,"1,533"
2021년03월_계_30~39세,"41,331","5,200",567,"1,360","7,072","8,405","6,170","3,978","4,340",632,293,"3,314"
2021년03월_계_40~49세,"43,698","6,985",555,"2,513","9,562","7,081","6,012","3,689","3,584",928,308,"2,481"
2021년03월_계_50~59세,"40,710","9,657",914,"2,993","7,870","4,932","2,960","4,257","3,156","1,356",812,"1,803"
2021년03월_계_60~69세,"30,773","7,197",910,"1,629","5,293","3,058","2,167","3,821","2,681","1,654",862,"1,501"
2021년03월_계_70~79세,"14,142","3,248",476,662,"2,364","1,101",848,"1,769","1,342","1,021",510,801
2021년03월_계_80~89세,"6,387","1,350",273,337,856,355,367,741,665,619,353,471
2021년03월_계_90~99세,807,162,38,40,108,46,52,83,70,104,47,57
2021년03월_계_100세 이상,21,5,1,2,1,2,2,0,3,2,2,1
2021년03월_남_총인구수,"131,878","23,757","2,529","7,192","24,967","19,678","15,064","12,764","12,080","3,918","1,988","7,941"
2021년03월_남_연령구간인구수,"131,878","23,757","2,529","7,192","24,967","19,678","15,064","12,764","12,080","3,918","1,988","7,941"
2021년03월_남_0~9세,"14,901","1,674",141,387,"2,938","3,167","2,696","1,336","1,224",218,48,"1,072"
2021년03월_남_10~19세,"12,519","2,298",79,735,"3,099","1,809","1,796",951,886,262,63,541
2021년03월_남_20~29세,"15,778","3,453",295,"1,127","2,958","2,046","1,301","1,390","1,794",382,171,861
2021년03월_남_30~39세,"21,601","2,769",330,730,"3,491","4,286","3,065","2,083","2,495",317,177,"1,858"
2021년03월_남_40~49세,"22,807","3,364",355,"1,346","4,738","3,814","3,121","1,971","1,998",490,193,"1,417"
2021년03월_남_50~59세,"20,238","4,662",496,"1,623","3,740","2,409","1,486","2,079","1,588",722,480,953
2021년03월_남_60~69세,"15,269","3,548",523,867,"2,539","1,528","1,061","1,862","1,314",802,499,726
2021년03월_남_70~79세,"6,521","1,469",214,272,"1,137",514,410,822,578,499,242,364
2021년03월_남_80~89세,"2,080",486,89,98,307,98,112,251,190,202,105,142
2021년03월_남_90~99세,161,34,7,7,20,7,16,19,12,23,9,7
2021년03월_남_100세 이상,3,0,0,0,0,0,0,0,1,1,1,0
2021년03월_여_총인구수,"127,955","24,018","2,127","6,385","25,515","18,908","14,616","12,569","10,991","3,945","1,708","7,173"
2021년03월_여_연령구간인구수,"127,955","24,018","2,127","6,385","25,515","18,908","14,616","12,569","10,991","3,945","1,708","7,173"
2021년03월_여_0~9세,"14,295","1,541",128,411,"2,891","3,048","2,546","1,244","1,180",190,59,"1,057"
2021년03월_여_10~19세,"11,456","2,183",86,652,"2,837","1,658","1,640",829,805,223,61,482
2021년03월_여_20~29세,"13,015","2,822",193,729,"2,633","1,878","1,123","1,245","1,341",272,107,672
2021년03월_여_30~39세,"19,730","2,431",237,630,"3,581","4,119","3,105","1,895","1,845",315,116,"1,456"
2021년03월_여_40~49세,"20,891","3,621",200,"1,167","4,824","3,267","2,891","1,718","1,586",438,115,"1,064"
2021년03월_여_50~59세,"20,472","4,995",418,"1,370","4,130","2,523","1,474","2,178","1,568",634,332,850
2021년03월_여_60~69세,"15,504","3,649",387,762,"2,754","1,530","1,106","1,959","1,367",852,363,775
2021년03월_여_70~79세,"7,621","1,779",262,390,"1,227",587,438,947,764,522,268,437
2021년03월_여_80~89세,"4,307",864,184,239,549,257,255,490,475,417,248,329
2021년03월_여_90~99세,646,128,31,33,88,39,36,64,58,81,38,50
2021년03월_여_100세 이상,18,5,1,2,1,2,2,0,2,1,1,1
