카테고리,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2021년03월_계_총인구수,"42,119","7,169","1,101","10,269","1,588","2,134","3,900","2,234","4,511","2,097","3,308","3,808"
2021년03월_계_연령구간인구수,"42,119","7,169","1,101","10,269","1,588","2,134","3,900","2,234","4,511","2,097","3,308","3,808"
2021년03월_계_0~9세,"1,476",451,41,437,41,45,126,61,124,36,57,57
2021년03월_계_10~19세,"2,268",658,25,725,49,71,151,62,274,38,105,110
2021년03월_계_20~29세,"2,757",593,57,838,71,115,207,123,257,126,176,194
2021년03월_계_30~39세,"2,704",623,87,815,85,109,255,109,234,91,128,168
2021년03월_계_40~49세,"4,398","1,005",86,"1,336",143,155,339,148,459,180,262,285
2021년03월_계_50~59세,"7,185","1,205",174,"1,754",245,333,652,429,760,418,580,635
2021년03월_계_60~69세,"9,731","1,293",270,"2,125",445,528,990,605,"1,080",536,836,"1,023"
2021년03월_계_70~79세,"6,661",789,197,"1,352",309,443,643,407,757,350,665,749
2021년03월_계_80~89세,"4,306",478,143,778,175,284,475,256,478,286,432,521
2021년03월_계_90~99세,623,74,20,105,25,51,61,33,87,36,65,66
2021년03월_계_100세 이상,10,0,1,4,0,0,1,1,1,0,2,0
2021년03월_남_총인구수,"20,705","3,505",552,"5,006",762,"1,028","1,909","1,106","2,209","1,038","1,679","1,911"
2021년03월_남_연령구간인구수,"20,705","3,505",552,"5,006",762,"1,028","1,909","1,106","2,209","1,038","1,679","1,911"
2021년03월_남_0~9세,760,232,20,211,15,26,65,34,66,23,37,31
2021년03월_남_10~19세,"1,151",326,19,352,31,39,66,25,151,26,60,56
2021년03월_남_20~29세,"1,629",344,28,478,44,71,124,78,149,76,110,127
2021년03월_남_30~39세,"1,445",306,50,442,48,63,140,56,110,51,75,104
2021년03월_남_40~49세,"2,449",523,62,717,86,94,202,75,251,89,167,183
2021년03월_남_50~59세,"3,832",615,91,913,131,179,355,230,409,235,329,345
2021년03월_남_60~69세,"4,880",641,135,"1,048",210,265,490,325,526,297,426,517
2021년03월_남_70~79세,"3,051",347,88,593,136,194,296,181,379,144,326,367
2021년03월_남_80~89세,"1,383",155,54,231,57,87,155,100,152,88,137,167
2021년03월_남_90~99세,124,16,4,21,4,10,16,2,16,9,12,14
2021년03월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"21,414","3,664",549,"5,263",826,"1,106","1,991","1,128","2,302","1,059","1,629","1,897"
2021년03월_여_연령구간인구수,"21,414","3,664",549,"5,263",826,"1,106","1,991","1,128","2,302","1,059","1,629","1,897"
2021년03월_여_0~9세,716,219,21,226,26,19,61,27,58,13,20,26
2021년03월_여_10~19세,"1,117",332,6,373,18,32,85,37,123,12,45,54
2021년03월_여_20~29세,"1,128",249,29,360,27,44,83,45,108,50,66,67
2021년03월_여_30~39세,"1,259",317,37,373,37,46,115,53,124,40,53,64
2021년03월_여_40~49세,"1,949",482,24,619,57,61,137,73,208,91,95,102
2021년03월_여_50~59세,"3,353",590,83,841,114,154,297,199,351,183,251,290
2021년03월_여_60~69세,"4,851",652,135,"1,077",235,263,500,280,554,239,410,506
2021년03월_여_70~79세,"3,610",442,109,759,173,249,347,226,378,206,339,382
2021년03월_여_80~89세,"2,923",323,89,547,118,197,320,156,326,198,295,354
2021년03월_여_90~99세,499,58,16,84,21,41,45,31,71,27,53,52
2021년03월_여_100세 이상,9,0,0,4,0,0,1,1,1,0,2,0
