카테고리,충청북도 괴산군,충청북도 괴산군 괴산읍,충청북도 괴산군 감물면,충청북도 괴산군 장연면,충청북도 괴산군 연풍면,충청북도 괴산군 칠성면,충청북도 괴산군 문광면,충청북도 괴산군 청천면,충청북도 괴산군 청안면,충청북도 괴산군 사리면,충청북도 괴산군 소수면,충청북도 괴산군 불정면
2021년03월_계_총인구수,"37,688","9,881","2,125","1,933","2,328","3,118","2,169","5,120","3,415","2,766","2,066","2,767"
2021년03월_계_연령구간인구수,"37,688","9,881","2,125","1,933","2,328","3,118","2,169","5,120","3,415","2,766","2,066","2,767"
2021년03월_계_0~9세,"1,291",597,64,49,44,77,44,117,95,76,56,72
2021년03월_계_10~19세,"1,993",906,124,60,87,133,96,198,124,105,59,101
2021년03월_계_20~29세,"2,891","1,220",125,108,128,223,140,262,203,215,119,148
2021년03월_계_30~39세,"2,396",963,119,77,109,194,123,230,176,151,123,131
2021년03월_계_40~49세,"3,795","1,455",169,152,194,301,189,384,287,266,169,229
2021년03월_계_50~59세,"7,197","1,666",420,427,418,664,427,"1,070",679,523,373,530
2021년03월_계_60~69세,"8,874","1,554",539,529,664,724,544,"1,414",917,652,598,739
2021년03월_계_70~79세,"5,403",953,311,290,382,480,348,863,519,460,336,461
2021년03월_계_80~89세,"3,384",515,220,213,263,288,221,503,358,287,196,320
2021년03월_계_90~99세,446,51,34,28,36,33,35,74,56,30,34,35
2021년03월_계_100세 이상,18,1,0,0,3,1,2,5,1,1,3,1
2021년03월_남_총인구수,"19,412","5,080","1,118",976,"1,209","1,581","1,098","2,649","1,752","1,429","1,070","1,450"
2021년03월_남_연령구간인구수,"19,412","5,080","1,118",976,"1,209","1,581","1,098","2,649","1,752","1,429","1,070","1,450"
2021년03월_남_0~9세,647,301,32,28,21,31,22,61,44,39,28,40
2021년03월_남_10~19세,"1,037",472,62,33,47,69,42,112,62,49,31,58
2021년03월_남_20~29세,"1,729",709,70,65,79,117,86,175,126,133,72,97
2021년03월_남_30~39세,"1,355",513,74,44,68,113,71,119,102,87,81,83
2021년03월_남_40~49세,"2,215",796,104,81,121,184,113,219,173,162,109,153
2021년03월_남_50~59세,"3,901",902,240,236,215,370,229,584,374,292,185,274
2021년03월_남_60~69세,"4,704",769,296,284,369,390,279,763,488,348,325,393
2021년03월_남_70~79세,"2,528",416,147,125,182,217,182,413,245,212,170,219
2021년03월_남_80~89세,"1,194",188,85,75,99,82,66,187,123,100,61,128
2021년03월_남_90~99세,97,13,8,5,7,8,8,15,15,6,8,4
2021년03월_남_100세 이상,5,1,0,0,1,0,0,1,0,1,0,1
2021년03월_여_총인구수,"18,276","4,801","1,007",957,"1,119","1,537","1,071","2,471","1,663","1,337",996,"1,317"
2021년03월_여_연령구간인구수,"18,276","4,801","1,007",957,"1,119","1,537","1,071","2,471","1,663","1,337",996,"1,317"
2021년03월_여_0~9세,644,296,32,21,23,46,22,56,51,37,28,32
2021년03월_여_10~19세,956,434,62,27,40,64,54,86,62,56,28,43
2021년03월_여_20~29세,"1,162",511,55,43,49,106,54,87,77,82,47,51
2021년03월_여_30~39세,"1,041",450,45,33,41,81,52,111,74,64,42,48
2021년03월_여_40~49세,"1,580",659,65,71,73,117,76,165,114,104,60,76
2021년03월_여_50~59세,"3,296",764,180,191,203,294,198,486,305,231,188,256
2021년03월_여_60~69세,"4,170",785,243,245,295,334,265,651,429,304,273,346
2021년03월_여_70~79세,"2,875",537,164,165,200,263,166,450,274,248,166,242
2021년03월_여_80~89세,"2,190",327,135,138,164,206,155,316,235,187,135,192
2021년03월_여_90~99세,349,38,26,23,29,25,27,59,41,24,26,31
2021년03월_여_100세 이상,13,0,0,0,2,1,2,4,1,0,3,0
