,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2021년11월_계_총인구수,"36,622","14,969","4,844","3,292","2,309","2,791","1,220","2,067","1,036","1,385","2,709"
2021년11월_계_연령구간인구수,"36,622","14,969","4,844","3,292","2,309","2,791","1,220","2,067","1,036","1,385","2,709"
2021년11월_계_0~9세,"1,838","1,217",137,121,79,75,33,37,13,29,97
2021년11월_계_10~19세,"2,627","1,528",279,196,115,125,43,91,27,66,157
2021년11월_계_20~29세,"2,876","1,540",306,205,120,180,63,134,55,84,189
2021년11월_계_30~39세,"2,526","1,437",263,167,126,153,61,89,44,47,139
2021년11월_계_40~49세,"3,846","2,030",404,301,197,240,86,144,85,113,246
2021년11월_계_50~59세,"6,138","2,463",796,566,346,474,201,368,236,254,434
2021년11월_계_60~69세,"6,726","2,186","1,017",672,515,596,274,399,250,245,572
2021년11월_계_70~79세,"5,347","1,479",889,563,397,474,203,388,180,246,528
2021년11월_계_80~89세,"4,006",924,645,430,342,383,226,370,124,246,316
2021년11월_계_90~99세,675,162,104,70,69,89,28,46,22,54,31
2021년11월_계_100세 이상,17,3,4,1,3,2,2,1,0,1,0
2021년11월_남_총인구수,"17,821","7,323","2,344","1,581","1,118","1,356",592,982,523,678,"1,324"
2021년11월_남_연령구간인구수,"17,821","7,323","2,344","1,581","1,118","1,356",592,982,523,678,"1,324"
2021년11월_남_0~9세,909,596,74,47,42,47,13,18,3,18,51
2021년11월_남_10~19세,"1,397",804,155,104,61,73,22,42,17,32,87
2021년11월_남_20~29세,"1,627",855,181,118,76,98,33,76,30,44,116
2021년11월_남_30~39세,"1,339",717,142,89,73,95,36,54,28,24,81
2021년11월_남_40~49세,"2,124","1,020",233,188,122,138,56,99,53,68,147
2021년11월_남_50~59세,"3,388","1,310",439,319,193,271,124,207,140,157,228
2021년11월_남_60~69세,"3,341","1,042",515,332,273,303,141,210,131,131,263
2021년11월_남_70~79세,"2,316",654,369,246,168,205,93,159,81,106,235
2021년11월_남_80~89세,"1,248",297,211,123,99,112,67,106,35,87,111
2021년11월_남_90~99세,129,28,24,15,11,14,6,11,5,10,5
2021년11월_남_100세 이상,3,0,1,0,0,0,1,0,0,1,0
2021년11월_여_총인구수,"18,801","7,646","2,500","1,711","1,191","1,435",628,"1,085",513,707,"1,385"
2021년11월_여_연령구간인구수,"18,801","7,646","2,500","1,711","1,191","1,435",628,"1,085",513,707,"1,385"
2021년11월_여_0~9세,929,621,63,74,37,28,20,19,10,11,46
2021년11월_여_10~19세,"1,230",724,124,92,54,52,21,49,10,34,70
2021년11월_여_20~29세,"1,249",685,125,87,44,82,30,58,25,40,73
2021년11월_여_30~39세,"1,187",720,121,78,53,58,25,35,16,23,58
2021년11월_여_40~49세,"1,722","1,010",171,113,75,102,30,45,32,45,99
2021년11월_여_50~59세,"2,750","1,153",357,247,153,203,77,161,96,97,206
2021년11월_여_60~69세,"3,385","1,144",502,340,242,293,133,189,119,114,309
2021년11월_여_70~79세,"3,031",825,520,317,229,269,110,229,99,140,293
2021년11월_여_80~89세,"2,758",627,434,307,243,271,159,264,89,159,205
2021년11월_여_90~99세,546,134,80,55,58,75,22,35,17,44,26
2021년11월_여_100세 이상,14,3,3,1,3,2,1,1,0,0,0
