카테고리,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021년11월_계_총인구수,"103,636","5,265","1,266","7,026","5,075","3,050","2,788","3,813","4,282","8,279","3,369","4,894","1,777","2,619","16,305","20,121","7,853","5,854"
2021년11월_계_연령구간인구수,"103,636","5,265","1,266","7,026","5,075","3,050","2,788","3,813","4,282","8,279","3,369","4,894","1,777","2,619","16,305","20,121","7,853","5,854"
2021년11월_계_0~9세,"5,283",127,13,249,111,49,52,78,68,407,79,91,35,59,"1,337","1,845",373,310
2021년11월_계_10~19세,"7,501",224,50,391,220,82,107,171,152,499,113,244,48,147,"1,387","2,541",587,538
2021년11월_계_20~29세,"8,668",303,123,471,336,139,172,200,183,641,159,283,90,205,"1,906","2,069",750,638
2021년11월_계_30~39세,"8,456",304,64,434,313,143,132,150,256,593,160,230,61,187,"2,150","2,039",671,569
2021년11월_계_40~49세,"12,625",490,97,723,464,191,259,326,303,966,281,357,123,292,"2,469","3,401","1,034",849
2021년11월_계_50~59세,"18,262",937,212,"1,301",927,516,526,701,836,"1,453",567,822,264,487,"2,840","3,348","1,396","1,129"
2021년11월_계_60~69세,"21,900","1,419",321,"1,664","1,348",961,756,"1,093","1,317","1,837",937,"1,317",513,593,"2,511","2,719","1,514","1,080"
2021년11월_계_70~79세,"12,836",915,228,"1,087",769,575,478,678,726,"1,127",649,856,357,415,"1,130","1,392",940,514
2021년11월_계_80~89세,"7,151",474,135,624,513,340,270,360,386,663,389,620,252,216,481,688,531,209
2021년11월_계_90~99세,928,69,23,78,71,54,33,55,53,92,33,71,34,18,92,78,57,17
2021년11월_계_100세 이상,26,3,0,4,3,0,3,1,2,1,2,3,0,0,2,1,0,1
2021년11월_남_총인구수,"50,910","2,633",634,"3,518","2,630","1,464","1,424","1,948","2,127","4,130","1,667","2,389",855,"1,270","8,072","9,646","3,659","2,844"
2021년11월_남_연령구간인구수,"50,910","2,633",634,"3,518","2,630","1,464","1,424","1,948","2,127","4,130","1,667","2,389",855,"1,270","8,072","9,646","3,659","2,844"
2021년11월_남_0~9세,"2,713",71,6,140,66,25,32,44,37,204,38,49,15,29,659,958,194,146
2021년11월_남_10~19세,"3,918",117,26,209,119,39,61,87,86,248,64,137,25,78,721,"1,347",291,263
2021년11월_남_20~29세,"5,067",191,71,287,229,86,110,126,123,403,91,162,56,139,"1,074","1,151",395,373
2021년11월_남_30~39세,"4,452",176,37,253,192,85,74,90,137,317,97,133,36,91,"1,121",972,355,286
2021년11월_남_40~49세,"6,679",296,68,428,272,120,159,204,180,553,181,194,78,157,"1,260","1,601",501,427
2021년11월_남_50~59세,"9,257",487,121,699,523,259,282,384,418,749,302,450,119,246,"1,423","1,569",683,543
2021년11월_남_60~69세,"10,776",716,156,814,704,468,388,567,674,938,459,671,277,282,"1,183","1,246",718,515
2021년11월_남_70~79세,"5,691",418,104,488,347,280,231,333,345,499,302,389,164,176,466,572,351,226
2021년11월_남_80~89세,"2,174",149,41,188,162,89,82,105,119,199,128,189,78,69,142,214,158,62
2021년11월_남_90~99세,178,11,4,12,16,13,4,8,7,20,4,14,7,3,23,16,13,3
2021년11월_남_100세 이상,5,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
2021년11월_여_총인구수,"52,726","2,632",632,"3,508","2,445","1,586","1,364","1,865","2,155","4,149","1,702","2,505",922,"1,349","8,233","10,475","4,194","3,010"
2021년11월_여_연령구간인구수,"52,726","2,632",632,"3,508","2,445","1,586","1,364","1,865","2,155","4,149","1,702","2,505",922,"1,349","8,233","10,475","4,194","3,010"
2021년11월_여_0~9세,"2,570",56,7,109,45,24,20,34,31,203,41,42,20,30,678,887,179,164
2021년11월_여_10~19세,"3,583",107,24,182,101,43,46,84,66,251,49,107,23,69,666,"1,194",296,275
2021년11월_여_20~29세,"3,601",112,52,184,107,53,62,74,60,238,68,121,34,66,832,918,355,265
2021년11월_여_30~39세,"4,004",128,27,181,121,58,58,60,119,276,63,97,25,96,"1,029","1,067",316,283
2021년11월_여_40~49세,"5,946",194,29,295,192,71,100,122,123,413,100,163,45,135,"1,209","1,800",533,422
2021년11월_여_50~59세,"9,005",450,91,602,404,257,244,317,418,704,265,372,145,241,"1,417","1,779",713,586
2021년11월_여_60~69세,"11,124",703,165,850,644,493,368,526,643,899,478,646,236,311,"1,328","1,473",796,565
2021년11월_여_70~79세,"7,145",497,124,599,422,295,247,345,381,628,347,467,193,239,664,820,589,288
2021년11월_여_80~89세,"4,977",325,94,436,351,251,188,255,267,464,261,431,174,147,339,474,373,147
2021년11월_여_90~99세,750,58,19,66,55,41,29,47,46,72,29,57,27,15,69,62,44,14
2021년11월_여_100세 이상,21,2,0,4,3,0,2,1,1,1,1,2,0,0,2,1,0,1
