카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021년11월_계_총인구수,"486,123","28,987","48,020","29,137","9,844","5,452","8,228","61,044","38,930","22,659","61,748","41,329","45,064","35,839","49,842"
2021년11월_계_연령구간인구수,"486,123","28,987","48,020","29,137","9,844","5,452","8,228","61,044","38,930","22,659","61,748","41,329","45,064","35,839","49,842"
2021년11월_계_0~9세,"53,873","1,760","6,392","2,245",297,127,249,"5,831","4,572","1,482","6,335","5,366","6,439","5,513","7,265"
2021년11월_계_10~19세,"49,842","2,372","4,686","2,530",521,227,435,"6,344","5,608","2,034","7,017","5,218","4,093","3,227","5,530"
2021년11월_계_20~29세,"52,537","3,529","4,319","2,898",917,499,793,"7,590","3,932","3,099","7,640","3,941","5,860","3,043","4,477"
2021년11월_계_30~39세,"75,375","3,214","8,479","3,862",859,406,694,"8,110","5,290","2,795","8,917","6,333","10,201","7,613","8,602"
2021년11월_계_40~49세,"92,066","4,246","9,468","4,854","1,213",583,864,"10,604","8,378","3,700","11,604","9,265","8,847","7,235","11,205"
2021년11월_계_50~59세,"69,137","5,501","6,073","4,965","2,161","1,117","1,637","10,325","5,237","4,202","9,112","5,049","4,322","3,584","5,852"
2021년11월_계_60~69세,"53,616","4,823","5,349","4,497","2,180","1,337","1,869","7,031","3,324","3,009","6,225","3,474","3,213","3,183","4,102"
2021년11월_계_70~79세,"26,549","2,230","2,258","2,135","1,042",700,"1,026","3,377","1,795","1,537","3,311","1,871","1,504","1,775","1,988"
2021년11월_계_80~89세,"11,379","1,128",843,991,555,374,568,"1,610",696,705,"1,395",710,510,579,715
2021년11월_계_90~99세,"1,695",176,148,153,96,78,88,217,97,92,186,100,72,86,106
2021년11월_계_100세 이상,54,8,5,7,3,4,5,5,1,4,6,2,3,1,0
2021년11월_남_총인구수,"243,279","15,507","23,950","15,374","5,778","2,997","4,477","30,015","18,974","11,353","30,103","20,185","22,429","17,783","24,354"
2021년11월_남_연령구간인구수,"243,279","15,507","23,950","15,374","5,778","2,997","4,477","30,015","18,974","11,353","30,103","20,185","22,429","17,783","24,354"
2021년11월_남_0~9세,"27,461",902,"3,331","1,133",158,59,121,"2,928","2,284",795,"3,234","2,710","3,249","2,869","3,688"
2021년11월_남_10~19세,"25,407","1,288","2,430","1,314",289,100,247,"3,229","2,840","1,057","3,602","2,575","1,994","1,602","2,840"
2021년11월_남_20~29세,"27,060","2,107","2,154","1,599",575,310,490,"4,028","1,976","1,651","3,681","1,988","2,841","1,499","2,161"
2021년11월_남_30~39세,"36,965","1,807","4,033","2,136",549,240,402,"3,917","2,457","1,463","4,244","2,980","5,132","3,737","3,868"
2021년11월_남_40~49세,"47,781","2,374","4,887","2,743",765,363,539,"5,204","4,140","1,872","5,747","4,698","4,736","3,899","5,814"
2021년11월_남_50~59세,"35,346","3,018","3,050","2,722","1,391",650,935,"5,060","2,634","2,077","4,495","2,555","2,131","1,726","2,902"
2021년11월_남_60~69세,"26,093","2,539","2,556","2,314","1,278",740,"1,013","3,499","1,508","1,470","2,914","1,567","1,458","1,396","1,841"
2021년11월_남_70~79세,"12,412","1,020","1,145","1,015",528,377,483,"1,491",837,695,"1,572",830,686,814,919
2021년11월_남_80~89세,"4,340",405,331,366,225,142,223,597,271,254,562,266,185,217,296
2021년11월_남_90~99세,399,45,32,30,19,16,23,59,26,19,50,15,16,24,25
2021년11월_남_100세 이상,15,2,1,2,1,0,1,3,1,0,2,1,1,0,0
2021년11월_여_총인구수,"242,844","13,480","24,070","13,763","4,066","2,455","3,751","31,029","19,956","11,306","31,645","21,144","22,635","18,056","25,488"
2021년11월_여_연령구간인구수,"242,844","13,480","24,070","13,763","4,066","2,455","3,751","31,029","19,956","11,306","31,645","21,144","22,635","18,056","25,488"
2021년11월_여_0~9세,"26,412",858,"3,061","1,112",139,68,128,"2,903","2,288",687,"3,101","2,656","3,190","2,644","3,577"
2021년11월_여_10~19세,"24,435","1,084","2,256","1,216",232,127,188,"3,115","2,768",977,"3,415","2,643","2,099","1,625","2,690"
2021년11월_여_20~29세,"25,477","1,422","2,165","1,299",342,189,303,"3,562","1,956","1,448","3,959","1,953","3,019","1,544","2,316"
2021년11월_여_30~39세,"38,410","1,407","4,446","1,726",310,166,292,"4,193","2,833","1,332","4,673","3,353","5,069","3,876","4,734"
2021년11월_여_40~49세,"44,285","1,872","4,581","2,111",448,220,325,"5,400","4,238","1,828","5,857","4,567","4,111","3,336","5,391"
2021년11월_여_50~59세,"33,791","2,483","3,023","2,243",770,467,702,"5,265","2,603","2,125","4,617","2,494","2,191","1,858","2,950"
2021년11월_여_60~69세,"27,523","2,284","2,793","2,183",902,597,856,"3,532","1,816","1,539","3,311","1,907","1,755","1,787","2,261"
2021년11월_여_70~79세,"14,137","1,210","1,113","1,120",514,323,543,"1,886",958,842,"1,739","1,041",818,961,"1,069"
2021년11월_여_80~89세,"7,039",723,512,625,330,232,345,"1,013",425,451,833,444,325,362,419
2021년11월_여_90~99세,"1,296",131,116,123,77,62,65,158,71,73,136,85,56,62,81
2021년11월_여_100세 이상,39,6,4,5,2,4,4,2,0,4,4,1,2,1,0
