카테고리,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년07월_계_총인구수,"872,537","84,079","17,476","87,562","42,675","7,041","5,828","6,991","10,941","7,163","10,018","10,340","4,049","11,550","22,026","43,722","35,589","24,075","32,142","13,517","23,007","51,249","35,389","42,104","52,825","43,613","33,727","85,366","28,473"
2021년07월_계_연령구간인구수,"872,537","84,079","17,476","87,562","42,675","7,041","5,828","6,991","10,941","7,163","10,018","10,340","4,049","11,550","22,026","43,722","35,589","24,075","32,142","13,517","23,007","51,249","35,389","42,104","52,825","43,613","33,727","85,366","28,473"
2021년07월_계_0~9세,"102,441","8,291",873,"10,413","4,056",253,212,249,442,173,299,372,93,394,"4,028","4,198","3,765","2,277","4,140","1,202","1,673","6,061","4,021","5,583","8,660","6,253","4,849","14,429","5,182"
2021년07월_계_10~19세,"98,959","10,013","1,428","10,284","3,625",462,319,391,769,288,460,591,170,739,"2,217","3,877","3,651","3,908","4,020","1,781","2,182","6,918","6,571","5,323","9,146","4,340","3,293","9,629","2,564"
2021년07월_계_20~29세,"107,647","10,577","1,795","10,593","5,841",790,588,751,995,536,"1,000","1,040",414,"1,350","2,320","7,209","5,950","3,006","3,990","1,701","3,128","8,125","3,759","6,370","4,238","5,236","4,838","8,763","2,744"
2021년07월_계_30~39세,"150,628","11,871","1,594","15,620","7,256",623,513,782,899,519,"1,022",909,384,"1,202","4,698","8,651","6,377","2,887","5,661","1,491","2,857","9,489","3,922","8,233","8,535","10,599","7,783","18,809","7,442"
2021년07월_계_40~49세,"168,213","16,140","2,736","17,769","6,998",915,675,992,"1,405",808,"1,438","1,299",485,"1,590","4,316","7,827","6,210","5,237","6,063","2,599","3,892","10,164","8,698","8,417","13,352","8,473","6,551","17,732","5,432"
2021년07월_계_50~59세,"118,881","12,884","3,512","11,288","6,612","1,463","1,176","1,428","2,104","1,567","2,291","2,121",890,"2,430","2,729","5,978","4,873","3,387","4,476","2,302","4,115","6,603","4,845","4,325","5,695","4,440","3,660","9,021","2,666"
2021년07월_계_60~69세,"75,691","8,625","2,941","6,949","5,019","1,375","1,228","1,282","2,220","1,783","2,056","2,167",901,"2,138","1,300","3,689","2,883","1,827","2,680","1,429","3,149","2,487","2,120","2,182","2,123","2,712","1,833","4,885","1,708"
2021년07월_계_70~79세,"32,652","3,837","1,604","2,984","2,116",724,639,698,"1,222",852,844,"1,095",408,"1,010",268,"1,546","1,317","1,042",735,711,"1,357",957,"1,016","1,180",749,"1,078",638,"1,518",507
