,충청남도 예산군,충청남도 예산군 예산읍,충청남도 예산군 삽교읍,충청남도 예산군 대술면,충청남도 예산군 신양면,충청남도 예산군 광시면,충청남도 예산군 대흥면,충청남도 예산군 응봉면,충청남도 예산군 덕산면,충청남도 예산군 봉산면,충청남도 예산군 고덕면,충청남도 예산군 신암면,충청남도 예산군 오가면
2021년01월_계_총인구수,"78,129","33,455","10,001","2,457","3,048","3,179","1,765","2,530","6,688","2,514","4,529","3,533","4,430"
2021년01월_계_연령구간인구수,"78,129","33,455","10,001","2,457","3,048","3,179","1,765","2,530","6,688","2,514","4,529","3,533","4,430"
2021년01월_계_0~9세,"3,599","2,119",537,58,63,80,36,55,253,72,129,95,102
2021년01월_계_10~19세,"5,756","3,396",665,72,154,140,64,141,395,144,251,132,202
2021년01월_계_20~29세,"6,787","3,523","1,102",126,145,167,86,190,488,138,276,235,311
2021년01월_계_30~39세,"6,114","2,964","1,167",143,173,137,77,142,452,145,240,210,264
2021년01월_계_40~49세,"9,518","4,978","1,183",226,270,284,147,241,753,232,438,328,438
2021년01월_계_50~59세,"13,582","5,907","1,579",421,471,550,269,464,"1,325",424,772,587,813
2021년01월_계_60~69세,"14,850","5,401","1,663",584,741,689,471,585,"1,419",546,941,807,"1,003"
2021년01월_계_70~79세,"10,455","3,286","1,174",470,567,587,341,383,931,442,873,651,750
2021년01월_계_80~89세,"6,581","1,659",829,311,410,490,234,287,583,312,548,436,482
2021년01월_계_90~99세,848,210,96,42,52,54,39,39,86,56,59,51,64
2021년01월_계_100세 이상,39,12,6,4,2,1,1,3,3,3,2,1,1
2021년01월_남_총인구수,"39,195","16,621","5,031","1,273","1,541","1,567",882,"1,317","3,316","1,271","2,298","1,781","2,297"
2021년01월_남_연령구간인구수,"39,195","16,621","5,031","1,273","1,541","1,567",882,"1,317","3,316","1,271","2,298","1,781","2,297"
2021년01월_남_0~9세,"1,872","1,109",268,28,36,42,21,29,129,37,66,51,56
2021년01월_남_10~19세,"2,964","1,717",348,37,89,70,36,78,210,69,124,73,113
2021년01월_남_20~29세,"3,816","1,931",596,72,88,91,47,115,291,85,163,145,192
2021년01월_남_30~39세,"3,392","1,567",653,84,105,80,46,90,243,91,143,123,167
2021년01월_남_40~49세,"5,224","2,528",668,158,155,172,91,158,415,137,276,191,275
2021년01월_남_50~59세,"7,270","3,047",838,246,261,314,147,243,682,246,444,335,467
2021년01월_남_60~69세,"7,339","2,590",808,302,372,362,248,301,693,267,469,421,506
2021년01월_남_70~79세,"4,739","1,480",538,222,260,255,161,175,425,204,407,284,328
2021년01월_남_80~89세,"2,382",599,296,118,164,166,83,117,207,116,196,144,176
2021년01월_남_90~99세,192,51,18,5,11,15,2,10,21,18,10,14,17
2021년01월_남_100세 이상,5,2,0,1,0,0,0,1,0,1,0,0,0
2021년01월_여_총인구수,"38,934","16,834","4,970","1,184","1,507","1,612",883,"1,213","3,372","1,243","2,231","1,752","2,133"
2021년01월_여_연령구간인구수,"38,934","16,834","4,970","1,184","1,507","1,612",883,"1,213","3,372","1,243","2,231","1,752","2,133"
2021년01월_여_0~9세,"1,727","1,010",269,30,27,38,15,26,124,35,63,44,46
2021년01월_여_10~19세,"2,792","1,679",317,35,65,70,28,63,185,75,127,59,89
2021년01월_여_20~29세,"2,971","1,592",506,54,57,76,39,75,197,53,113,90,119
2021년01월_여_30~39세,"2,722","1,397",514,59,68,57,31,52,209,54,97,87,97
2021년01월_여_40~49세,"4,294","2,450",515,68,115,112,56,83,338,95,162,137,163
2021년01월_여_50~59세,"6,312","2,860",741,175,210,236,122,221,643,178,328,252,346
2021년01월_여_60~69세,"7,511","2,811",855,282,369,327,223,284,726,279,472,386,497
2021년01월_여_70~79세,"5,716","1,806",636,248,307,332,180,208,506,238,466,367,422
2021년01월_여_80~89세,"4,199","1,060",533,193,246,324,151,170,376,196,352,292,306
2021년01월_여_90~99세,656,159,78,37,41,39,37,29,65,38,49,37,47
2021년01월_여_100세 이상,34,10,6,3,2,1,1,2,3,2,2,1,1
