카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2021년02월_계_총인구수,"67,279","11,053","13,419","10,606","14,850","9,563","7,788"
2021년02월_계_연령구간인구수,"67,279","11,053","13,419","10,606","14,850","9,563","7,788"
2021년02월_계_0~9세,"5,811",815,"1,643",692,"1,454",642,565
2021년02월_계_10~19세,"6,691",995,"1,716","1,117","1,416",597,850
2021년02월_계_20~29세,"9,055","1,601","1,474","1,655","2,008","1,294","1,023"
2021년02월_계_30~39세,"9,413","1,473","1,746","1,259","2,342","1,646",947
2021년02월_계_40~49세,"10,228","1,463","2,505","1,415","2,176","1,417","1,252"
2021년02월_계_50~59세,"11,707","2,055","2,111","2,040","2,603","1,556","1,342"
2021년02월_계_60~69세,"8,055","1,533","1,251","1,308","1,640","1,396",927
2021년02월_계_70~79세,"3,883",653,618,604,730,693,585
2021년02월_계_80~89세,"1,992",370,303,413,390,281,235
2021년02월_계_90~99세,390,82,47,90,86,38,47
2021년02월_계_100세 이상,54,13,5,13,5,3,15
2021년02월_남_총인구수,"33,019","5,360","6,520","5,059","7,283","5,002","3,795"
2021년02월_남_연령구간인구수,"33,019","5,360","6,520","5,059","7,283","5,002","3,795"
2021년02월_남_0~9세,"3,020",424,848,361,760,323,304
2021년02월_남_10~19세,"3,446",495,853,573,746,326,453
2021년02월_남_20~29세,"4,759",852,760,845,"1,036",720,546
2021년02월_남_30~39세,"4,724",721,788,616,"1,156",949,494
2021년02월_남_40~49세,"4,928",670,"1,214",637,"1,041",769,597
2021년02월_남_50~59세,"5,672",965,"1,055",971,"1,243",773,665
2021년02월_남_60~69세,"3,930",780,620,625,814,686,405
2021년02월_남_70~79세,"1,714",298,247,259,330,334,246
2021년02월_남_80~89세,727,136,121,145,140,111,74
2021년02월_남_90~99세,88,17,14,23,16,11,7
2021년02월_남_100세 이상,11,2,0,4,1,0,4
2021년02월_여_총인구수,"34,260","5,693","6,899","5,547","7,567","4,561","3,993"
2021년02월_여_연령구간인구수,"34,260","5,693","6,899","5,547","7,567","4,561","3,993"
2021년02월_여_0~9세,"2,791",391,795,331,694,319,261
2021년02월_여_10~19세,"3,245",500,863,544,670,271,397
2021년02월_여_20~29세,"4,296",749,714,810,972,574,477
2021년02월_여_30~39세,"4,689",752,958,643,"1,186",697,453
2021년02월_여_40~49세,"5,300",793,"1,291",778,"1,135",648,655
2021년02월_여_50~59세,"6,035","1,090","1,056","1,069","1,360",783,677
2021년02월_여_60~69세,"4,125",753,631,683,826,710,522
2021년02월_여_70~79세,"2,169",355,371,345,400,359,339
2021년02월_여_80~89세,"1,265",234,182,268,250,170,161
2021년02월_여_90~99세,302,65,33,67,70,27,40
2021년02월_여_100세 이상,43,11,5,9,4,3,11
