카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2021년11월_계_총인구수,"92,086","16,666","19,610","2,860","2,996","13,046","15,691","6,818","4,494","9,905"
2021년11월_계_연령구간인구수,"92,086","16,666","19,610","2,860","2,996","13,046","15,691","6,818","4,494","9,905"
2021년11월_계_0~9세,"5,428",825,"1,163",46,60,"1,430","1,029",228,157,490
2021년11월_계_10~19세,"7,398","1,339","1,878",112,106,"1,133","1,504",393,214,719
2021년11월_계_20~29세,"9,126","1,623","2,136",131,156,"1,368","1,783",606,338,985
2021년11월_계_30~39세,"9,104","1,415","1,879",159,163,"2,280","1,628",495,288,797
2021년11월_계_40~49세,"13,351","2,210","3,199",208,213,"2,273","2,761",800,462,"1,225"
2021년11월_계_50~59세,"17,372","3,126","3,904",494,513,"1,809","3,275","1,502",875,"1,874"
2021년11월_계_60~69세,"16,537","3,301","3,117",750,851,"1,608","2,212","1,537","1,107","2,054"
2021년11월_계_70~79세,"8,154","1,737","1,404",527,516,690,894,737,591,"1,058"
2021년11월_계_80~89세,"4,861",955,804,369,353,393,536,452,387,612
2021년11월_계_90~99세,736,133,122,62,63,62,69,64,72,89
2021년11월_계_100세 이상,19,2,4,2,2,0,0,4,3,2
2021년11월_남_총인구수,"48,796","8,511","10,500","1,465","1,554","6,915","8,590","3,792","2,425","5,044"
2021년11월_남_연령구간인구수,"48,796","8,511","10,500","1,465","1,554","6,915","8,590","3,792","2,425","5,044"
2021년11월_남_0~9세,"2,809",429,612,24,29,736,527,135,85,232
2021년11월_남_10~19세,"3,878",680,"1,017",61,59,591,793,209,110,358
2021년11월_남_20~29세,"5,253",917,"1,270",78,97,717,"1,050",377,215,532
2021년11월_남_30~39세,"5,187",772,"1,076",108,90,"1,243",973,303,183,439
2021년11월_남_40~49세,"7,448","1,207","1,735",132,141,"1,244","1,522",501,285,681
2021년11월_남_50~59세,"9,648","1,641","2,203",269,278,990,"1,882",880,504,"1,001"
2021년11월_남_60~69세,"8,843","1,700","1,635",397,469,905,"1,228",859,596,"1,054"
2021년11월_남_70~79세,"3,876",800,631,248,266,335,426,362,290,518
2021년11월_남_80~89세,"1,686",331,288,136,111,142,173,151,145,209
2021년11월_남_90~99세,162,33,32,12,14,12,16,13,11,19
2021년11월_남_100세 이상,6,1,1,0,0,0,0,2,1,1
2021년11월_여_총인구수,"43,290","8,155","9,110","1,395","1,442","6,131","7,101","3,026","2,069","4,861"
2021년11월_여_연령구간인구수,"43,290","8,155","9,110","1,395","1,442","6,131","7,101","3,026","2,069","4,861"
2021년11월_여_0~9세,"2,619",396,551,22,31,694,502,93,72,258
2021년11월_여_10~19세,"3,520",659,861,51,47,542,711,184,104,361
2021년11월_여_20~29세,"3,873",706,866,53,59,651,733,229,123,453
2021년11월_여_30~39세,"3,917",643,803,51,73,"1,037",655,192,105,358
2021년11월_여_40~49세,"5,903","1,003","1,464",76,72,"1,029","1,239",299,177,544
2021년11월_여_50~59세,"7,724","1,485","1,701",225,235,819,"1,393",622,371,873
2021년11월_여_60~69세,"7,694","1,601","1,482",353,382,703,984,678,511,"1,000"
2021년11월_여_70~79세,"4,278",937,773,279,250,355,468,375,301,540
2021년11월_여_80~89세,"3,175",624,516,233,242,251,363,301,242,403
2021년11월_여_90~99세,574,100,90,50,49,50,53,51,61,70
2021년11월_여_100세 이상,13,1,3,2,2,0,0,2,2,1
