카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020년06월_계_총인구수,"94,143","6,913","11,464","5,181","3,130","27,755","25,839","8,641","5,220"
2020년06월_계_연령구간인구수,"94,143","6,913","11,464","5,181","3,130","27,755","25,839","8,641","5,220"
2020년06월_계_0~9세,"6,584",479,761,152,171,"2,086","2,354",385,196
2020년06월_계_10~19세,"8,768",560,"1,206",232,198,"2,761","3,030",501,280
2020년06월_계_20~29세,"11,188",768,"1,270",509,347,"3,482","3,335",908,569
2020년06월_계_30~39세,"10,362",785,"1,121",441,302,"3,137","3,249",789,538
2020년06월_계_40~49세,"14,482",955,"1,854",608,400,"4,278","4,645","1,117",625
2020년06월_계_50~59세,"16,373","1,251","1,954","1,085",578,"4,879","3,975","1,619","1,032"
2020년06월_계_60~69세,"12,788","1,065","1,509","1,067",527,"3,610","2,464","1,603",943
2020년06월_계_70~79세,"8,752",662,"1,151",654,403,"2,305","1,819","1,102",656
2020년06월_계_80~89세,"4,172",343,573,337,179,"1,071",838,517,314
2020년06월_계_90~99세,593,42,58,73,23,134,126,79,58
2020년06월_계_100세 이상,81,3,7,23,2,12,4,21,9
2020년06월_남_총인구수,"46,951","3,422","5,657","2,682","1,477","13,710","12,748","4,487","2,768"
2020년06월_남_연령구간인구수,"46,951","3,422","5,657","2,682","1,477","13,710","12,748","4,487","2,768"
2020년06월_남_0~9세,"3,427",252,420,88,85,"1,051","1,227",193,111
2020년06월_남_10~19세,"4,402",261,611,120,86,"1,380","1,522",280,142
2020년06월_남_20~29세,"6,079",428,709,272,203,"1,892","1,724",515,336
2020년06월_남_30~39세,"5,341",400,552,260,154,"1,587","1,650",428,310
2020년06월_남_40~49세,"7,455",499,950,354,206,"2,120","2,312",647,367
2020년06월_남_50~59세,"8,630",648,"1,024",615,292,"2,519","2,070",880,582
2020년06월_남_60~69세,"6,246",521,702,559,250,"1,777","1,137",808,492
2020년06월_남_70~79세,"3,652",273,449,275,146,953,743,513,300
2020년06월_남_80~89세,"1,532",127,224,105,50,393,330,195,108
2020년06월_남_90~99세,169,13,14,29,5,35,32,24,17
2020년06월_남_100세 이상,18,0,2,5,0,3,1,4,3
2020년06월_여_총인구수,"47,192","3,491","5,807","2,499","1,653","14,045","13,091","4,154","2,452"
2020년06월_여_연령구간인구수,"47,192","3,491","5,807","2,499","1,653","14,045","13,091","4,154","2,452"
2020년06월_여_0~9세,"3,157",227,341,64,86,"1,035","1,127",192,85
2020년06월_여_10~19세,"4,366",299,595,112,112,"1,381","1,508",221,138
2020년06월_여_20~29세,"5,109",340,561,237,144,"1,590","1,611",393,233
2020년06월_여_30~39세,"5,021",385,569,181,148,"1,550","1,599",361,228
2020년06월_여_40~49세,"7,027",456,904,254,194,"2,158","2,333",470,258
2020년06월_여_50~59세,"7,743",603,930,470,286,"2,360","1,905",739,450
2020년06월_여_60~69세,"6,542",544,807,508,277,"1,833","1,327",795,451
2020년06월_여_70~79세,"5,100",389,702,379,257,"1,352","1,076",589,356
2020년06월_여_80~89세,"2,640",216,349,232,129,678,508,322,206
2020년06월_여_90~99세,424,29,44,44,18,99,94,55,41
2020년06월_여_100세 이상,63,3,5,18,2,9,3,17,6
