카테고리,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년09월_계_총인구수,"263,262","15,878","32,788","12,389","16,941","15,458","44,419","16,873","12,267","8,577","8,290","13,143","6,786","12,899","13,725","8,599","15,731","8,499"
2021년09월_계_연령구간인구수,"263,262","15,878","32,788","12,389","16,941","15,458","44,419","16,873","12,267","8,577","8,290","13,143","6,786","12,899","13,725","8,599","15,731","8,499"
2021년09월_계_0~9세,"16,929",486,"2,651","1,019","1,034","1,718","3,262","1,335",471,495,502,614,264,583,716,346,"1,118",315
2021년09월_계_10~19세,"22,606",922,"3,175",880,"1,390","1,576","5,028","1,775",864,638,768,916,469,875,"1,169",377,"1,284",500
2021년09월_계_20~29세,"34,568","3,660","6,506","1,179","2,765","1,667","4,825","1,598","1,361",895,"1,036","1,409",634,"1,232","1,653","1,261","1,875","1,012"
2021년09월_계_30~39세,"28,586","1,806","4,016","1,651","1,953","2,078","3,951","1,730","1,080","1,006",809,"1,304",611,"1,190","1,254","1,315","2,049",783
2021년09월_계_40~49세,"40,735","2,029","5,615","1,880","2,574","2,781","7,551","2,780","1,612","1,302","1,239","1,866",999,"1,781","2,086","1,154","2,395","1,091"
2021년09월_계_50~59세,"42,248","2,216","4,597","1,826","2,503","2,243","7,973","2,675","2,098","1,335","1,500","2,207","1,108","2,083","2,466","1,275","2,622","1,521"
2021년09월_계_60~69세,"41,385","2,338","3,503","2,014","2,443","1,886","6,521","2,795","2,552","1,629","1,359","2,595","1,346","2,696","2,325","1,392","2,359","1,632"
2021년09월_계_70~79세,"25,019","1,670","1,864","1,349","1,577","1,056","3,631","1,568","1,593",910,759,"1,553",936,"1,715","1,424",933,"1,390","1,091"
2021년09월_계_80~89세,"9,960",678,751,538,639,399,"1,465",535,569,319,279,614,382,649,573,487,581,502
2021년09월_계_90~99세,"1,159",63,106,51,62,53,211,76,64,40,36,50,35,92,59,56,58,47
2021년09월_계_100세 이상,67,10,4,2,1,1,1,6,3,8,3,15,2,3,0,3,0,5
2021년09월_남_총인구수,"128,663","8,004","16,028","6,048","8,152","7,443","21,355","8,256","5,929","4,121","4,205","6,703","3,336","6,380","6,668","4,245","7,634","4,156"
2021년09월_남_연령구간인구수,"128,663","8,004","16,028","6,048","8,152","7,443","21,355","8,256","5,929","4,121","4,205","6,703","3,336","6,380","6,668","4,245","7,634","4,156"
2021년09월_남_0~9세,"8,605",234,"1,356",519,539,840,"1,629",669,230,268,267,322,133,325,382,184,551,157
2021년09월_남_10~19세,"11,650",468,"1,649",468,713,816,"2,563",918,438,313,396,485,260,450,592,201,647,273
2021년09월_남_20~29세,"18,288","2,002","3,336",618,"1,329",852,"2,608",880,744,461,599,816,355,694,881,563,999,551
2021년09월_남_30~39세,"14,671","1,047","1,985",832,983,996,"1,861",867,597,531,433,723,334,632,638,720,"1,055",437
2021년09월_남_40~49세,"20,442","1,080","2,761","1,005","1,269","1,348","3,509","1,373",833,663,617,"1,028",531,962,"1,053",636,"1,196",578
2021년09월_남_50~59세,"20,629","1,108","2,186",875,"1,226","1,073","3,839","1,297","1,004",626,763,"1,127",578,"1,048","1,198",675,"1,263",743
2021년09월_남_60~69세,"19,081","1,007","1,590",920,"1,109",848,"3,097","1,291","1,138",713,680,"1,254",584,"1,228","1,104",688,"1,072",758
2021년09월_남_70~79세,"11,188",734,855,588,698,496,"1,621",760,731,409,327,702,405,786,610,403,616,447
2021년09월_남_80~89세,"3,846",306,289,211,270,161,571,192,202,119,117,234,150,240,200,163,222,199
2021년09월_남_90~99세,249,16,20,12,15,13,57,8,12,15,5,9,6,14,10,12,13,12
2021년09월_남_100세 이상,14,2,1,0,1,0,0,1,0,3,1,3,0,1,0,0,0,1
2021년09월_여_총인구수,"134,599","7,874","16,760","6,341","8,789","8,015","23,064","8,617","6,338","4,456","4,085","6,440","3,450","6,519","7,057","4,354","8,097","4,343"
2021년09월_여_연령구간인구수,"134,599","7,874","16,760","6,341","8,789","8,015","23,064","8,617","6,338","4,456","4,085","6,440","3,450","6,519","7,057","4,354","8,097","4,343"
2021년09월_여_0~9세,"8,324",252,"1,295",500,495,878,"1,633",666,241,227,235,292,131,258,334,162,567,158
2021년09월_여_10~19세,"10,956",454,"1,526",412,677,760,"2,465",857,426,325,372,431,209,425,577,176,637,227
2021년09월_여_20~29세,"16,280","1,658","3,170",561,"1,436",815,"2,217",718,617,434,437,593,279,538,772,698,876,461
2021년09월_여_30~39세,"13,915",759,"2,031",819,970,"1,082","2,090",863,483,475,376,581,277,558,616,595,994,346
