,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2021년02월_계_총인구수,"42,226","7,169","1,106","10,316","1,613","2,141","3,914","2,228","4,532","2,090","3,317","3,800"
2021년02월_계_연령구간인구수,"42,226","7,169","1,106","10,316","1,613","2,141","3,914","2,228","4,532","2,090","3,317","3,800"
2021년02월_계_0~9세,"1,489",455,41,445,41,45,125,61,127,34,58,57
2021년02월_계_10~19세,"2,283",659,25,727,52,71,155,59,276,42,104,113
2021년02월_계_20~29세,"2,803",594,60,850,75,118,217,129,266,126,177,191
2021년02월_계_30~39세,"2,720",627,84,824,86,110,249,108,238,90,132,172
2021년02월_계_40~49세,"4,435","1,003",90,"1,352",148,162,342,147,466,175,264,286
2021년02월_계_50~59세,"7,234","1,204",172,"1,772",256,333,660,436,767,424,582,628
2021년02월_계_60~69세,"9,702","1,288",271,"2,120",449,530,990,591,"1,067",532,839,"1,025"
2021년02월_계_70~79세,"6,645",785,198,"1,344",309,444,635,410,764,348,662,746
2021년02월_계_80~89세,"4,281",475,142,775,172,278,478,256,474,283,430,518
2021년02월_계_90~99세,613,74,21,103,25,50,60,30,85,36,65,64
2021년02월_계_100세 이상,21,5,2,4,0,0,3,1,2,0,4,0
2021년02월_남_총인구수,"20,769","3,506",552,"5,042",780,"1,036","1,913","1,105","2,212","1,035","1,680","1,908"
2021년02월_남_연령구간인구수,"20,769","3,506",552,"5,042",780,"1,036","1,913","1,105","2,212","1,035","1,680","1,908"
2021년02월_남_0~9세,764,237,19,215,15,26,63,33,68,23,36,29
2021년02월_남_10~19세,"1,163",323,20,356,33,41,69,24,152,28,60,57
2021년02월_남_20~29세,"1,657",344,31,491,46,72,125,82,154,76,108,128
2021년02월_남_30~39세,"1,454",308,48,444,48,64,140,56,109,51,78,108
2021년02월_남_40~49세,"2,479",526,64,728,91,99,203,76,254,88,167,183
2021년02월_남_50~59세,"3,858",611,90,920,137,177,363,234,412,237,335,342
2021년02월_남_60~69세,"4,850",642,134,"1,048",210,263,486,317,513,293,429,515
2021년02월_남_70~79세,"3,054",345,87,588,142,199,293,184,385,144,321,366
2021년02월_남_80~89세,"1,366",154,54,231,54,84,155,97,150,86,134,167
2021년02월_남_90~99세,123,16,4,21,4,11,16,2,15,9,12,13
2021년02월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년02월_여_총인구수,"21,457","3,663",554,"5,274",833,"1,105","2,001","1,123","2,320","1,055","1,637","1,892"
2021년02월_여_연령구간인구수,"21,457","3,663",554,"5,274",833,"1,105","2,001","1,123","2,320","1,055","1,637","1,892"
2021년02월_여_0~9세,725,218,22,230,26,19,62,28,59,11,22,28
2021년02월_여_10~19세,"1,120",336,5,371,19,30,86,35,124,14,44,56
2021년02월_여_20~29세,"1,146",250,29,359,29,46,92,47,112,50,69,63
2021년02월_여_30~39세,"1,266",319,36,380,38,46,109,52,129,39,54,64
2021년02월_여_40~49세,"1,956",477,26,624,57,63,139,71,212,87,97,103
2021년02월_여_50~59세,"3,376",593,82,852,119,156,297,202,355,187,247,286
2021년02월_여_60~69세,"4,852",646,137,"1,072",239,267,504,274,554,239,410,510
2021년02월_여_70~79세,"3,591",440,111,756,167,245,342,226,379,204,341,380
2021년02월_여_80~89세,"2,915",321,88,544,118,194,323,159,324,197,296,351
2021년02월_여_90~99세,490,58,17,82,21,39,44,28,70,27,53,51
2021년02월_여_100세 이상,20,5,1,4,0,0,3,1,2,0,4,0
