카테고리,세종특별자치시,세종특별자치시 세종특별자치시
2020년10월_계_총인구수,"351,007","351,007"
2020년10월_계_연령구간인구수,"351,007","351,007"
2020년10월_계_0~9세,"47,042","47,042"
2020년10월_계_10~19세,"41,968","41,968"
2020년10월_계_20~29세,"36,742","36,742"
2020년10월_계_30~39세,"60,994","60,994"
2020년10월_계_40~49세,"67,761","67,761"
2020년10월_계_50~59세,"44,596","44,596"
2020년10월_계_60~69세,"29,409","29,409"
2020년10월_계_70~79세,"14,219","14,219"
2020년10월_계_80~89세,"7,045","7,045"
2020년10월_계_90~99세,"1,177","1,177"
2020년10월_계_100세 이상,54,54
2020년10월_남_총인구수,"175,135","175,135"
2020년10월_남_연령구간인구수,"175,135","175,135"
2020년10월_남_0~9세,"24,095","24,095"
2020년10월_남_10~19세,"21,040","21,040"
2020년10월_남_20~29세,"18,658","18,658"
2020년10월_남_30~39세,"29,744","29,744"
2020년10월_남_40~49세,"34,640","34,640"
2020년10월_남_50~59세,"23,211","23,211"
2020년10월_남_60~69세,"14,571","14,571"
2020년10월_남_70~79세,"6,513","6,513"
2020년10월_남_80~89세,"2,395","2,395"
2020년10월_남_90~99세,257,257
2020년10월_남_100세 이상,11,11
2020년10월_여_총인구수,"175,872","175,872"
2020년10월_여_연령구간인구수,"175,872","175,872"
2020년10월_여_0~9세,"22,947","22,947"
2020년10월_여_10~19세,"20,928","20,928"
2020년10월_여_20~29세,"18,084","18,084"
2020년10월_여_30~39세,"31,250","31,250"
2020년10월_여_40~49세,"33,121","33,121"
2020년10월_여_50~59세,"21,385","21,385"
2020년10월_여_60~69세,"14,838","14,838"
2020년10월_여_70~79세,"7,706","7,706"
2020년10월_여_80~89세,"4,650","4,650"
2020년10월_여_90~99세,920,920
2020년10월_여_100세 이상,43,43
