,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년10월_계_총인구수,"323,789","6,456","81,392","4,214","24,556","20,313","22,491","5,515","6,296","3,072","4,418","19,686","9,364","10,757","36,473","18,584","21,379","28,823"
2021년10월_계_연령구간인구수,"323,789","6,456","81,392","4,214","24,556","20,313","22,491","5,515","6,296","3,072","4,418","19,686","9,364","10,757","36,473","18,584","21,379","28,823"
2021년10월_계_0~9세,"31,816",327,"9,753",175,"3,204","2,447","2,522",136,275,62,102,"1,414",872,404,"3,628","1,429","2,003","3,063"
2021년10월_계_10~19세,"35,409",491,"9,755",363,"3,434","1,829","1,522",265,377,110,169,"2,038",726,783,"4,887","2,364","2,740","3,556"
2021년10월_계_20~29세,"37,401",544,"10,230",286,"3,144","2,098","2,412",410,515,166,328,"2,420","1,112","1,676","4,431","2,096","2,710","2,823"
2021년10월_계_30~39세,"48,512",585,"15,024",266,"4,401","3,526","4,776",408,584,181,299,"2,074","1,683","1,213","4,781","2,031","2,751","3,929"
2021년10월_계_40~49세,"57,866",883,"15,478",524,"5,363","3,537","3,741",538,898,236,382,"3,385","1,505","1,451","6,968","3,391","4,010","5,576"
2021년10월_계_50~59세,"48,104","1,126","10,792",750,"2,767","2,852","3,112",965,"1,193",505,825,"3,276","1,305","2,009","5,480","3,239","3,459","4,449"
2021년10월_계_60~69세,"34,782","1,210","6,131",852,"1,253","2,361","2,503","1,292","1,200",777,"1,031","2,604","1,150","1,724","3,512","2,207","2,037","2,938"
2021년10월_계_70~79세,"18,310",715,"2,729",581,607,"1,004","1,152",840,667,570,710,"1,522",661,964,"1,797","1,185","1,064","1,542"
2021년10월_계_80~89세,"10,144",507,"1,299",358,330,570,645,575,517,411,515,849,294,464,867,558,536,849
2021년10월_계_90~99세,"1,388",65,191,54,52,88,103,84,70,52,54,100,53,65,116,82,64,95
2021년10월_계_100세 이상,57,3,10,5,1,1,3,2,0,2,3,4,3,4,6,2,5,3
2021년10월_남_총인구수,"168,355","3,404","41,741","2,156","13,271","11,016","12,697","2,920","3,510","1,581","2,260","10,308","4,894","5,600","18,247","9,467","10,971","14,312"
2021년10월_남_연령구간인구수,"168,355","3,404","41,741","2,156","13,271","11,016","12,697","2,920","3,510","1,581","2,260","10,308","4,894","5,600","18,247","9,467","10,971","14,312"
2021년10월_남_0~9세,"16,339",171,"4,993",91,"1,650","1,213","1,320",66,145,36,45,739,432,195,"1,871",771,"1,080","1,521"
2021년10월_남_10~19세,"18,220",262,"5,027",194,"1,772",954,772,152,206,58,83,"1,021",393,408,"2,445","1,239","1,441","1,793"
2021년10월_남_20~29세,"20,846",333,"5,353",158,"1,817","1,333","1,460",256,328,89,191,"1,419",585,967,"2,350","1,192","1,526","1,489"
2021년10월_남_30~39세,"25,915",352,"7,775",142,"2,297","1,928","2,863",247,382,112,172,"1,129",933,736,"2,398","1,066","1,449","1,934"
2021년10월_남_40~49세,"31,372",515,"8,141",292,"3,043","2,095","2,375",325,571,153,235,"1,824",866,789,"3,559","1,726","2,035","2,828"
2021년10월_남_50~59세,"26,101",620,"5,683",415,"1,657","1,583","1,788",557,727,300,465,"1,821",702,"1,041","2,868","1,689","1,786","2,399"
2021년10월_남_60~69세,"17,467",619,"3,044",444,636,"1,216","1,344",705,649,379,541,"1,358",574,831,"1,641","1,066",985,"1,435"
2021년10월_남_70~79세,"8,189",335,"1,234",283,267,492,543,383,306,283,322,666,300,440,767,507,442,619
2021년10월_남_80~89세,"3,589",185,448,125,123,186,210,209,180,157,193,306,100,173,316,194,213,271
2021년10월_남_90~99세,305,12,38,12,8,16,21,19,16,13,12,25,9,19,32,17,14,22
2021년10월_남_100세 이상,12,0,5,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1
2021년10월_여_총인구수,"155,434","3,052","39,651","2,058","11,285","9,297","9,794","2,595","2,786","1,491","2,158","9,378","4,470","5,157","18,226","9,117","10,408","14,511"
2021년10월_여_연령구간인구수,"155,434","3,052","39,651","2,058","11,285","9,297","9,794","2,595","2,786","1,491","2,158","9,378","4,470","5,157","18,226","9,117","10,408","14,511"
2021년10월_여_0~9세,"15,477",156,"4,760",84,"1,554","1,234","1,202",70,130,26,57,675,440,209,"1,757",658,923,"1,542"
2021년10월_여_10~19세,"17,189",229,"4,728",169,"1,662",875,750,113,171,52,86,"1,017",333,375,"2,442","1,125","1,299","1,763"
2021년10월_여_20~29세,"16,555",211,"4,877",128,"1,327",765,952,154,187,77,137,"1,001",527,709,"2,081",904,"1,184","1,334"
2021년10월_여_30~39세,"22,597",233,"7,249",124,"2,104","1,598","1,913",161,202,69,127,945,750,477,"2,383",965,"1,302","1,995"
2021년10월_여_40~49세,"26,494",368,"7,337",232,"2,320","1,442","1,366",213,327,83,147,"1,561",639,662,"3,409","1,665","1,975","2,748"
2021년10월_여_50~59세,"22,003",506,"5,109",335,"1,110","1,269","1,324",408,466,205,360,"1,455",603,968,"2,612","1,550","1,673","2,050"
2021년10월_여_60~69세,"17,315",591,"3,087",408,617,"1,145","1,159",587,551,398,490,"1,246",576,893,"1,871","1,141","1,052","1,503"
2021년10월_여_70~79세,"10,121",380,"1,495",298,340,512,609,457,361,287,388,856,361,524,"1,030",678,622,923
2021년10월_여_80~89세,"6,555",322,851,233,207,384,435,366,337,254,322,543,194,291,551,364,323,578
2021년10월_여_90~99세,"1,083",53,153,42,44,72,82,65,54,39,42,75,44,46,84,65,50,73
2021년10월_여_100세 이상,45,3,5,5,0,1,2,1,0,1,2,4,3,3,6,2,5,2
