카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년06월_계_총인구수,"528,887","22,950","27,877","31,032","38,082","40,015","27,907","23,002","25,387","27,671","20,945","36,023","39,598","20,831","27,343","24,893","34,004","23,455","21,530","16,342"
2020년06월_계_연령구간인구수,"528,887","22,950","27,877","31,032","38,082","40,015","27,907","23,002","25,387","27,671","20,945","36,023","39,598","20,831","27,343","24,893","34,004","23,455","21,530","16,342"
2020년06월_계_0~9세,"34,803","1,293","1,862","2,375","2,240","3,002","1,251","1,601","1,652","2,031","1,223","2,235","2,509","1,048","1,489","1,175","2,672","2,599","1,518","1,028"
2020년06월_계_10~19세,"54,845","1,811","2,259","2,243","2,834","4,588","3,345","2,893","4,519","5,833","2,416","3,339","3,443","1,960","2,186","2,144","3,162","2,190","2,247","1,433"
2020년06월_계_20~29세,"73,904","3,886","3,297","3,662","6,796","6,657","4,833","3,195","3,365","3,000","2,641","4,420","5,465","3,338","3,285","3,470","4,723","2,725","2,742","2,404"
2020년06월_계_30~39세,"66,407","2,862","3,439","4,805","5,542","5,299","2,789","2,618","1,986","2,061","2,043","4,441","5,042","2,393","3,045","2,728","5,011","4,890","2,898","2,515"
2020년06월_계_40~49세,"88,202","3,511","4,426","4,751","5,565","6,753","4,376","4,167","5,220","6,743","3,626","6,069","5,852","3,228","4,095","3,809","5,758","4,009","3,661","2,583"
2020년06월_계_50~59세,"88,369","3,647","4,624","4,880","5,888","6,103","5,002","3,988","4,618","4,472","3,643","5,715","7,131","3,977","4,890","4,556","5,643","3,054","3,629","2,909"
2020년06월_계_60~69세,"66,496","3,123","4,372","4,505","5,335","4,307","3,450","2,429","2,269","1,994","2,608","4,784","5,801","2,794","4,246","3,613","3,883","2,209","2,726","2,048"
2020년06월_계_70~79세,"37,196","1,980","2,458","2,595","2,699","2,234","1,819","1,341","1,118",982,"1,879","3,294","2,882","1,438","2,780","2,303","1,983","1,167","1,359",885
2020년06월_계_80~89세,"15,997",712,977,"1,059","1,014",915,905,674,539,482,744,"1,495","1,217",556,"1,163",924,985,529,646,461
2020년06월_계_90~99세,"2,396",110,147,142,153,143,131,92,87,60,109,216,208,88,136,143,179,79,101,72
2020년06월_계_100세 이상,272,15,16,15,16,14,6,4,14,13,13,15,48,11,28,28,5,4,3,4
2020년06월_남_총인구수,"255,624","11,827","13,437","14,864","18,648","19,508","13,451","10,966","12,423","13,545","10,136","16,676","19,250","10,312","13,585","12,135","15,801","11,294","10,253","7,513"
2020년06월_남_연령구간인구수,"255,624","11,827","13,437","14,864","18,648","19,508","13,451","10,966","12,423","13,545","10,136","16,676","19,250","10,312","13,585","12,135","15,801","11,294","10,253","7,513"
2020년06월_남_0~9세,"17,941",657,946,"1,240","1,151","1,548",649,823,875,"1,108",615,"1,125","1,311",537,763,597,"1,363","1,340",777,516
2020년06월_남_10~19세,"28,407",967,"1,156","1,158","1,424","2,328","1,875","1,476","2,264","3,082","1,358","1,601","1,790","1,010","1,190","1,095","1,624","1,110","1,187",712
