,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년08월_계_총인구수,"2,943,491","139,154","63,093","404,360","378,093","528,255","499,290","298,184","543,627","69,003","20,432"
2020년08월_계_연령구간인구수,"2,943,491","139,154","63,093","404,360","378,093","528,255","499,290","298,184","543,627","69,003","20,432"
2020년08월_계_0~9세,"233,407","12,114","3,941","27,631","37,650","43,222","34,104","19,107","51,351","3,316",971
2020년08월_계_10~19세,"275,994","12,535","5,135","31,999","41,947","50,459","44,011","27,222","56,932","4,625","1,129"
2020년08월_계_20~29세,"402,504","19,291","6,699","57,195","51,093","71,493","71,035","44,652","72,976","5,422","2,648"
2020년08월_계_30~39세,"409,809","21,331","7,112","55,859","56,452","73,985","68,809","38,258","80,705","5,384","1,914"
2020년08월_계_40~49세,"485,648","24,430","10,194","63,581","66,955","89,489","78,384","46,495","95,900","7,771","2,449"
2020년08월_계_50~59세,"513,155","20,242","10,194","67,547","63,432","90,624","91,048","61,139","93,215","12,066","3,648"
2020년08월_계_60~69세,"357,885","15,640","9,894","54,673","36,836","64,107","64,652","37,614","56,627","13,915","3,927"
2020년08월_계_70~79세,"176,064","9,232","6,643","31,149","15,310","30,531","31,303","15,371","24,056","10,103","2,366"
2020년08월_계_80~89세,"76,036","3,649","2,777","12,575","7,127","12,249","13,654","7,178","10,117","5,581","1,129"
2020년08월_계_90~99세,"12,061",612,431,"1,973","1,238","1,962","2,096","1,080","1,648",783,238
2020년08월_계_100세 이상,928,78,73,178,53,134,194,68,100,37,13
2020년08월_남_총인구수,"1,474,620","72,058","31,856","203,663","188,008","262,483","247,094","148,767","274,487","34,585","11,619"
2020년08월_남_연령구간인구수,"1,474,620","72,058","31,856","203,663","188,008","262,483","247,094","148,767","274,487","34,585","11,619"
2020년08월_남_0~9세,"119,788","6,223","2,080","14,115","19,201","22,209","17,468","9,715","26,540","1,734",503
2020년08월_남_10~19세,"141,922","6,502","2,653","16,473","21,549","25,809","22,781","14,040","29,124","2,381",610
2020년08월_남_20~29세,"209,904","9,761","3,628","30,270","26,479","36,943","36,571","23,322","37,870","3,125","1,935"
2020년08월_남_30~39세,"211,851","11,530","3,789","29,971","27,840","38,002","35,595","19,869","41,235","2,830","1,190"
2020년08월_남_40~49세,"248,154","13,379","5,501","33,594","32,992","45,501","39,398","23,132","48,872","4,235","1,550"
2020년08월_남_50~59세,"256,654","11,096","5,407","33,902","31,382","44,672","44,665","29,927","47,301","6,207","2,095"
2020년08월_남_60~69세,"177,354","7,793","4,768","26,208","18,962","30,972","31,470","19,316","28,847","6,905","2,113"
2020년08월_남_70~79세,"80,115","4,292","2,934","14,107","7,015","13,817","14,079","6,899","11,044","4,762","1,166"
2020년08월_남_80~89세,"26,034","1,306",965,"4,528","2,292","4,131","4,593","2,299","3,308","2,206",406
2020년08월_남_90~99세,"2,600",151,108,449,283,396,431,232,313,190,47
2020년08월_남_100세 이상,244,25,23,46,13,31,43,16,33,10,4
2020년08월_여_총인구수,"1,468,871","67,096","31,237","200,697","190,085","265,772","252,196","149,417","269,140","34,418","8,813"
2020년08월_여_연령구간인구수,"1,468,871","67,096","31,237","200,697","190,085","265,772","252,196","149,417","269,140","34,418","8,813"
2020년08월_여_0~9세,"113,619","5,891","1,861","13,516","18,449","21,013","16,636","9,392","24,811","1,582",468
2020년08월_여_10~19세,"134,072","6,033","2,482","15,526","20,398","24,650","21,230","13,182","27,808","2,244",519
2020년08월_여_20~29세,"192,600","9,530","3,071","26,925","24,614","34,550","34,464","21,330","35,106","2,297",713
2020년08월_여_30~39세,"197,958","9,801","3,323","25,888","28,612","35,983","33,214","18,389","39,470","2,554",724
2020년08월_여_40~49세,"237,494","11,051","4,693","29,987","33,963","43,988","38,986","23,363","47,028","3,536",899
2020년08월_여_50~59세,"256,501","9,146","4,787","33,645","32,050","45,952","46,383","31,212","45,914","5,859","1,553"
2020년08월_여_60~69세,"180,531","7,847","5,126","28,465","17,874","33,135","33,182","18,298","27,780","7,010","1,814"
2020년08월_여_70~79세,"95,949","4,940","3,709","17,042","8,295","16,714","17,224","8,472","13,012","5,341","1,200"
2020년08월_여_80~89세,"50,002","2,343","1,812","8,047","4,835","8,118","9,061","4,879","6,809","3,375",723
2020년08월_여_90~99세,"9,461",461,323,"1,524",955,"1,566","1,665",848,"1,335",593,191
2020년08월_여_100세 이상,684,53,50,132,40,103,151,52,67,27,9
