카테고리,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020년06월_계_총인구수,"64,336","12,389","9,895",624,226,"3,191","2,983","4,419","3,938","5,000","1,900","2,661","3,378","2,339","3,156","2,309","3,119","1,301","1,508"
2020년06월_계_연령구간인구수,"64,336","12,389","9,895",624,226,"3,191","2,983","4,419","3,938","5,000","1,900","2,661","3,378","2,339","3,156","2,309","3,119","1,301","1,508"
2020년06월_계_0~9세,"2,653","1,027",538,20,4,69,73,129,91,122,58,43,84,66,119,64,73,29,44
2020년06월_계_10~19세,"3,977","1,477",773,19,13,101,140,197,179,232,94,99,142,100,124,66,103,51,67
2020년06월_계_20~29세,"4,289","1,216",790,14,10,149,148,249,220,276,85,115,235,133,212,126,154,70,87
2020년06월_계_30~39세,"3,837","1,201",760,23,15,139,152,200,152,218,73,99,150,129,173,110,117,49,77
2020년06월_계_40~49세,"6,436","1,876","1,223",28,33,230,229,377,342,441,159,196,271,156,269,150,218,97,141
2020년06월_계_50~59세,"10,494","1,944","1,700",42,44,507,503,709,656,843,296,440,625,377,495,413,453,191,256
2020년06월_계_60~69세,"12,505","1,714","1,855",104,31,709,628,922,829,"1,038",416,574,707,561,679,492,632,273,341
2020년06월_계_70~79세,"11,431","1,190","1,451",188,43,722,565,943,829,"1,043",412,581,621,454,573,479,737,308,292
2020년06월_계_80~89세,"7,459",613,696,158,32,474,468,624,550,690,259,412,460,314,439,355,536,197,182
2020년06월_계_90~99세,"1,207",124,105,28,1,91,76,67,83,89,46,102,79,47,69,52,92,35,21
2020년06월_계_100세 이상,48,7,4,0,0,0,1,2,7,8,2,0,4,2,4,2,4,1,0
2020년06월_남_총인구수,"31,214","6,101","4,832",315,118,"1,580","1,429","2,148","1,893","2,402",927,"1,246","1,605","1,095","1,549","1,112","1,462",628,772
2020년06월_남_연령구간인구수,"31,214","6,101","4,832",315,118,"1,580","1,429","2,148","1,893","2,402",927,"1,246","1,605","1,095","1,549","1,112","1,462",628,772
2020년06월_남_0~9세,"1,328",513,268,10,0,32,38,66,35,59,30,17,44,29,69,32,42,15,29
2020년06월_남_10~19세,"2,104",787,404,10,5,57,68,107,77,125,44,57,81,60,67,39,53,30,33
2020년06월_남_20~29세,"2,494",693,425,4,8,103,79,151,141,160,50,75,129,82,128,80,82,48,56
2020년06월_남_30~39세,"2,088",569,404,9,12,90,96,115,96,125,40,57,88,63,99,74,76,33,42
2020년06월_남_40~49세,"3,757",957,650,16,28,162,141,228,213,279,105,133,171,94,171,103,142,65,99
2020년06월_남_50~59세,"5,782","1,018",900,22,25,311,301,389,353,467,183,245,333,208,289,223,265,106,144
2020년06월_남_60~69세,"6,181",805,895,59,16,359,336,444,398,489,211,294,363,281,331,261,308,147,184
2020년06월_남_70~79세,"4,901",539,634,103,14,296,226,406,396,441,173,245,244,183,243,197,310,119,132
2020년06월_남_80~89세,"2,315",199,234,74,10,149,128,222,169,232,79,108,129,89,126,96,168,55,48
2020년06월_남_90~99세,257,19,17,8,0,21,16,19,15,24,11,15,23,6,26,6,16,10,5
2020년06월_남_100세 이상,7,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020년06월_여_총인구수,"33,122","6,288","5,063",309,108,"1,611","1,554","2,271","2,045","2,598",973,"1,415","1,773","1,244","1,607","1,197","1,657",673,736
2020년06월_여_연령구간인구수,"33,122","6,288","5,063",309,108,"1,611","1,554","2,271","2,045","2,598",973,"1,415","1,773","1,244","1,607","1,197","1,657",673,736
2020년06월_여_0~9세,"1,325",514,270,10,4,37,35,63,56,63,28,26,40,37,50,32,31,14,15
2020년06월_여_10~19세,"1,873",690,369,9,8,44,72,90,102,107,50,42,61,40,57,27,50,21,34
2020년06월_여_20~29세,"1,795",523,365,10,2,46,69,98,79,116,35,40,106,51,84,46,72,22,31
2020년06월_여_30~39세,"1,749",632,356,14,3,49,56,85,56,93,33,42,62,66,74,36,41,16,35
2020년06월_여_40~49세,"2,679",919,573,12,5,68,88,149,129,162,54,63,100,62,98,47,76,32,42
2020년06월_여_50~59세,"4,712",926,800,20,19,196,202,320,303,376,113,195,292,169,206,190,188,85,112
2020년06월_여_60~69세,"6,324",909,960,45,15,350,292,478,431,549,205,280,344,280,348,231,324,126,157
2020년06월_여_70~79세,"6,530",651,817,85,29,426,339,537,433,602,239,336,377,271,330,282,427,189,160
2020년06월_여_80~89세,"5,144",414,462,84,22,325,340,402,381,458,180,304,331,225,313,259,368,142,134
2020년06월_여_90~99세,950,105,88,20,1,70,60,48,68,65,35,87,56,41,43,46,76,25,16
2020년06월_여_100세 이상,41,5,3,0,0,0,1,1,7,7,1,0,4,2,4,1,4,1,0
