,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2021년07월_계_총인구수,"193,954","31,043","37,845","23,303","16,479","22,062","15,754","25,724","21,744"
2021년07월_계_연령구간인구수,"193,954","31,043","37,845","23,303","16,479","22,062","15,754","25,724","21,744"
2021년07월_계_0~9세,"14,468","4,440","2,592","1,699",720,"1,508",688,"1,298","1,523"
2021년07월_계_10~19세,"17,571","2,327","3,859","2,344","1,069","2,651","1,072","2,030","2,219"
2021년07월_계_20~29세,"26,563","3,235","5,549","3,328","2,219","3,035","2,373","3,793","3,031"
2021년07월_계_30~39세,"25,347","5,650","4,525","2,974","2,002","2,463","1,906","3,181","2,646"
2021년07월_계_40~49세,"32,008","5,939","6,191","3,866","2,501","3,757","2,245","3,629","3,880"
2021년07월_계_50~59세,"35,006","4,123","7,216","4,267","3,183","3,923","3,220","5,057","4,017"
2021년07월_계_60~69세,"25,634","3,417","4,629","2,809","2,746","2,853","2,577","4,043","2,560"
2021년07월_계_70~79세,"11,594","1,433","2,102","1,354","1,320","1,240","1,132","1,785","1,228"
2021년07월_계_80~89세,"5,039",413,"1,027",600,607,558,478,795,561
2021년07월_계_90~99세,671,65,149,60,82,70,61,108,76
2021년07월_계_100세 이상,53,1,6,2,30,4,2,5,3
2021년07월_남_총인구수,"96,227","15,411","18,671","11,376","8,424","10,722","7,881","12,775","10,967"
2021년07월_남_연령구간인구수,"96,227","15,411","18,671","11,376","8,424","10,722","7,881","12,775","10,967"
2021년07월_남_0~9세,"7,442","2,296","1,366",850,374,759,369,649,779
2021년07월_남_10~19세,"9,066","1,158","2,057","1,216",519,"1,345",560,"1,067","1,144"
2021년07월_남_20~29세,"13,674","1,618","2,860","1,677","1,164","1,585","1,170","1,993","1,607"
2021년07월_남_30~39세,"12,772","2,700","2,292","1,472","1,090","1,207","1,041","1,625","1,345"
2021년07월_남_40~49세,"15,972","3,163","2,940","1,855","1,354","1,735","1,125","1,897","1,903"
2021년07월_남_50~59세,"17,254","1,993","3,441","2,096","1,646","1,892","1,607","2,497","2,082"
2021년07월_남_60~69세,"12,758","1,631","2,371","1,354","1,397","1,385","1,329","1,978","1,313"
2021년07월_남_70~79세,"5,213",702,904,607,617,572,497,762,552
2021년07월_남_80~89세,"1,882",138,395,227,225,222,166,286,223
2021년07월_남_90~99세,173,12,43,21,25,19,16,19,18
2021년07월_남_100세 이상,21,0,2,1,13,1,1,2,1
2021년07월_여_총인구수,"97,727","15,632","19,174","11,927","8,055","11,340","7,873","12,949","10,777"
2021년07월_여_연령구간인구수,"97,727","15,632","19,174","11,927","8,055","11,340","7,873","12,949","10,777"
2021년07월_여_0~9세,"7,026","2,144","1,226",849,346,749,319,649,744
2021년07월_여_10~19세,"8,505","1,169","1,802","1,128",550,"1,306",512,963,"1,075"
2021년07월_여_20~29세,"12,889","1,617","2,689","1,651","1,055","1,450","1,203","1,800","1,424"
2021년07월_여_30~39세,"12,575","2,950","2,233","1,502",912,"1,256",865,"1,556","1,301"
2021년07월_여_40~49세,"16,036","2,776","3,251","2,011","1,147","2,022","1,120","1,732","1,977"
2021년07월_여_50~59세,"17,752","2,130","3,775","2,171","1,537","2,031","1,613","2,560","1,935"
2021년07월_여_60~69세,"12,876","1,786","2,258","1,455","1,349","1,468","1,248","2,065","1,247"
2021년07월_여_70~79세,"6,381",731,"1,198",747,703,668,635,"1,023",676
2021년07월_여_80~89세,"3,157",275,632,373,382,336,312,509,338
2021년07월_여_90~99세,498,53,106,39,57,51,45,89,58
2021년07월_여_100세 이상,32,1,4,1,17,3,1,3,2
