카테고리,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020년07월_계_총인구수,"374,097","21,656","27,082","34,301","20,904","37,351","18,443","32,589","17,661","22,412","17,598","17,079","8,889","11,205","18,001","20,410","12,813","12,411","23,292"
2020년07월_계_연령구간인구수,"374,097","21,656","27,082","34,301","20,904","37,351","18,443","32,589","17,661","22,412","17,598","17,079","8,889","11,205","18,001","20,410","12,813","12,411","23,292"
2020년07월_계_0~9세,"25,502","1,494","1,206","3,044","1,200","2,813","1,051","3,291","1,277","1,719",635,"1,207",320,829,"1,038","2,145",500,500,"1,233"
2020년07월_계_10~19세,"24,455","1,346",875,"2,898","1,026","2,310",990,"2,932","1,030","1,644",934,"1,201",622,756,"1,115","1,776",813,621,"1,566"
2020년07월_계_20~29세,"58,198","2,824","6,224","3,930","3,609","7,376","2,729","3,799","2,691","3,663","3,395","2,198","1,273","1,439","3,091","2,861","1,996","1,871","3,229"
2020년07월_계_30~39세,"67,767","3,378","6,538","5,354","4,254","8,171","3,335","6,089","4,305","5,100","2,978","2,533","1,100","1,634","2,920","3,508","1,511","1,691","3,368"
2020년07월_계_40~49세,"55,956","3,212","3,480","5,549","2,964","5,218","2,816","5,867","2,861","3,423","2,471","2,575","1,207","1,657","2,506","3,336","1,779","1,718","3,317"
2020년07월_계_50~59세,"56,411","3,680","3,591","5,099","3,081","4,766","2,987","4,118","2,101","3,061","2,615","2,961","1,633","1,950","2,793","3,150","2,303","2,201","4,321"
2020년07월_계_60~69세,"45,960","3,147","2,955","4,096","2,620","3,713","2,298","3,497","1,758","2,158","2,256","2,410","1,464","1,663","2,495","2,084","1,996","1,854","3,496"
2020년07월_계_70~79세,"27,038","1,795","1,536","2,695","1,437","1,950","1,512","2,041","1,116","1,107","1,553","1,412",857,895,"1,389","1,046","1,365","1,398","1,934"
2020년07월_계_80~89세,"10,999",659,563,"1,405",617,868,622,805,442,467,657,506,351,319,565,439,472,499,743
2020년07월_계_90~99세,"1,537",107,90,208,81,134,86,124,71,64,83,68,48,48,76,53,63,52,81
2020년07월_계_100세 이상,274,14,24,23,15,32,17,26,9,6,21,8,14,15,13,12,15,6,4
2020년07월_남_총인구수,"185,156","11,083","14,645","16,095","10,276","17,521","9,286","16,031","8,723","11,144","8,932","8,439","4,458","5,431","8,806","10,172","6,367","6,067","11,680"
