,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년11월_계_총인구수,"542,350","55,903","18,201","6,604","7,709","3,823","3,216","6,139","9,912","9,391","10,093","73,948","80,533","9,598","40,888","33,724","7,833","56,633","36,502","71,700"
2020년11월_계_연령구간인구수,"542,350","55,903","18,201","6,604","7,709","3,823","3,216","6,139","9,912","9,391","10,093","73,948","80,533","9,598","40,888","33,724","7,833","56,633","36,502","71,700"
2020년11월_계_0~9세,"49,497","6,529","2,802",226,204,72,82,169,572,630,610,"4,827","7,346",547,"2,630","1,619",546,"5,452","3,671","10,963"
2020년11월_계_10~19세,"61,489","6,032","1,262",328,355,124,153,209,689,577,661,"7,816","10,578",723,"3,915","3,157",782,"8,121","5,218","10,789"
2020년11월_계_20~29세,"69,128","5,412","2,210",623,630,316,285,451,"1,325","1,120","1,444","12,390","10,977","1,264","6,226","5,768","1,030","6,911","4,363","6,383"
2020년11월_계_30~39세,"69,794","8,944","4,073",551,592,257,235,433,"1,266","1,219","1,234","8,350","9,518",998,"4,433","3,009",799,"6,971","4,602","12,310"
2020년11월_계_40~49세,"98,639","10,821","2,882",816,742,356,346,574,"1,388","1,258","1,453","11,931","15,518","1,337","6,502","5,097","1,261","12,051","7,829","16,477"
2020년11월_계_50~59세,"96,842","8,283","2,712","1,500","1,642",844,734,"1,139","2,011","1,747","2,122","16,257","14,684","2,022","8,757","7,633","1,567","9,172","5,994","8,022"
2020년11월_계_60~69세,"57,807","5,908","1,478","1,351","1,821",933,804,"1,674","1,588","1,575","1,559","7,581","7,370","1,602","5,218","4,546","1,129","4,564","2,872","4,234"
2020년11월_계_70~79세,"26,278","2,627",472,757,"1,037",594,386,973,729,877,707,"3,148","3,082",748,"2,225","1,919",501,"2,304","1,369","1,823"
2020년11월_계_80~89세,"11,383","1,185",275,383,613,292,153,441,299,338,268,"1,475","1,288",324,877,886,194,971,511,610
2020년11월_계_90~99세,"1,406",150,35,67,72,34,34,73,38,45,29,163,166,32,95,85,19,109,73,87
2020년11월_계_100세 이상,87,12,0,2,1,1,4,3,7,5,6,10,6,1,10,5,5,7,0,2
2020년11월_남_총인구수,"274,299","28,797","9,282","3,594","4,198","2,035","1,771","3,178","5,054","4,731","5,180","36,890","40,358","5,044","20,765","17,269","3,973","28,225","18,269","35,686"
2020년11월_남_연령구간인구수,"274,299","28,797","9,282","3,594","4,198","2,035","1,771","3,178","5,054","4,731","5,180","36,890","40,358","5,044","20,765","17,269","3,973","28,225","18,269","35,686"
2020년11월_남_0~9세,"25,247","3,367","1,413",128,111,48,49,80,295,330,335,"2,544","3,745",273,"1,342",821,287,"2,714","1,818","5,547"
2020년11월_남_10~19세,"32,013","3,155",646,177,216,65,83,114,334,312,347,"4,063","5,570",387,"2,065","1,662",384,"4,172","2,707","5,554"
2020년11월_남_20~29세,"37,579","2,978","1,114",386,402,194,166,283,740,624,789,"6,698","5,965",688,"3,342","3,241",564,"3,714","2,347","3,344"
2020년11월_남_30~39세,"35,961","4,639","2,102",311,379,159,143,257,716,635,688,"4,380","4,771",570,"2,408","1,687",424,"3,464","2,352","5,876"
2020년11월_남_40~49세,"48,990","5,809","1,507",512,475,217,212,328,714,663,753,"5,549","7,341",723,"3,275","2,513",625,"5,851","3,777","8,146"
2020년11월_남_50~59세,"49,793","4,296","1,366",860,944,472,424,606,"1,024",875,"1,056","7,997","7,522","1,087","4,393","3,845",806,"4,804","3,166","4,250"
