,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년09월_계_총인구수,"488,683","36,704","15,047","12,744","36,966","31,768","15,055","12,849","31,314","22,154","17,858","6,908","35,105","16,518","18,856","33,583","28,871","16,213","19,659","30,943","12,575","13,923","23,070"
2021년09월_계_연령구간인구수,"488,683","36,704","15,047","12,744","36,966","31,768","15,055","12,849","31,314","22,154","17,858","6,908","35,105","16,518","18,856","33,583","28,871","16,213","19,659","30,943","12,575","13,923","23,070"
2021년09월_계_0~9세,"30,980","2,201",781,599,"2,390","2,342","1,023",593,"2,573","1,133","1,153",306,"2,692",824,"1,101","2,203","2,262",810,"1,369","1,756",982,793,"1,094"
2021년09월_계_10~19세,"41,841","2,819","1,167",834,"2,368","2,180",890,955,"3,725","1,991","1,712",491,"2,940","1,238","1,399","3,425","4,144","1,051","1,758","3,147","1,030","1,093","1,484"
2021년09월_계_20~29세,"68,083","5,828","2,044","1,591","6,123","5,034","2,068","1,616","3,915","2,839","2,573",869,"4,783","2,522","2,446","4,615","3,653","2,025","2,629","4,619","1,577","1,757","2,957"
2021년09월_계_30~39세,"66,129","5,846","2,067","1,649","6,522","5,732","2,383","1,537","3,542","2,274","2,141",806,"5,216","2,233","2,607","3,779","2,903","1,949","2,825","3,916","1,729","1,614","2,859"
2021년09월_계_40~49세,"75,387","5,567","2,319","1,836","5,610","5,171","2,253","1,767","5,469","3,051","2,696","1,028","5,244","2,351","2,457","5,478","5,541","2,328","3,093","4,942","1,785","2,114","3,287"
2021년09월_계_50~59세,"88,303","6,142","2,639","2,264","6,021","5,056","2,592","2,428","5,558","3,997","3,338","1,462","6,425","3,283","3,469","6,430","5,407","2,854","3,464","6,067","2,130","2,640","4,637"
2021년09월_계_60~69세,"69,683","4,848","2,246","2,176","4,647","3,698","2,218","2,278","4,058","3,728","2,515","1,192","4,846","2,494","3,238","4,541","3,019","2,969","2,683","3,938","2,082","2,242","4,027"
2021년09월_계_70~79세,"31,495","2,188","1,245","1,171","2,199","1,694","1,025","1,091","1,685","1,915","1,060",510,"1,946","1,046","1,364","1,889","1,235","1,552","1,238","1,647",855,"1,102","1,838"
2021년09월_계_80~89세,"14,504","1,089",477,534,958,746,532,494,692,"1,034",583,191,880,454,641,"1,052",600,601,538,776,357,495,780
2021년09월_계_90~99세,"2,160",167,61,87,124,106,61,86,95,178,87,41,128,70,127,169,102,72,56,133,47,70,93
2021년09월_계_100세 이상,118,9,1,3,4,9,10,4,2,14,0,12,5,3,7,2,5,2,6,2,1,3,14
2021년09월_남_총인구수,"241,313","17,675","7,499","6,371","18,256","15,665","7,413","6,463","15,412","10,769","8,505","3,698","17,544","8,348","9,169","16,442","13,989","8,146","9,570","14,909","6,442","7,081","11,947"
2021년09월_남_연령구간인구수,"241,313","17,675","7,499","6,371","18,256","15,665","7,413","6,463","15,412","10,769","8,505","3,698","17,544","8,348","9,169","16,442","13,989","8,146","9,570","14,909","6,442","7,081","11,947"
2021년09월_남_0~9세,"15,815","1,083",369,309,"1,233","1,182",553,317,"1,297",596,594,146,"1,406",407,553,"1,153","1,129",406,681,905,523,436,537
2021년09월_남_10~19세,"21,734","1,414",615,442,"1,249","1,078",470,500,"1,970","1,070",880,241,"1,552",686,732,"1,737","2,141",552,863,"1,597",559,577,809
2021년09월_남_20~29세,"34,878","2,788","1,073",844,"2,956","2,453",990,891,"2,058","1,522","1,302",489,"2,463","1,355","1,279","2,435","1,871","1,095","1,332","2,328",902,927,"1,525"
2021년09월_남_30~39세,"34,122","3,055","1,132",890,"3,428","3,034","1,194",828,"1,685","1,173","1,046",449,"2,649","1,201","1,326","1,916","1,379","1,036","1,426","1,903",920,866,"1,586"
2021년09월_남_40~49세,"38,086","2,741","1,203",971,"2,855","2,773","1,214",899,"2,638","1,502","1,276",582,"2,735","1,230","1,247","2,670","2,531","1,271","1,546","2,350",949,"1,095","1,808"
