,전라북도 정읍시,전라북도 정읍시 신태인읍,전라북도 정읍시 북면,전라북도 정읍시 입암면,전라북도 정읍시 소성면,전라북도 정읍시 고부면,전라북도 정읍시 영원면,전라북도 정읍시 덕천면,전라북도 정읍시 이평면,전라북도 정읍시 정우면,전라북도 정읍시 태인면,전라북도 정읍시 감곡면,전라북도 정읍시 옹동면,전라북도 정읍시 칠보면,전라북도 정읍시 산내면,전라북도 정읍시 산외면,전라북도 정읍시 수성동,전라북도 정읍시 장명동,전라북도 정읍시 내장상동,전라북도 정읍시 시기동,전라북도 정읍시 초산동,전라북도 정읍시 연지동,전라북도 정읍시 농소동,전라북도 정읍시 상교동
2020년06월_계_총인구수,"109,503","5,701","4,311","2,915","2,102","2,841","1,807","1,857","2,104","2,619","3,496","2,822","1,703","2,388","1,257","2,157","17,723","3,044","20,614","3,493","10,436","6,041","4,222","3,850"
2020년06월_계_연령구간인구수,"109,503","5,701","4,311","2,915","2,102","2,841","1,807","1,857","2,104","2,619","3,496","2,822","1,703","2,388","1,257","2,157","17,723","3,044","20,614","3,493","10,436","6,041","4,222","3,850"
2020년06월_계_0~9세,"6,664",272,193,60,62,71,50,60,41,85,89,54,51,103,35,64,"1,529",158,"1,685",177,"1,008",469,209,139
2020년06월_계_10~19세,"9,873",398,286,162,79,111,81,108,84,119,151,74,68,158,49,93,"2,075",311,"2,747",280,"1,317",534,346,242
2020년06월_계_20~29세,"10,747",405,402,212,130,166,111,148,124,173,258,148,92,157,83,126,"2,237",353,"2,461",359,"1,198",601,418,385
2020년06월_계_30~39세,"9,173",419,304,150,114,208,87,98,104,150,155,169,109,121,49,99,"2,012",236,"1,972",265,"1,133",643,308,268
2020년06월_계_40~49세,"15,164",668,472,257,187,263,158,180,179,240,368,236,149,265,99,222,"3,236",478,"3,435",398,"1,739",958,521,456
2020년06월_계_50~59세,"18,683",957,878,573,380,457,277,370,357,459,602,462,295,388,250,369,"2,917",547,"3,372",577,"1,704",981,824,687
2020년06월_계_60~69세,"16,471",992,737,552,389,602,378,345,403,511,694,649,332,442,280,434,"1,866",397,"2,447",613,"1,166",855,730,657
2020년06월_계_70~79세,"13,341",925,581,511,416,537,371,306,419,484,620,577,327,426,248,426,"1,205",344,"1,601",515,763,675,500,564
2020년06월_계_80~89세,"8,140",584,399,378,308,374,249,206,345,350,495,391,237,295,139,288,552,196,765,240,360,275,324,390
2020년06월_계_90~99세,"1,140",73,54,60,36,47,43,35,47,45,62,58,42,31,25,35,77,21,111,54,41,47,39,57
2020년06월_계_100세 이상,107,8,5,0,1,5,2,1,1,3,2,4,1,2,0,1,17,3,18,15,7,3,3,5
2020년06월_남_총인구수,"54,267","2,789","2,170","1,445","1,065","1,432",892,939,"1,044","1,292","1,722","1,405",847,"1,216",633,"1,077","8,951","1,512","9,955","1,680","5,158","3,026","2,046","1,971"
2020년06월_남_연령구간인구수,"54,267","2,789","2,170","1,445","1,065","1,432",892,939,"1,044","1,292","1,722","1,405",847,"1,216",633,"1,077","8,951","1,512","9,955","1,680","5,158","3,026","2,046","1,971"
2020년06월_남_0~9세,"3,408",138,95,29,36,38,28,31,24,46,51,26,23,51,17,31,782,72,838,86,543,245,107,71
2020년06월_남_10~19세,"5,264",239,156,84,45,51,44,58,46,56,75,43,37,97,27,44,"1,096",167,"1,405",146,754,280,181,133
2020년06월_남_20~29세,"5,897",224,229,133,83,118,69,86,80,100,144,84,53,94,48,67,"1,225",184,"1,275",207,637,313,233,211
2020년06월_남_30~39세,"4,870",239,158,85,68,130,54,61,64,87,95,109,69,77,33,61,"1,069",115,963,140,545,331,162,155
2020년06월_남_40~49세,"7,981",379,256,150,120,182,102,111,122,144,233,150,96,154,65,141,"1,650",257,"1,596",213,818,523,261,258
2020년06월_남_50~59세,"10,024",520,483,338,223,264,157,205,213,271,342,269,160,239,138,221,"1,517",295,"1,716",274,847,501,442,389
2020년06월_남_60~69세,"8,157",474,389,295,195,308,191,181,210,262,330,311,175,225,162,231,909,211,"1,164",286,545,407,350,346
2020년06월_남_70~79세,"5,747",377,264,209,189,219,168,137,169,205,265,274,141,171,95,180,517,143,715,212,336,311,203,247
2020년06월_남_80~89세,"2,640",175,131,113,98,111,74,62,104,109,160,126,81,102,44,92,166,62,256,100,123,104,98,149
2020년06월_남_90~99세,259,24,9,9,8,9,5,7,12,12,26,13,12,6,4,9,14,5,21,14,9,10,9,12
2020년06월_남_100세 이상,20,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,6,1,6,2,1,1,0,0
2020년06월_여_총인구수,"55,236","2,912","2,141","1,470","1,037","1,409",915,918,"1,060","1,327","1,774","1,417",856,"1,172",624,"1,080","8,772","1,532","10,659","1,813","5,278","3,015","2,176","1,879"
2020년06월_여_연령구간인구수,"55,236","2,912","2,141","1,470","1,037","1,409",915,918,"1,060","1,327","1,774","1,417",856,"1,172",624,"1,080","8,772","1,532","10,659","1,813","5,278","3,015","2,176","1,879"
2020년06월_여_0~9세,"3,256",134,98,31,26,33,22,29,17,39,38,28,28,52,18,33,747,86,847,91,465,224,102,68
2020년06월_여_10~19세,"4,609",159,130,78,34,60,37,50,38,63,76,31,31,61,22,49,979,144,"1,342",134,563,254,165,109
2020년06월_여_20~29세,"4,850",181,173,79,47,48,42,62,44,73,114,64,39,63,35,59,"1,012",169,"1,186",152,561,288,185,174
2020년06월_여_30~39세,"4,303",180,146,65,46,78,33,37,40,63,60,60,40,44,16,38,943,121,"1,009",125,588,312,146,113
2020년06월_여_40~49세,"7,183",289,216,107,67,81,56,69,57,96,135,86,53,111,34,81,"1,586",221,"1,839",185,921,435,260,198
2020년06월_여_50~59세,"8,659",437,395,235,157,193,120,165,144,188,260,193,135,149,112,148,"1,400",252,"1,656",303,857,480,382,298
2020년06월_여_60~69세,"8,314",518,348,257,194,294,187,164,193,249,364,338,157,217,118,203,957,186,"1,283",327,621,448,380,311
2020년06월_여_70~79세,"7,594",548,317,302,227,318,203,169,250,279,355,303,186,255,153,246,688,201,886,303,427,364,297,317
2020년06월_여_80~89세,"5,500",409,268,265,210,263,175,144,241,241,335,265,156,193,95,196,386,134,509,140,237,171,226,241
2020년06월_여_90~99세,881,49,45,51,28,38,38,28,35,33,36,45,30,25,21,26,63,16,90,40,32,37,30,45
2020년06월_여_100세 이상,87,8,5,0,1,3,2,1,1,3,1,4,1,2,0,1,11,2,12,13,6,2,3,5
