카테고리,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년04월_계_총인구수,"281,492","7,813","19,682","1,500","2,588","1,096","3,890","2,573",957,"17,292","3,550","3,603","2,978","2,354","8,946","10,025","12,022","15,210","21,416","4,655","11,943","4,640","35,894","49,512","16,868","20,485"
2020년04월_계_연령구간인구수,"281,492","7,813","19,682","1,500","2,588","1,096","3,890","2,573",957,"17,292","3,550","3,603","2,978","2,354","8,946","10,025","12,022","15,210","21,416","4,655","11,943","4,640","35,894","49,512","16,868","20,485"
2020년04월_계_0~9세,"22,050",364,"2,302",27,112,23,124,75,20,"1,545",86,116,88,95,972,815,570,"1,341","1,782",351,434,163,"2,755","4,540","1,292","2,058"
2020년04월_계_10~19세,"27,561",491,"2,419",67,146,35,198,156,21,"1,720",173,195,148,128,688,783,893,"1,524","2,091",413,745,253,"4,535","6,137","1,411","2,191"
2020년04월_계_20~29세,"36,936",854,"1,893",133,258,43,250,176,39,"2,177",261,824,425,271,"1,076","1,256","1,908","2,185","2,707",545,"2,590","1,051","5,137","6,205","2,206","2,466"
2020년04월_계_30~39세,"34,648",684,"2,573",99,207,69,242,121,39,"2,450",277,429,318,232,"1,466","1,326","1,395","2,194","2,932",519,"1,276",622,"3,948","6,409","2,192","2,629"
2020년04월_계_40~49세,"42,657",935,"3,557",123,270,92,360,229,69,"2,860",369,388,364,273,"1,185","1,414","1,580","2,260","3,165",720,"1,477",525,"6,158","8,553","2,430","3,301"
2020년04월_계_50~59세,"46,990","1,473","3,063",279,514,220,743,505,193,"2,797",702,530,532,421,"1,301","1,762","2,089","2,476","3,509",788,"1,847",713,"6,226","8,224","2,960","3,123"
2020년04월_계_60~69세,"36,408","1,382","2,267",378,560,268,916,625,282,"2,075",859,521,519,408,"1,053","1,317","1,828","1,636","2,777",630,"1,680",644,"3,749","5,233","2,431","2,370"
2020년04월_계_70~79세,"21,127",946,"1,013",224,285,191,573,420,194,"1,026",523,375,344,307,762,839,"1,124",984,"1,534",452,"1,171",412,"2,105","2,597","1,265","1,461"
2020년04월_계_80~89세,"11,173",596,497,156,212,131,394,222,88,550,252,198,198,172,374,430,538,514,797,201,633,227,"1,108","1,379",564,742
2020년04월_계_90~99세,"1,831",84,96,13,23,23,83,43,12,88,45,25,40,44,64,72,92,90,121,36,82,28,168,226,110,123
2020년04월_계_100세 이상,111,4,2,1,1,1,7,1,0,4,3,2,2,3,5,11,5,6,1,0,8,2,5,9,7,21
2020년04월_남_총인구수,"138,867","3,919","9,772",818,"1,336",594,"1,992","1,259",533,"8,631","1,874","1,812","1,437","1,145","4,514","4,861","5,929","7,294","10,153","2,341","6,310","2,321","17,578","23,866","8,296","10,282"
2020년04월_남_연령구간인구수,"138,867","3,919","9,772",818,"1,336",594,"1,992","1,259",533,"8,631","1,874","1,812","1,437","1,145","4,514","4,861","5,929","7,294","10,153","2,341","6,310","2,321","17,578","23,866","8,296","10,282"
2020년04월_남_0~9세,"11,311",178,"1,199",11,60,16,64,37,11,816,52,74,41,50,505,396,299,687,891,178,216,84,"1,364","2,338",682,"1,062"
2020년04월_남_10~19세,"14,351",255,"1,253",44,65,18,109,89,7,864,97,107,76,70,385,423,463,804,"1,036",232,396,119,"2,327","3,204",728,"1,180"
2020년04월_남_20~29세,"19,666",474,"1,039",74,162,31,134,108,22,"1,128",139,423,214,158,569,663,993,"1,137","1,361",307,"1,533",514,"2,684","3,242","1,171","1,386"
2020년04월_남_30~39세,"17,546",372,"1,205",59,113,41,130,65,27,"1,257",159,238,162,124,753,655,765,"1,087","1,483",266,756,349,"2,011","3,048","1,132","1,289"
2020년04월_남_40~49세,"21,172",502,"1,771",78,153,56,214,113,40,"1,489",219,212,208,140,620,723,813,"1,058","1,509",376,809,302,"2,928","3,973","1,193","1,673"
2020년04월_남_50~59세,"23,500",774,"1,547",159,285,137,401,239,114,"1,414",395,276,273,210,717,869,"1,045","1,160","1,654",387,"1,040",353,"3,113","3,938","1,400","1,600"
2020년04월_남_60~69세,"17,611",711,"1,101",221,276,139,506,323,172,"1,012",443,233,245,204,505,609,844,758,"1,295",304,810,310,"1,833","2,492","1,138","1,127"
2020년04월_남_70~79세,"9,218",428,464,107,143,92,282,191,99,443,270,172,151,121,301,347,488,406,638,190,489,181,865,"1,081",618,651
2020년04월_남_80~89세,"4,020",201,177,63,75,56,129,85,37,187,87,69,58,59,136,154,199,168,255,88,242,100,417,499,206,273
2020년04월_남_90~99세,424,22,15,2,3,8,19,9,4,20,11,6,8,7,22,18,19,28,30,13,13,8,34,50,27,28
2020년04월_남_100세 이상,48,2,1,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,1,1,13
2020년04월_여_총인구수,"142,625","3,894","9,910",682,"1,252",502,"1,898","1,314",424,"8,661","1,676","1,791","1,541","1,209","4,432","5,164","6,093","7,916","11,263","2,314","5,633","2,319","18,316","25,646","8,572","10,203"
