카테고리,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2021년06월_계_총인구수,"63,374","12,462","9,687",611,223,"3,107","2,944","4,331","3,868","4,901","1,894","2,629","3,305","2,299","3,111","2,260","3,009","1,261","1,472"
2021년06월_계_연령구간인구수,"63,374","12,462","9,687",611,223,"3,107","2,944","4,331","3,868","4,901","1,894","2,629","3,305","2,299","3,111","2,260","3,009","1,261","1,472"
2021년06월_계_0~9세,"2,545",996,507,23,1,66,82,120,92,125,54,38,91,61,106,66,54,29,34
2021년06월_계_10~19세,"3,734","1,398",748,23,11,93,118,188,166,219,90,91,109,104,114,68,99,41,54
2021년06월_계_20~29세,"4,047","1,236",736,16,9,129,147,228,200,236,79,112,214,121,209,105,132,56,82
2021년06월_계_30~39세,"3,538","1,147",665,26,15,131,138,165,152,199,67,88,153,115,161,100,94,50,72
2021년06월_계_40~49세,"6,128","1,844","1,157",32,33,225,225,338,293,424,149,197,240,149,264,137,207,83,131
2021년06월_계_50~59세,"10,026","1,982","1,660",32,43,458,466,669,636,801,284,405,559,338,458,379,432,195,229
2021년06월_계_60~69세,"12,912","1,833","1,902",96,31,702,623,941,866,"1,066",434,609,732,584,705,525,619,279,365
2021년06월_계_70~79세,"11,343","1,227","1,477",176,43,714,583,942,801,"1,006",398,565,618,461,578,443,718,305,288
2021년06월_계_80~89세,"7,771",663,730,156,34,498,476,660,563,714,292,422,497,309,436,393,548,184,196
2021년06월_계_90~99세,"1,281",126,101,31,3,89,85,78,93,104,45,101,86,57,76,44,103,38,21
2021년06월_계_100세 이상,49,10,4,0,0,2,1,2,6,7,2,1,6,0,4,0,3,1,0
2021년06월_남_총인구수,"30,813","6,125","4,737",307,118,"1,541","1,418","2,100","1,869","2,368",923,"1,252","1,577","1,086","1,524","1,101","1,427",597,743
2021년06월_남_연령구간인구수,"30,813","6,125","4,737",307,118,"1,541","1,418","2,100","1,869","2,368",923,"1,252","1,577","1,086","1,524","1,101","1,427",597,743
2021년06월_남_0~9세,"1,262",493,247,11,0,35,37,63,32,59,30,14,48,31,61,38,31,12,20
2021년06월_남_10~19세,"2,007",755,394,11,4,48,59,100,82,119,42,51,65,60,62,41,56,26,32
2021년06월_남_20~29세,"2,361",691,410,7,8,89,80,140,119,152,44,78,121,73,121,71,73,32,52
2021년06월_남_30~39세,"1,924",558,345,14,12,85,89,95,96,110,37,48,93,56,93,62,59,33,39
2021년06월_남_40~49세,"3,546",914,611,17,28,160,138,198,189,269,102,134,155,87,167,101,136,53,87
2021년06월_남_50~59세,"5,629","1,056",901,16,26,293,268,379,353,450,172,235,302,203,273,209,255,109,129
2021년06월_남_60~69세,"6,423",851,917,53,17,364,348,460,425,514,216,310,371,298,350,275,316,141,197
2021년06월_남_70~79세,"4,958",573,650,94,15,287,239,407,387,421,176,253,255,182,256,194,309,129,131
2021년06월_남_80~89세,"2,428",212,244,74,8,159,143,238,173,246,90,114,144,92,114,104,173,50,50
2021년06월_남_90~99세,270,20,18,10,0,20,17,19,13,28,13,15,23,4,27,6,19,12,6
2021년06월_남_100세 이상,5,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2021년06월_여_총인구수,"32,561","6,337","4,950",304,105,"1,566","1,526","2,231","1,999","2,533",971,"1,377","1,728","1,213","1,587","1,159","1,582",664,729
2021년06월_여_연령구간인구수,"32,561","6,337","4,950",304,105,"1,566","1,526","2,231","1,999","2,533",971,"1,377","1,728","1,213","1,587","1,159","1,582",664,729
2021년06월_여_0~9세,"1,283",503,260,12,1,31,45,57,60,66,24,24,43,30,45,28,23,17,14
2021년06월_여_10~19세,"1,727",643,354,12,7,45,59,88,84,100,48,40,44,44,52,27,43,15,22
2021년06월_여_20~29세,"1,686",545,326,9,1,40,67,88,81,84,35,34,93,48,88,34,59,24,30
2021년06월_여_30~39세,"1,614",589,320,12,3,46,49,70,56,89,30,40,60,59,68,38,35,17,33
2021년06월_여_40~49세,"2,582",930,546,15,5,65,87,140,104,155,47,63,85,62,97,36,71,30,44
2021년06월_여_50~59세,"4,397",926,759,16,17,165,198,290,283,351,112,170,257,135,185,170,177,86,100
2021년06월_여_60~69세,"6,489",982,985,43,14,338,275,481,441,552,218,299,361,286,355,250,303,138,168
2021년06월_여_70~79세,"6,385",654,827,82,28,427,344,535,414,585,222,312,363,279,322,249,409,176,157
2021년06월_여_80~89세,"5,343",451,486,82,26,339,333,422,390,468,202,308,353,217,322,289,375,134,146
2021년06월_여_90~99세,"1,011",106,83,21,3,69,68,59,80,76,32,86,63,53,49,38,84,26,15
2021년06월_여_100세 이상,44,8,4,0,0,1,1,1,6,7,1,1,6,0,4,0,3,1,0
