,경상남도 함안군,경상남도 함안군 가야읍,경상남도 함안군 칠원읍,경상남도 함안군 함안면,경상남도 함안군 군북면,경상남도 함안군 법수면,경상남도 함안군 대산면,경상남도 함안군 칠서면,경상남도 함안군 칠북면,경상남도 함안군 산인면,경상남도 함안군 여항면
2021년07월_계_총인구수,"63,127","18,309","19,196","2,380","6,102","2,863","3,405","5,315","1,931","2,726",900
2021년07월_계_연령구간인구수,"63,127","18,309","19,196","2,380","6,102","2,863","3,405","5,315","1,931","2,726",900
2021년07월_계_0~9세,"3,762","1,183","1,760",58,286,65,55,266,18,56,15
2021년07월_계_10~19세,"5,883","1,967","2,655",104,293,79,136,434,61,131,23
2021년07월_계_20~29세,"5,239","1,967","1,545",144,443,166,210,426,105,188,45
2021년07월_계_30~39세,"5,226","1,747","1,863",144,516,137,140,382,87,167,43
2021년07월_계_40~49세,"9,040","2,758","3,732",206,570,259,293,747,156,255,64
2021년07월_계_50~59세,"11,018","3,341","3,126",393,974,553,562,"1,048",333,532,156
2021년07월_계_60~69세,"11,522","2,878","2,591",603,"1,363",744,817,986,530,728,282
2021년07월_계_70~79세,"6,632","1,468","1,228",395,877,483,657,619,372,375,158
2021년07월_계_80~89세,"4,208",872,598,299,685,334,466,354,244,259,97
2021년07월_계_90~99세,587,126,94,34,93,43,69,52,24,35,17
2021년07월_계_100세 이상,10,2,4,0,2,0,0,1,1,0,0
2021년07월_남_총인구수,"32,100","9,224","9,759","1,198","3,154","1,470","1,696","2,764",991,"1,382",462
2021년07월_남_연령구간인구수,"32,100","9,224","9,759","1,198","3,154","1,470","1,696","2,764",991,"1,382",462
2021년07월_남_0~9세,"1,898",611,873,25,139,32,31,145,7,26,9
2021년07월_남_10~19세,"3,105","1,067","1,379",58,154,45,74,212,29,73,14
2021년07월_남_20~29세,"3,084","1,161",866,83,287,102,125,250,66,120,24
2021년07월_남_30~39세,"2,679",873,886,78,296,90,78,211,52,91,24
2021년07월_남_40~49세,"4,888","1,433","1,892",123,358,178,187,420,102,150,45
2021년07월_남_50~59세,"6,086","1,748","1,744",224,571,329,327,590,198,269,86
2021년07월_남_60~69세,"5,994","1,420","1,325",320,737,389,427,549,282,392,153
2021년07월_남_70~79세,"2,984",627,591,183,390,203,283,277,166,188,76
2021년07월_남_80~89세,"1,270",256,179,99,202,92,154,104,84,70,30
2021년07월_남_90~99세,109,28,23,5,18,10,10,6,5,3,1
2021년07월_남_100세 이상,3,0,1,0,2,0,0,0,0,0,0
2021년07월_여_총인구수,"31,027","9,085","9,437","1,182","2,948","1,393","1,709","2,551",940,"1,344",438
2021년07월_여_연령구간인구수,"31,027","9,085","9,437","1,182","2,948","1,393","1,709","2,551",940,"1,344",438
2021년07월_여_0~9세,"1,864",572,887,33,147,33,24,121,11,30,6
2021년07월_여_10~19세,"2,778",900,"1,276",46,139,34,62,222,32,58,9
2021년07월_여_20~29세,"2,155",806,679,61,156,64,85,176,39,68,21
2021년07월_여_30~39세,"2,547",874,977,66,220,47,62,171,35,76,19
2021년07월_여_40~49세,"4,152","1,325","1,840",83,212,81,106,327,54,105,19
2021년07월_여_50~59세,"4,932","1,593","1,382",169,403,224,235,458,135,263,70
2021년07월_여_60~69세,"5,528","1,458","1,266",283,626,355,390,437,248,336,129
2021년07월_여_70~79세,"3,648",841,637,212,487,280,374,342,206,187,82
2021년07월_여_80~89세,"2,938",616,419,200,483,242,312,250,160,189,67
2021년07월_여_90~99세,478,98,71,29,75,33,59,46,19,32,16
2021년07월_여_100세 이상,7,2,3,0,0,0,0,1,1,0,0
