,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년03월_계_총인구수,"223,469","4,743","24,916","12,156","12,376","8,651","21,574","14,914","10,570","13,824","18,304","20,547","12,209","10,920","14,375","2,474","20,916"
2021년03월_계_연령구간인구수,"223,469","4,743","24,916","12,156","12,376","8,651","21,574","14,914","10,570","13,824","18,304","20,547","12,209","10,920","14,375","2,474","20,916"
2021년03월_계_0~9세,"14,943",107,"2,518",876,762,255,"1,657","1,383",370,793,943,"1,081",883,580,780,66,"1,889"
2021년03월_계_10~19세,"19,971",146,"3,341",888,961,378,"1,837","1,375",875,"1,110","1,772","1,494",932,789,"1,256",140,"2,677"
2021년03월_계_20~29세,"30,220",368,"2,584","1,356","1,480",776,"3,336","1,767","2,678","1,968","2,891","3,934","1,348","1,928","1,540",204,"2,062"
2021년03월_계_30~39세,"25,851",381,"2,872","1,583","1,463",739,"2,911","1,985","1,048","1,413","1,882","3,013","1,498","1,274","1,397",158,"2,234"
2021년03월_계_40~49세,"34,027",502,"4,862","1,775","1,705",995,"3,267","2,318","1,227","2,039","2,701","3,136","1,769","1,553","2,154",255,"3,769"
2021년03월_계_50~59세,"36,513",940,"3,546","1,958","2,163","1,528","3,521","2,377","1,545","2,325","3,281","3,313","2,086","1,842","2,539",458,"3,091"
2021년03월_계_60~69세,"33,183","1,146","2,901","1,937","1,961","1,901","2,948","1,965","1,493","2,235","2,706","2,651","1,937","1,648","2,439",566,"2,749"
2021년03월_계_70~79세,"19,102",778,"1,586","1,202","1,201","1,281","1,419","1,136",903,"1,313","1,451","1,347","1,184",864,"1,517",331,"1,589"
2021년03월_계_80~89세,"8,503",334,611,513,603,707,590,527,383,565,599,512,489,393,675,256,746
2021년03월_계_90~99세,"1,117",39,93,66,75,90,84,78,44,59,75,65,80,49,77,40,103
2021년03월_계_100세 이상,39,2,2,2,2,1,4,3,4,4,3,1,3,0,1,0,7
2021년03월_남_총인구수,"112,726","2,665","12,302","5,952","6,042","4,229","10,893","7,475","5,578","7,120","9,202","10,574","6,039","5,558","7,307","1,295","10,495"
2021년03월_남_연령구간인구수,"112,726","2,665","12,302","5,952","6,042","4,229","10,893","7,475","5,578","7,120","9,202","10,574","6,039","5,558","7,307","1,295","10,495"
2021년03월_남_0~9세,"7,712",51,"1,264",449,424,124,874,727,194,383,484,556,471,319,378,30,984
2021년03월_남_10~19세,"10,316",78,"1,762",476,497,190,918,730,424,556,914,769,470,405,662,66,"1,399"
2021년03월_남_20~29세,"16,052",208,"1,397",677,769,441,"1,769",928,"1,475","1,093","1,501","2,000",718,986,851,122,"1,117"
2021년03월_남_30~39세,"13,990",229,"1,389",835,785,441,"1,574","1,045",641,784,"1,063","1,735",786,710,756,100,"1,117"
2021년03월_남_40~49세,"17,882",333,"2,425",940,841,568,"1,695","1,174",715,"1,124","1,393","1,689",931,854,"1,146",145,"1,909"
2021년03월_남_50~59세,"18,769",614,"1,746",942,"1,050",786,"1,751","1,204",800,"1,252","1,658","1,736","1,040",953,"1,336",264,"1,637"
2021년03월_남_60~69세,"16,095",649,"1,357",862,931,912,"1,435",958,746,"1,115","1,300","1,276",912,800,"1,191",318,"1,333"
2021년03월_남_70~79세,"8,562",371,707,550,519,520,653,505,425,583,660,600,521,375,700,156,717
2021년03월_남_80~89세,"3,064",121,234,208,200,224,200,185,149,212,216,197,168,151,264,80,255
2021년03월_남_90~99세,274,10,21,12,25,22,22,19,9,17,13,16,22,5,22,14,25
2021년03월_남_100세 이상,10,1,0,1,1,1,2,0,0,1,0,0,0,0,1,0,2
2021년03월_여_총인구수,"110,743","2,078","12,614","6,204","6,334","4,422","10,681","7,439","4,992","6,704","9,102","9,973","6,170","5,362","7,068","1,179","10,421"
2021년03월_여_연령구간인구수,"110,743","2,078","12,614","6,204","6,334","4,422","10,681","7,439","4,992","6,704","9,102","9,973","6,170","5,362","7,068","1,179","10,421"
2021년03월_여_0~9세,"7,231",56,"1,254",427,338,131,783,656,176,410,459,525,412,261,402,36,905
2021년03월_여_10~19세,"9,655",68,"1,579",412,464,188,919,645,451,554,858,725,462,384,594,74,"1,278"
2021년03월_여_20~29세,"14,168",160,"1,187",679,711,335,"1,567",839,"1,203",875,"1,390","1,934",630,942,689,82,945
2021년03월_여_30~39세,"11,861",152,"1,483",748,678,298,"1,337",940,407,629,819,"1,278",712,564,641,58,"1,117"
2021년03월_여_40~49세,"16,145",169,"2,437",835,864,427,"1,572","1,144",512,915,"1,308","1,447",838,699,"1,008",110,"1,860"
2021년03월_여_50~59세,"17,744",326,"1,800","1,016","1,113",742,"1,770","1,173",745,"1,073","1,623","1,577","1,046",889,"1,203",194,"1,454"
2021년03월_여_60~69세,"17,088",497,"1,544","1,075","1,030",989,"1,513","1,007",747,"1,120","1,406","1,375","1,025",848,"1,248",248,"1,416"
2021년03월_여_70~79세,"10,540",407,879,652,682,761,766,631,478,730,791,747,663,489,817,175,872
2021년03월_여_80~89세,"5,439",213,377,305,403,483,390,342,234,353,383,315,321,242,411,176,491
2021년03월_여_90~99세,843,29,72,54,50,68,62,59,35,42,62,49,58,44,55,26,78
2021년03월_여_100세 이상,29,1,2,1,1,0,2,3,4,3,3,1,3,0,0,0,5
