,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3동,대구광역시 동구 안심4동,대구광역시 동구 혁신동,대구광역시 동구 공산동
2020년08월_계_총인구수,"343,317","7,784","10,804","8,872","13,292","6,617","13,429","12,613","7,540","14,235","14,899","4,198","21,881","15,087","15,976","18,450","15,354","43,973","11,327","21,463","29,722","18,856","16,945"
2020년08월_계_연령구간인구수,"343,317","7,784","10,804","8,872","13,292","6,617","13,429","12,613","7,540","14,235","14,899","4,198","21,881","15,087","15,976","18,450","15,354","43,973","11,327","21,463","29,722","18,856","16,945"
2020년08월_계_0~9세,"25,787",290,"1,075",714,451,233,851,951,164,556,768,197,"2,342",720,889,905,781,"3,971",673,"2,525","2,706","3,133",892
2020년08월_계_10~19세,"26,940",464,848,591,721,420,928,"1,044",373,872,"1,060",259,"2,326",963,947,"1,359",949,"3,743",671,"2,724","3,015","1,447","1,216"
2020년08월_계_20~29세,"41,860",886,"1,021",987,"1,897",806,"1,539","1,667","1,300","1,830","1,897",610,"2,312","2,015","2,163","2,420","1,882","5,362","1,456","2,191","3,881","2,007","1,731"
2020년08월_계_30~39세,"44,660",698,"1,505","1,272","1,540",581,"1,617","1,629","1,055","1,455","1,667",470,"2,933","1,621","1,937","1,793","1,668","5,896","1,407","3,265","4,296","4,743","1,612"
2020년08월_계_40~49세,"51,650",992,"1,893","1,216","1,788",855,"1,941","1,962","1,015","1,747","2,128",510,"3,996","1,861","2,062","2,359","1,990","6,931","1,472","4,193","4,982","3,413","2,344"
2020년08월_계_50~59세,"57,408","1,386","1,551","1,430","2,643","1,252","2,238","2,222","1,301","2,619","2,540",743,"3,319","3,022","3,012","3,602","2,837","7,162","2,204","2,836","4,666","1,713","3,110"
2020년08월_계_60~69세,"50,521","1,409","1,397","1,381","2,317","1,266","2,090","1,624","1,241","2,628","2,541",702,"2,656","2,749","2,696","3,219","2,749","6,104","1,873","1,932","3,508","1,487","2,952"
2020년08월_계_70~79세,"30,184","1,084","1,015",858,"1,357",803,"1,481",978,734,"1,723","1,552",465,"1,382","1,498","1,565","1,864","1,715","3,223","1,101","1,238","1,869",665,"2,014"
2020년08월_계_80~89세,"12,737",515,438,374,510,367,668,474,321,723,656,221,535,578,631,831,699,"1,397",413,497,722,210,957
2020년08월_계_90~99세,"1,446",55,50,47,58,30,69,53,32,72,80,21,76,55,72,92,82,176,52,60,69,36,109
2020년08월_계_100세 이상,124,5,11,2,10,4,7,9,4,10,10,0,4,5,2,6,2,8,5,2,8,2,8
2020년08월_남_총인구수,"169,224","3,893","5,124","4,375","6,735","3,159","6,458","6,246","3,777","7,048","7,182","2,236","10,749","7,501","8,035","8,909","7,743","21,540","5,720","10,454","14,701","9,323","8,316"
2020년08월_남_연령구간인구수,"169,224","3,893","5,124","4,375","6,735","3,159","6,458","6,246","3,777","7,048","7,182","2,236","10,749","7,501","8,035","8,909","7,743","21,540","5,720","10,454","14,701","9,323","8,316"
