카테고리,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2021년05월_계_총인구수,"27,962","7,819","1,875","1,683","2,344","1,335","1,920","1,167","4,240","2,465","1,684","1,430"
2021년05월_계_연령구간인구수,"27,962","7,819","1,875","1,683","2,344","1,335","1,920","1,167","4,240","2,465","1,684","1,430"
2021년05월_계_0~9세,"1,030",450,57,27,69,19,41,33,191,63,43,37
2021년05월_계_10~19세,"1,953",650,132,84,122,37,88,42,460,201,82,55
2021년05월_계_20~29세,"2,294",760,110,104,144,73,128,84,478,203,96,114
2021년05월_계_30~39세,"1,681",623,99,65,111,62,85,45,331,99,93,68
2021년05월_계_40~49세,"2,958","1,037",170,145,197,98,159,76,491,321,152,112
2021년05월_계_50~59세,"4,896","1,298",289,285,424,248,359,202,750,466,303,272
2021년05월_계_60~69세,"5,140","1,274",401,355,448,280,411,235,668,403,322,343
2021년05월_계_70~79세,"4,191",971,320,306,393,255,350,232,492,342,310,220
2021년05월_계_80~89세,"3,249",640,266,258,372,231,247,191,318,311,239,176
2021년05월_계_90~99세,554,110,30,54,63,29,52,27,59,56,43,31
2021년05월_계_100세 이상,16,6,1,0,1,3,0,0,2,0,1,2
2021년05월_남_총인구수,"13,720","3,780",924,828,"1,112",655,933,582,"2,117","1,230",829,730
2021년05월_남_연령구간인구수,"13,720","3,780",924,828,"1,112",655,933,582,"2,117","1,230",829,730
2021년05월_남_0~9세,526,227,27,11,40,13,26,21,87,32,21,21
2021년05월_남_10~19세,"1,051",346,73,49,72,14,48,18,248,112,42,29
2021년05월_남_20~29세,"1,261",407,65,66,80,45,67,53,255,105,53,65
2021년05월_남_30~39세,892,297,62,43,59,42,44,27,177,56,49,36
2021년05월_남_40~49세,"1,636",534,97,94,104,62,82,50,259,184,104,66
2021년05월_남_50~59세,"2,718",699,161,150,234,142,195,120,408,283,174,152
2021년05월_남_60~69세,"2,710",621,220,194,230,150,222,131,347,219,177,199
2021년05월_남_70~79세,"1,802",426,122,127,176,107,163,96,221,138,124,102
2021년05월_남_80~89세,"1,016",207,90,83,105,75,78,63,97,90,74,54
2021년05월_남_90~99세,104,15,7,11,11,5,8,3,17,11,10,6
2021년05월_남_100세 이상,4,1,0,0,1,0,0,0,1,0,1,0
2021년05월_여_총인구수,"14,242","4,039",951,855,"1,232",680,987,585,"2,123","1,235",855,700
2021년05월_여_연령구간인구수,"14,242","4,039",951,855,"1,232",680,987,585,"2,123","1,235",855,700
2021년05월_여_0~9세,504,223,30,16,29,6,15,12,104,31,22,16
2021년05월_여_10~19세,902,304,59,35,50,23,40,24,212,89,40,26
2021년05월_여_20~29세,"1,033",353,45,38,64,28,61,31,223,98,43,49
2021년05월_여_30~39세,789,326,37,22,52,20,41,18,154,43,44,32
2021년05월_여_40~49세,"1,322",503,73,51,93,36,77,26,232,137,48,46
2021년05월_여_50~59세,"2,178",599,128,135,190,106,164,82,342,183,129,120
2021년05월_여_60~69세,"2,430",653,181,161,218,130,189,104,321,184,145,144
2021년05월_여_70~79세,"2,389",545,198,179,217,148,187,136,271,204,186,118
2021년05월_여_80~89세,"2,233",433,176,175,267,156,169,128,221,221,165,122
2021년05월_여_90~99세,450,95,23,43,52,24,44,24,42,45,33,25
2021년05월_여_100세 이상,12,5,1,0,0,3,0,0,1,0,0,2
