,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년06월_계_총인구수,"26,957","9,510","1,717","1,175","1,035","1,561","1,604","1,457","1,848",761,"2,895","1,023","1,170","1,201"
2020년06월_계_연령구간인구수,"26,957","9,510","1,717","1,175","1,035","1,561","1,604","1,457","1,848",761,"2,895","1,023","1,170","1,201"
2020년06월_계_0~9세,"1,138",725,35,27,32,35,39,38,36,19,92,26,15,19
2020년06월_계_10~19세,"1,577",908,62,39,26,66,63,47,66,27,173,40,32,28
2020년06월_계_20~29세,"2,061",966,104,76,72,135,102,87,119,33,219,45,44,59
2020년06월_계_30~39세,"1,817",981,94,60,47,72,100,53,92,28,139,58,43,50
2020년06월_계_40~49세,"2,940","1,513",143,83,74,135,146,112,149,51,310,79,64,81
2020년06월_계_50~59세,"4,679","1,575",325,226,177,282,294,280,325,123,513,142,204,213
2020년06월_계_60~69세,"5,256","1,373",400,277,224,330,364,324,447,198,557,238,258,266
2020년06월_계_70~79세,"4,060",889,276,201,201,266,252,278,360,148,527,197,238,227
2020년06월_계_80~89세,"2,981",509,238,159,158,214,213,209,223,116,313,171,238,220
2020년06월_계_90~99세,439,68,39,27,23,26,31,29,30,17,52,27,34,36
2020년06월_계_100세 이상,9,3,1,0,1,0,0,0,1,1,0,0,0,2
2020년06월_남_총인구수,"13,191","4,689",856,572,497,757,782,708,936,357,"1,388",531,552,566
2020년06월_남_연령구간인구수,"13,191","4,689",856,572,497,757,782,708,936,357,"1,388",531,552,566
2020년06월_남_0~9세,581,378,18,15,12,17,16,18,18,13,43,17,9,7
2020년06월_남_10~19세,847,478,37,24,17,33,30,23,34,18,92,27,19,15
2020년06월_남_20~29세,"1,167",521,56,44,43,86,54,43,72,20,138,26,34,30
2020년06월_남_30~39세,967,467,56,37,30,34,64,35,48,14,84,41,21,36
2020년06월_남_40~49세,"1,712",818,91,54,45,78,85,70,97,37,185,61,40,51
2020년06월_남_50~59세,"2,561",839,184,112,100,157,164,161,173,64,281,81,115,130
2020년06월_남_60~69세,"2,748",656,230,150,122,178,205,178,249,100,263,143,140,134
2020년06월_남_70~79세,"1,654",381,109,79,82,100,103,110,168,52,213,75,96,86
2020년06월_남_80~89세,860,134,65,50,41,69,55,60,69,35,84,56,75,67
2020년06월_남_90~99세,92,17,10,7,5,5,6,10,7,4,5,4,3,9
2020년06월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년06월_여_총인구수,"13,766","4,821",861,603,538,804,822,749,912,404,"1,507",492,618,635
2020년06월_여_연령구간인구수,"13,766","4,821",861,603,538,804,822,749,912,404,"1,507",492,618,635
2020년06월_여_0~9세,557,347,17,12,20,18,23,20,18,6,49,9,6,12
2020년06월_여_10~19세,730,430,25,15,9,33,33,24,32,9,81,13,13,13
2020년06월_여_20~29세,894,445,48,32,29,49,48,44,47,13,81,19,10,29
2020년06월_여_30~39세,850,514,38,23,17,38,36,18,44,14,55,17,22,14
2020년06월_여_40~49세,"1,228",695,52,29,29,57,61,42,52,14,125,18,24,30
2020년06월_여_50~59세,"2,118",736,141,114,77,125,130,119,152,59,232,61,89,83
2020년06월_여_60~69세,"2,508",717,170,127,102,152,159,146,198,98,294,95,118,132
2020년06월_여_70~79세,"2,406",508,167,122,119,166,149,168,192,96,314,122,142,141
2020년06월_여_80~89세,"2,121",375,173,109,117,145,158,149,154,81,229,115,163,153
2020년06월_여_90~99세,347,51,29,20,18,21,25,19,23,13,47,23,31,27
2020년06월_여_100세 이상,7,3,1,0,1,0,0,0,0,1,0,0,0,1
