,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2021년10월_계_총인구수,"406,789","14,653","13,806","16,458","17,382","17,914","7,620","47,702","32,128","18,309","23,228","32,830","20,455","16,759","8,770","13,512","20,381","22,016","12,518","21,044","15,145","14,159"
2021년10월_계_연령구간인구수,"406,789","14,653","13,806","16,458","17,382","17,914","7,620","47,702","32,128","18,309","23,228","32,830","20,455","16,759","8,770","13,512","20,381","22,016","12,518","21,044","15,145","14,159"
2021년10월_계_0~9세,"26,242","1,055","1,045","1,025",595,"1,290",273,"3,822","2,210","1,018","1,567","3,158","1,144",911,423,513,"1,064","1,861",497,"1,133",905,733
2021년10월_계_10~19세,"31,590",910,828,"1,263",939,"1,318",333,"4,928","3,525","1,642","1,529","2,567",872,"1,109",649,818,"1,286","1,830",895,"1,848","1,313","1,188"
2021년10월_계_20~29세,"56,946","1,908","2,076","2,113","4,058","2,530",989,"6,799","4,184","2,285","3,233","3,870","4,200","2,106","1,177","1,654","2,871","2,801","1,466","2,760","1,952","1,914"
2021년10월_계_30~39세,"55,659","2,161","2,354","2,146","1,805","2,793",910,"6,245","3,373","2,046","3,537","5,683","4,222","2,064",951,"1,482","3,134","3,323","1,266","2,464","1,829","1,871"
2021년10월_계_40~49세,"63,403","2,174","2,033","2,486","2,053","2,633",966,"8,293","5,549","2,780","3,550","5,394","3,150","2,387","1,314","1,791","3,023","3,797","1,836","3,166","2,213","2,815"
2021년10월_계_50~59세,"67,233","2,395","2,166","2,696","2,604","2,720","1,295","7,818","5,759","3,287","3,826","4,787","3,132","2,835","1,465","2,279","3,471","3,254","2,256","3,875","2,652","2,661"
2021년10월_계_60~69세,"58,727","2,129","1,774","2,528","2,688","2,452","1,436","5,687","4,379","2,801","3,279","4,347","2,330","2,873","1,471","2,560","3,113","2,954","2,334","3,313","2,523","1,756"
2021년10월_계_70~79세,"31,164","1,245",940,"1,454","1,767","1,494",911,"2,733","2,123","1,595","1,803","2,018",911,"1,639",901,"1,625","1,576","1,445","1,303","1,669","1,181",831
