,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2021년02월_계_총인구수,"54,435","21,302","2,237","2,654","2,787","2,523","2,429","2,796","1,798","3,326","2,520","3,121","1,952","2,254","2,736"
2021년02월_계_연령구간인구수,"54,435","21,302","2,237","2,654","2,787","2,523","2,429","2,796","1,798","3,326","2,520","3,121","1,952","2,254","2,736"
2021년02월_계_0~9세,"2,656","1,815",47,78,80,62,60,80,40,76,69,81,41,50,77
2021년02월_계_10~19세,"4,238","2,628",107,100,207,120,152,105,54,149,103,151,74,115,173
2021년02월_계_20~29세,"4,204","2,328",144,157,161,132,160,138,75,176,155,207,110,138,123
2021년02월_계_30~39세,"3,810","2,095",118,142,129,135,119,142,88,154,157,170,108,113,140
2021년02월_계_40~49세,"6,188","3,165",187,242,251,203,246,222,146,285,254,309,179,215,284
2021년02월_계_50~59세,"8,993","3,421",401,495,451,412,414,428,290,594,488,540,291,369,399
2021년02월_계_60~69세,"9,795","2,841",480,551,542,544,471,639,411,704,525,666,434,452,535
2021년02월_계_70~79세,"8,354","1,824",413,517,589,508,479,616,344,665,462,543,391,434,569
2021년02월_계_80~89세,"5,328",992,294,324,337,356,288,369,307,451,269,388,278,309,366
2021년02월_계_90~99세,830,184,44,45,39,48,39,55,42,66,37,63,46,56,66
2021년02월_계_100세 이상,39,9,2,3,1,3,1,2,1,6,1,3,0,3,4
2021년02월_남_총인구수,"26,924","10,568","1,148","1,348","1,368","1,236","1,176","1,367",877,"1,642","1,262","1,519",995,"1,092","1,326"
2021년02월_남_연령구간인구수,"26,924","10,568","1,148","1,348","1,368","1,236","1,176","1,367",877,"1,642","1,262","1,519",995,"1,092","1,326"
2021년02월_남_0~9세,"1,406",953,23,39,45,39,36,43,18,43,40,41,18,27,41
2021년02월_남_10~19세,"2,312","1,439",63,55,123,53,90,47,34,82,52,71,50,56,97
2021년02월_남_20~29세,"2,413","1,301",91,94,97,84,87,79,50,106,82,120,70,79,73
2021년02월_남_30~39세,"2,043","1,032",72,84,69,81,64,88,51,96,95,101,62,61,87
2021년02월_남_40~49세,"3,506","1,599",120,153,155,119,144,151,95,181,173,178,125,135,178
2021년02월_남_50~59세,"4,916","1,709",239,298,255,241,233,256,177,328,269,293,165,208,245
2021년02월_남_60~69세,"4,867","1,353",268,277,262,261,232,304,196,373,266,346,238,237,254
2021년02월_남_70~79세,"3,617",793,185,229,240,236,201,288,155,276,195,230,170,185,234
2021년02월_남_80~89세,"1,701",354,84,110,115,112,79,106,91,142,85,131,89,98,105
2021년02월_남_90~99세,140,34,3,8,7,10,10,5,10,14,5,8,8,6,12
2021년02월_남_100세 이상,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2021년02월_여_총인구수,"27,511","10,734","1,089","1,306","1,419","1,287","1,253","1,429",921,"1,684","1,258","1,602",957,"1,162","1,410"
2021년02월_여_연령구간인구수,"27,511","10,734","1,089","1,306","1,419","1,287","1,253","1,429",921,"1,684","1,258","1,602",957,"1,162","1,410"
2021년02월_여_0~9세,"1,250",862,24,39,35,23,24,37,22,33,29,40,23,23,36
2021년02월_여_10~19세,"1,926","1,189",44,45,84,67,62,58,20,67,51,80,24,59,76
2021년02월_여_20~29세,"1,791","1,027",53,63,64,48,73,59,25,70,73,87,40,59,50
2021년02월_여_30~39세,"1,767","1,063",46,58,60,54,55,54,37,58,62,69,46,52,53
2021년02월_여_40~49세,"2,682","1,566",67,89,96,84,102,71,51,104,81,131,54,80,106
2021년02월_여_50~59세,"4,077","1,712",162,197,196,171,181,172,113,266,219,247,126,161,154
2021년02월_여_60~69세,"4,928","1,488",212,274,280,283,239,335,215,331,259,320,196,215,281
2021년02월_여_70~79세,"4,737","1,031",228,288,349,272,278,328,189,389,267,313,221,249,335
2021년02월_여_80~89세,"3,627",638,210,214,222,244,209,263,216,309,184,257,189,211,261
2021년02월_여_90~99세,690,150,41,37,32,38,29,50,32,52,32,55,38,50,54
2021년02월_여_100세 이상,36,8,2,2,1,3,1,2,1,5,1,3,0,3,4
