,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020년10월_계_총인구수,"1,138,581","218,571","321,134","157,319","218,949","222,608"
2020년10월_계_연령구간인구수,"1,138,581","218,571","321,134","157,319","218,949","222,608"
2020년10월_계_0~9세,"99,560","16,843","24,112","15,131","25,444","18,030"
2020년10월_계_10~19세,"112,789","20,224","30,803","15,576","23,641","22,545"
2020년10월_계_20~29세,"145,618","27,183","46,019","17,893","27,959","26,564"
2020년10월_계_30~39세,"153,160","26,667","42,510","23,378","34,511","26,094"
2020년10월_계_40~49세,"188,439","34,565","51,893","25,982","38,525","37,474"
2020년10월_계_50~59세,"210,132","41,617","62,123","25,899","38,719","41,774"
2020년10월_계_60~69세,"143,512","31,516","41,011","22,469","19,379","29,137"
2020년10월_계_70~79세,"59,609","14,156","16,367","8,152","7,328","13,606"
2020년10월_계_80~89세,"22,514","5,126","5,592","2,451","2,974","6,371"
2020년10월_계_90~99세,"3,077",617,671,362,448,979
2020년10월_계_100세 이상,171,57,33,26,21,34
2020년10월_남_총인구수,"584,963","110,780","163,727","82,261","113,337","114,858"
2020년10월_남_연령구간인구수,"584,963","110,780","163,727","82,261","113,337","114,858"
2020년10월_남_0~9세,"51,129","8,706","12,411","7,736","13,048","9,228"
2020년10월_남_10~19세,"59,378","10,807","16,280","8,222","12,352","11,717"
2020년10월_남_20~29세,"81,724","15,148","25,651","10,081","15,764","15,080"
2020년10월_남_30~39세,"81,298","14,010","22,584","12,891","17,933","13,880"
2020년10월_남_40~49세,"95,852","17,587","25,289","14,116","19,689","19,171"
2020년10월_남_50~59세,"107,021","20,767","31,270","12,835","20,021","22,128"
2020년10월_남_60~69세,"72,373","15,359","20,393","11,379","10,184","15,058"
2020년10월_남_70~79세,"28,235","6,506","7,804","4,155","3,396","6,374"
2020년10월_남_80~89세,"7,402","1,774","1,918",791,879,"2,040"
2020년10월_남_90~99세,517,104,119,50,67,177
2020년10월_남_100세 이상,34,12,8,5,4,5
2020년10월_여_총인구수,"553,618","107,791","157,407","75,058","105,612","107,750"
2020년10월_여_연령구간인구수,"553,618","107,791","157,407","75,058","105,612","107,750"
2020년10월_여_0~9세,"48,431","8,137","11,701","7,395","12,396","8,802"
2020년10월_여_10~19세,"53,411","9,417","14,523","7,354","11,289","10,828"
2020년10월_여_20~29세,"63,894","12,035","20,368","7,812","12,195","11,484"
2020년10월_여_30~39세,"71,862","12,657","19,926","10,487","16,578","12,214"
2020년10월_여_40~49세,"92,587","16,978","26,604","11,866","18,836","18,303"
2020년10월_여_50~59세,"103,111","20,850","30,853","13,064","18,698","19,646"
2020년10월_여_60~69세,"71,139","16,157","20,618","11,090","9,195","14,079"
2020년10월_여_70~79세,"31,374","7,650","8,563","3,997","3,932","7,232"
2020년10월_여_80~89세,"15,112","3,352","3,674","1,660","2,095","4,331"
2020년10월_여_90~99세,"2,560",513,552,312,381,802
2020년10월_여_100세 이상,137,45,25,21,17,29
