,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2020년11월_계_총인구수,"214,752","7,337","7,055","9,193","14,109","29,314","5,417","7,549","8,856","6,576","12,573","6,194","19,620","8,418","46,317","20,076","6,148"
2020년11월_계_연령구간인구수,"214,752","7,337","7,055","9,193","14,109","29,314","5,417","7,549","8,856","6,576","12,573","6,194","19,620","8,418","46,317","20,076","6,148"
2020년11월_계_0~9세,"17,251",502,539,482,905,"2,920",285,386,361,235,"1,026",409,"1,403",504,"3,916","3,017",361
2020년11월_계_10~19세,"22,839",745,686,774,"1,376","4,955",287,413,594,363,"1,156",412,"2,021",611,"6,012","2,049",385
2020년11월_계_20~29세,"28,117",840,907,"1,263","2,014","3,418",656,892,"1,206",983,"1,532",939,"2,821","1,157","6,574","2,374",541
2020년11월_계_30~39세,"25,565",702,872,926,"1,591","2,885",660,830,"1,074",734,"1,525",827,"2,269",927,"5,421","3,772",550
2020년11월_계_40~49세,"34,066","1,078","1,125","1,257","2,195","5,624",751,"1,006","1,204",832,"1,917",857,"3,043","1,134","7,813","3,431",799
2020년11월_계_50~59세,"33,086","1,152","1,017","1,512","2,224","4,349",889,"1,238","1,542","1,230","1,909",923,"3,297","1,464","6,852","2,516",972
2020년11월_계_60~69세,"28,050","1,033",934,"1,415","1,946","2,923",866,"1,204","1,528","1,214","1,856",891,"2,650","1,403","5,271","1,792","1,124"
2020년11월_계_70~79세,"17,332",875,679,"1,047","1,168","1,428",705,"1,086",940,697,"1,106",649,"1,502",872,"3,038",727,813
2020년11월_계_80~89세,"7,240",344,258,445,589,685,273,411,359,252,466,244,536,302,"1,229",324,523
2020년11월_계_90~99세,"1,111",58,30,63,98,124,31,77,46,33,78,34,73,39,182,71,74
2020년11월_계_100세 이상,95,8,8,9,3,3,14,6,2,3,2,9,5,5,9,3,6
2020년11월_남_총인구수,"103,360","3,341","3,375","4,338","6,639","13,760","2,767","3,870","4,543","3,307","5,945","3,042","9,520","4,200","21,888","9,787","3,038"
2020년11월_남_연령구간인구수,"103,360","3,341","3,375","4,338","6,639","13,760","2,767","3,870","4,543","3,307","5,945","3,042","9,520","4,200","21,888","9,787","3,038"
2020년11월_남_0~9세,"8,840",257,282,247,474,"1,443",138,190,185,111,537,218,729,256,"1,987","1,591",195
2020년11월_남_10~19세,"11,440",357,333,403,688,"2,528",157,220,322,190,562,196,"1,032",317,"2,903","1,048",184
2020년11월_남_20~29세,"14,476",418,474,639,"1,038","1,758",337,510,649,547,780,433,"1,457",619,"3,304","1,207",306
2020년11월_남_30~39세,"12,668",339,418,486,782,"1,277",354,460,613,421,750,432,"1,153",505,"2,558","1,822",298
2020년11월_남_40~49세,"16,785",523,565,622,"1,054","2,529",440,605,688,478,930,481,"1,483",583,"3,656","1,693",455
2020년11월_남_50~59세,"15,646",519,493,691,"1,003","2,007",490,660,778,571,880,450,"1,551",694,"3,175","1,173",511
2020년11월_남_60~69세,"12,855",419,403,615,888,"1,325",415,573,722,582,826,414,"1,229",673,"2,395",806,570
2020년11월_남_70~79세,"7,747",362,296,465,491,622,312,485,440,315,469,302,675,417,"1,401",339,356
2020년11월_남_80~89세,"2,642",128,100,157,197,246,113,150,132,85,190,104,203,124,461,99,153
2020년11월_남_90~99세,248,18,9,13,23,24,8,17,14,6,21,10,7,12,48,9,9
2020년11월_남_100세 이상,13,1,2,0,1,1,3,0,0,1,0,2,1,0,0,0,1
2020년11월_여_총인구수,"111,392","3,996","3,680","4,855","7,470","15,554","2,650","3,679","4,313","3,269","6,628","3,152","10,100","4,218","24,429","10,289","3,110"
2020년11월_여_연령구간인구수,"111,392","3,996","3,680","4,855","7,470","15,554","2,650","3,679","4,313","3,269","6,628","3,152","10,100","4,218","24,429","10,289","3,110"
2020년11월_여_0~9세,"8,411",245,257,235,431,"1,477",147,196,176,124,489,191,674,248,"1,929","1,426",166
2020년11월_여_10~19세,"11,399",388,353,371,688,"2,427",130,193,272,173,594,216,989,294,"3,109","1,001",201
2020년11월_여_20~29세,"13,641",422,433,624,976,"1,660",319,382,557,436,752,506,"1,364",538,"3,270","1,167",235
2020년11월_여_30~39세,"12,897",363,454,440,809,"1,608",306,370,461,313,775,395,"1,116",422,"2,863","1,950",252
2020년11월_여_40~49세,"17,281",555,560,635,"1,141","3,095",311,401,516,354,987,376,"1,560",551,"4,157","1,738",344
2020년11월_여_50~59세,"17,440",633,524,821,"1,221","2,342",399,578,764,659,"1,029",473,"1,746",770,"3,677","1,343",461
2020년11월_여_60~69세,"15,195",614,531,800,"1,058","1,598",451,631,806,632,"1,030",477,"1,421",730,"2,876",986,554
2020년11월_여_70~79세,"9,585",513,383,582,677,806,393,601,500,382,637,347,827,455,"1,637",388,457
2020년11월_여_80~89세,"4,598",216,158,288,392,439,160,261,227,167,276,140,333,178,768,225,370
2020년11월_여_90~99세,863,40,21,50,75,100,23,60,32,27,57,24,66,27,134,62,65
2020년11월_여_100세 이상,82,7,6,9,2,2,11,6,2,2,2,7,4,5,9,3,5
