카테고리,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020년10월_계_총인구수,"41,708","8,592","1,662",866,"1,662","5,340","5,694","3,106","8,810","5,976"
2020년10월_계_연령구간인구수,"41,708","8,592","1,662",866,"1,662","5,340","5,694","3,106","8,810","5,976"
2020년10월_계_0~9세,"1,908",436,37,24,54,230,282,122,425,298
2020년10월_계_10~19세,"2,935",726,79,43,69,332,439,210,671,366
2020년10월_계_20~29세,"3,388",771,107,51,95,404,417,210,749,584
2020년10월_계_30~39세,"3,126",687,69,40,89,332,474,161,637,637
2020년10월_계_40~49세,"5,377","1,104",194,76,148,645,767,395,"1,149",899
2020년10월_계_50~59세,"8,116","1,614",349,176,362,"1,005","1,149",676,"1,655","1,130"
2020년10월_계_60~69세,"8,778","1,688",425,235,464,"1,212","1,215",693,"1,776","1,070"
2020년10월_계_70~79세,"5,005",918,254,141,246,694,615,362,"1,126",649
2020년10월_계_80~89세,"2,669",557,123,70,112,423,307,248,524,305
2020년10월_계_90~99세,364,84,25,9,22,57,28,28,80,31
2020년10월_계_100세 이상,42,7,0,1,1,6,1,1,18,7
2020년10월_남_총인구수,"21,324","4,345",878,452,874,"2,693","2,983","1,554","4,422","3,123"
2020년10월_남_연령구간인구수,"21,324","4,345",878,452,874,"2,693","2,983","1,554","4,422","3,123"
2020년10월_남_0~9세,947,218,18,17,26,109,131,55,229,144
2020년10월_남_10~19세,"1,551",367,44,23,32,169,248,110,342,216
2020년10월_남_20~29세,"1,957",433,66,36,56,229,245,118,425,349
2020년10월_남_30~39세,"1,695",361,43,19,51,179,259,82,334,367
2020년10월_남_40~49세,"2,932",581,120,39,81,365,416,217,606,507
2020년10월_남_50~59세,"4,326",868,187,88,197,526,610,358,878,614
2020년10월_남_60~69세,"4,555",871,243,136,260,633,640,359,898,515
2020년10월_남_70~79세,"2,315",439,114,59,128,310,313,159,518,275
2020년10월_남_80~89세,960,192,40,34,41,158,115,87,169,124
2020년10월_남_90~99세,75,14,3,0,2,14,6,8,18,10
2020년10월_남_100세 이상,11,1,0,1,0,1,0,1,5,2
2020년10월_여_총인구수,"20,384","4,247",784,414,788,"2,647","2,711","1,552","4,388","2,853"
2020년10월_여_연령구간인구수,"20,384","4,247",784,414,788,"2,647","2,711","1,552","4,388","2,853"
2020년10월_여_0~9세,961,218,19,7,28,121,151,67,196,154
2020년10월_여_10~19세,"1,384",359,35,20,37,163,191,100,329,150
2020년10월_여_20~29세,"1,431",338,41,15,39,175,172,92,324,235
2020년10월_여_30~39세,"1,431",326,26,21,38,153,215,79,303,270
2020년10월_여_40~49세,"2,445",523,74,37,67,280,351,178,543,392
2020년10월_여_50~59세,"3,790",746,162,88,165,479,539,318,777,516
2020년10월_여_60~69세,"4,223",817,182,99,204,579,575,334,878,555
2020년10월_여_70~79세,"2,690",479,140,82,118,384,302,203,608,374
2020년10월_여_80~89세,"1,709",365,83,36,71,265,192,161,355,181
2020년10월_여_90~99세,289,70,22,9,20,43,22,20,62,21
2020년10월_여_100세 이상,31,6,0,0,1,5,1,0,13,5
