,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년09월_계_총인구수,"1,075,697","258,455","33,298","25,913","20,193","23,379","8,231","9,158","20,276","24,482","44,521","35,880","13,124","440,923","38,896","30,800","17,553","42,255","13,481","33,640","21,281","25,695","39,459","32,486","33,026","27,301","23,450","24,967","36,633","376,319","36,835","41,889","38,330","57,050","18,500","49,396","48,854","34,169","51,296"
2020년09월_계_연령구간인구수,"1,075,697","258,455","33,298","25,913","20,193","23,379","8,231","9,158","20,276","24,482","44,521","35,880","13,124","440,923","38,896","30,800","17,553","42,255","13,481","33,640","21,281","25,695","39,459","32,486","33,026","27,301","23,450","24,967","36,633","376,319","36,835","41,889","38,330","57,050","18,500","49,396","48,854","34,169","51,296"
2020년09월_계_0~9세,"102,350","21,405","2,344","1,933","1,595","3,203",337,232,"1,295","1,598","4,949","3,221",698,"43,650","3,449","3,603","1,910","4,433","1,018","3,145","1,867","3,247","3,417","2,768","3,608","2,704","2,992","2,029","3,460","37,295","2,804","4,797","3,646","5,232","1,535","5,807","4,865","3,458","5,151"
2020년09월_계_10~19세,"123,747","27,015","3,913","2,351","1,805","1,817",579,"1,145","3,159","2,216","4,473","4,384","1,173","51,105","3,667","3,566","1,291","3,455","1,312","4,360","2,151","2,444","4,866","3,109","5,737","4,744","2,997","2,851","4,555","45,627","3,715","5,840","5,310","7,177","1,608","5,360","6,231","4,250","6,136"
2020년09월_계_20~29세,"136,992","34,423","4,700","3,283","2,128","1,958",752,909,"2,526","4,328","7,101","4,848","1,890","56,204","5,134","3,812","2,486","6,692","1,947","3,984","2,507","4,869","4,284","4,103","3,492","3,091","2,200","3,424","4,179","46,365","5,456","4,916","4,077","7,810","2,808","5,558","6,353","3,886","5,501"
2020년09월_계_30~39세,"146,871","33,992","3,966","3,035","2,344","4,234",732,736,"2,339","3,151","7,453","4,590","1,412","60,501","6,291","4,848","3,233","7,968","1,896","3,997","2,787","4,625","4,332","4,186","3,503","2,526","3,177","2,876","4,256","52,378","6,228","6,358","4,137","7,108","3,287","8,026","6,900","4,385","5,949"
2020년09월_계_40~49세,"200,558","43,464","6,026","4,406","3,342","4,016","1,082","1,023","3,096","3,875","7,744","6,816","2,038","84,190","6,690","6,044","2,769","7,101","2,436","6,601","3,798","4,395","7,821","5,430","7,958","6,335","4,952","4,510","7,350","72,904","6,169","9,105","8,073","11,031","3,045","9,575","9,388","6,612","9,906"
2020년09월_계_50~59세,"163,743","43,059","5,813","4,613","3,704","3,117","1,612","1,637","3,407","4,184","6,317","6,061","2,594","66,002","6,217","4,732","2,751","6,498","2,271","5,081","3,488","3,168","5,773","5,075","4,520","4,156","2,650","4,352","5,270","54,682","5,432","5,714","5,679","8,623","2,868","6,950","7,012","4,998","7,406"
2020년09월_계_60~69세,"104,504","30,578","3,582","3,539","2,885","2,814","1,633","1,770","2,538","2,887","3,733","3,255","1,942","40,637","3,891","2,519","1,648","3,493","1,246","3,312","2,621","1,770","4,292","3,706","2,064","1,932","2,005","2,652","3,486","33,289","3,587","2,404","3,437","5,023","1,745","4,556","4,078","3,031","5,428"
2020년09월_계_70~79세,"65,448","15,948","1,904","1,847","1,507","1,499",935,961,"1,186","1,464","1,870","1,823",952,"26,162","2,386","1,149",744,"1,853",908,"2,188","1,427",808,"3,198","2,793","1,455","1,212","1,681","1,537","2,823","23,338","2,330","1,745","2,794","3,356","1,058","2,550","2,784","2,498","4,223"
2020년09월_계_80~89세,"27,170","7,344",930,782,740,611,485,645,603,667,750,778,353,"10,782","1,023",450,567,643,398,844,548,327,"1,277","1,148",602,515,715,638,"1,087","9,044",974,899,"1,037","1,481",455,850,"1,068",903,"1,377"
