,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년09월_계_총인구수,"223,409","4,610","24,780","12,092","12,402","8,569","21,979","14,990","10,677","13,803","18,340","20,626","12,079","11,039","14,176","2,422","20,825"
2021년09월_계_연령구간인구수,"223,409","4,610","24,780","12,092","12,402","8,569","21,979","14,990","10,677","13,803","18,340","20,626","12,079","11,039","14,176","2,422","20,825"
2021년09월_계_0~9세,"14,495",110,"2,367",865,758,246,"1,676","1,361",364,775,892,"1,041",863,550,757,56,"1,814"
2021년09월_계_10~19세,"19,730",134,"3,315",877,955,364,"1,844","1,422",789,"1,082","1,739","1,472",933,787,"1,218",134,"2,665"
2021년09월_계_20~29세,"30,350",331,"2,580","1,305","1,454",763,"3,378","1,739","2,829","1,964","2,917","3,983","1,308","2,059","1,489",194,"2,057"
2021년09월_계_30~39세,"25,540",376,"2,751","1,554","1,465",710,"2,997","1,937","1,033","1,404","1,911","3,046","1,434","1,263","1,358",148,"2,153"
2021년09월_계_40~49세,"33,745",489,"4,837","1,747","1,704",986,"3,246","2,373","1,233","2,019","2,618","3,119","1,754","1,522","2,099",246,"3,753"
2021년09월_계_50~59세,"36,327",895,"3,589","1,934","2,146","1,456","3,612","2,348","1,539","2,314","3,319","3,292","2,041","1,826","2,494",449,"3,073"
2021년09월_계_60~69세,"34,147","1,145","2,997","1,994","2,019","1,949","3,063","2,060","1,554","2,282","2,775","2,728","1,986","1,712","2,477",581,"2,825"
2021년09월_계_70~79세,"19,106",770,"1,601","1,204","1,211","1,286","1,462","1,120",901,"1,307","1,440","1,344","1,174",865,"1,512",324,"1,585"
2021년09월_계_80~89세,"8,771",319,638,551,608,704,609,549,386,589,648,537,502,406,691,249,785
2021년09월_계_90~99세,"1,155",39,103,59,80,104,87,78,46,63,77,62,81,49,80,41,106
2021년09월_계_100세 이상,43,2,2,2,2,1,5,3,3,4,4,2,3,0,1,0,9
2021년09월_남_총인구수,"112,638","2,587","12,207","5,915","6,074","4,189","11,086","7,510","5,643","7,108","9,211","10,607","5,991","5,585","7,210","1,257","10,458"
2021년09월_남_연령구간인구수,"112,638","2,587","12,207","5,915","6,074","4,189","11,086","7,510","5,643","7,108","9,211","10,607","5,991","5,585","7,210","1,257","10,458"
