카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2021년12월_계_총인구수,"30,066","10,749","2,955","3,572","3,432","3,388","3,065","2,262",261,382
2021년12월_계_연령구간인구수,"30,066","10,749","2,955","3,572","3,432","3,388","3,065","2,262",261,382
2021년12월_계_0~9세,"1,547",826,102,175,114,112,94,88,13,23
2021년12월_계_10~19세,"2,153","1,121",164,257,158,170,111,126,6,40
2021년12월_계_20~29세,"2,417","1,222",176,235,210,217,195,126,16,20
2021년12월_계_30~39세,"2,079","1,065",166,235,173,171,128,107,12,22
2021년12월_계_40~49세,"3,398","1,542",285,383,353,285,223,255,27,45
2021년12월_계_50~59세,"4,958","1,731",519,550,578,606,484,371,46,73
2021년12월_계_60~69세,"5,515","1,560",604,743,743,670,653,433,48,61
2021년12월_계_70~79세,"4,519","1,045",531,538,607,640,644,408,45,61
2021년12월_계_80~89세,"3,074",563,364,391,436,447,479,322,44,28
2021년12월_계_90~99세,397,72,44,62,59,70,53,24,4,9
2021년12월_계_100세 이상,9,2,0,3,1,0,1,2,0,0
2021년12월_남_총인구수,"14,908","5,292","1,493","1,747","1,756","1,648","1,474","1,165",139,194
2021년12월_남_연령구간인구수,"14,908","5,292","1,493","1,747","1,756","1,648","1,474","1,165",139,194
2021년12월_남_0~9세,758,398,50,93,63,57,44,37,7,9
2021년12월_남_10~19세,"1,087",580,78,120,83,81,53,64,6,22
2021년12월_남_20~29세,"1,419",698,112,138,124,121,121,83,7,15
2021년12월_남_30~39세,"1,108",538,97,129,101,89,71,64,8,11
2021년12월_남_40~49세,"1,975",789,171,230,235,178,154,168,20,30
2021년12월_남_50~59세,"2,802",896,303,309,340,356,284,238,27,49
2021년12월_남_60~69세,"2,815",744,328,368,389,350,329,251,30,26
2021년12월_남_70~79세,"1,954",464,236,228,261,279,272,167,23,24
2021년12월_남_80~89세,918,172,109,120,146,127,138,90,9,7
2021년12월_남_90~99세,72,13,9,12,14,10,8,3,2,1
2021년12월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"15,158","5,457","1,462","1,825","1,676","1,740","1,591","1,097",122,188
2021년12월_여_연령구간인구수,"15,158","5,457","1,462","1,825","1,676","1,740","1,591","1,097",122,188
2021년12월_여_0~9세,789,428,52,82,51,55,50,51,6,14
2021년12월_여_10~19세,"1,066",541,86,137,75,89,58,62,0,18
2021년12월_여_20~29세,998,524,64,97,86,96,74,43,9,5
2021년12월_여_30~39세,971,527,69,106,72,82,57,43,4,11
2021년12월_여_40~49세,"1,423",753,114,153,118,107,69,87,7,15
2021년12월_여_50~59세,"2,156",835,216,241,238,250,200,133,19,24
2021년12월_여_60~69세,"2,700",816,276,375,354,320,324,182,18,35
2021년12월_여_70~79세,"2,565",581,295,310,346,361,372,241,22,37
2021년12월_여_80~89세,"2,156",391,255,271,290,320,341,232,35,21
2021년12월_여_90~99세,325,59,35,50,45,60,45,21,2,8
2021년12월_여_100세 이상,9,2,0,3,1,0,1,2,0,0
