,부산광역시 사상구,부산광역시 사상구 삼락동,부산광역시 사상구 모라제1동,부산광역시 사상구 모라제3동,부산광역시 사상구 덕포제1동,부산광역시 사상구 덕포제2동,부산광역시 사상구 괘법동,부산광역시 사상구 감전동,부산광역시 사상구 주례제1동,부산광역시 사상구 주례제2동,부산광역시 사상구 주례제3동,부산광역시 사상구 학장동,부산광역시 사상구 엄궁동
2020년08월_계_총인구수,"214,826","6,138","28,456","11,238","9,031","13,325","22,014","13,935","15,765","23,603","13,501","29,407","28,413"
2020년08월_계_연령구간인구수,"214,826","6,138","28,456","11,238","9,031","13,325","22,014","13,935","15,765","23,603","13,501","29,407","28,413"
2020년08월_계_0~9세,"12,955",232,"1,657",326,521,766,"1,135",545,982,"1,551",785,"2,028","2,427"
2020년08월_계_10~19세,"15,480",319,"2,050",526,685,951,"1,087",745,"1,171","1,861","1,079","2,337","2,669"
2020년08월_계_20~29세,"29,284",674,"3,720",917,"1,077","1,776","3,973","1,739","2,201","4,096","1,844","3,543","3,724"
2020년08월_계_30~39세,"25,877",605,"3,337",871,"1,028","1,526","3,191","1,646","1,878","3,108","1,543","3,601","3,543"
2020년08월_계_40~49세,"29,924",773,"3,838","1,354","1,260","1,718","2,761","1,835","2,054","3,483","1,827","4,382","4,639"
2020년08월_계_50~59세,"41,925","1,343","5,653","2,244","1,855","2,827","4,312","2,935","3,239","3,992","2,529","5,521","5,475"
2020년08월_계_60~69세,"36,037","1,259","5,069","2,511","1,477","2,381","3,551","2,666","2,681","3,256","2,323","4,996","3,867"
2020년08월_계_70~79세,"16,893",687,"2,285","1,675",815,"1,020","1,517","1,353","1,137","1,609","1,102","2,180","1,513"
2020년08월_계_80~89세,"5,728",218,752,735,279,315,426,409,374,576,424,727,493
2020년08월_계_90~99세,653,23,79,76,30,43,47,54,45,64,45,86,61
2020년08월_계_100세 이상,70,5,16,3,4,2,14,8,3,7,0,6,2
2020년08월_남_총인구수,"108,616","3,301","14,300","5,358","4,623","6,753","11,387","7,392","8,063","11,838","6,627","14,712","14,262"
2020년08월_남_연령구간인구수,"108,616","3,301","14,300","5,358","4,623","6,753","11,387","7,392","8,063","11,838","6,627","14,712","14,262"
2020년08월_남_0~9세,"6,571",127,805,163,260,398,571,284,501,770,397,"1,043","1,252"
2020년08월_남_10~19세,"8,115",165,"1,082",283,357,490,585,400,613,961,563,"1,246","1,370"
2020년08월_남_20~29세,"15,712",392,"2,055",522,625,950,"1,973",935,"1,211","2,098",964,"1,935","2,052"
2020년08월_남_30~39세,"13,880",332,"1,802",483,553,806,"1,744",969,"1,014","1,663",836,"1,879","1,799"
2020년08월_남_40~49세,"15,674",465,"1,984",797,669,907,"1,510","1,060","1,033","1,817",921,"2,235","2,276"
2020년08월_남_50~59세,"20,912",750,"2,729","1,173",995,"1,376","2,246","1,573","1,590","1,913","1,160","2,696","2,711"
2020년08월_남_60~69세,"17,913",671,"2,472","1,120",697,"1,210","1,854","1,388","1,398","1,630","1,110","2,449","1,914"
2020년08월_남_70~79세,"7,841",322,"1,099",617,368,503,735,622,568,779,514,978,736
2020년08월_남_80~89세,"1,884",72,257,188,92,107,164,151,129,195,153,230,146
2020년08월_남_90~99세,105,5,15,11,6,5,4,8,5,11,9,20,6
2020년08월_남_100세 이상,9,0,0,1,1,1,1,2,1,1,0,1,0
2020년08월_여_총인구수,"106,210","2,837","14,156","5,880","4,408","6,572","10,627","6,543","7,702","11,765","6,874","14,695","14,151"
2020년08월_여_연령구간인구수,"106,210","2,837","14,156","5,880","4,408","6,572","10,627","6,543","7,702","11,765","6,874","14,695","14,151"
2020년08월_여_0~9세,"6,384",105,852,163,261,368,564,261,481,781,388,985,"1,175"
2020년08월_여_10~19세,"7,365",154,968,243,328,461,502,345,558,900,516,"1,091","1,299"
2020년08월_여_20~29세,"13,572",282,"1,665",395,452,826,"2,000",804,990,"1,998",880,"1,608","1,672"
2020년08월_여_30~39세,"11,997",273,"1,535",388,475,720,"1,447",677,864,"1,445",707,"1,722","1,744"
2020년08월_여_40~49세,"14,250",308,"1,854",557,591,811,"1,251",775,"1,021","1,666",906,"2,147","2,363"
2020년08월_여_50~59세,"21,013",593,"2,924","1,071",860,"1,451","2,066","1,362","1,649","2,079","1,369","2,825","2,764"
2020년08월_여_60~69세,"18,124",588,"2,597","1,391",780,"1,171","1,697","1,278","1,283","1,626","1,213","2,547","1,953"
2020년08월_여_70~79세,"9,052",365,"1,186","1,058",447,517,782,731,569,830,588,"1,202",777
2020년08월_여_80~89세,"3,844",146,495,547,187,208,262,258,245,381,271,497,347
2020년08월_여_90~99세,548,18,64,65,24,38,43,46,40,53,36,66,55
2020년08월_여_100세 이상,61,5,16,2,3,1,13,6,2,6,0,5,2
