,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2021년05월_계_총인구수,"1,457,161","223,353","233,067","475,406","350,046","175,289"
2021년05월_계_연령구간인구수,"1,457,161","223,353","233,067","475,406","350,046","175,289"
2021년05월_계_0~9세,"111,167","14,792","14,571","36,951","33,968","10,885"
2021년05월_계_10~19세,"144,225","19,873","21,506","48,810","37,813","16,223"
2021년05월_계_20~29세,"211,313","30,295","30,543","73,607","52,518","24,350"
2021년05월_계_30~39세,"191,713","25,709","25,555","65,300","55,283","19,866"
2021년05월_계_40~49세,"233,876","33,926","36,063","77,217","60,041","26,629"
2021년05월_계_50~59세,"239,909","36,343","39,097","77,009","54,118","33,342"
2021년05월_계_60~69세,"185,594","33,606","34,385","56,894","35,064","25,645"
2021년05월_계_70~79세,"91,503","19,042","20,555","26,210","13,566","12,130"
2021년05월_계_80~89세,"41,696","8,598","9,436","11,627","6,551","5,484"
2021년05월_계_90~99세,"5,963","1,130","1,308","1,721","1,097",707
2021년05월_계_100세 이상,202,39,48,60,27,28
2021년05월_남_총인구수,"727,279","112,656","114,905","233,764","176,750","89,204"
2021년05월_남_연령구간인구수,"727,279","112,656","114,905","233,764","176,750","89,204"
2021년05월_남_0~9세,"57,181","7,656","7,464","19,079","17,485","5,497"
2021년05월_남_10~19세,"74,520","10,266","11,096","25,167","19,517","8,474"
2021년05월_남_20~29세,"110,845","16,067","15,583","37,511","28,182","13,502"
2021년05월_남_30~39세,"100,259","13,936","13,166","33,385","28,894","10,878"
2021년05월_남_40~49세,"116,591","17,797","18,278","37,353","29,528","13,635"
2021년05월_남_50~59세,"119,735","18,722","19,777","37,326","26,988","16,922"
2021년05월_남_60~69세,"90,083","16,288","16,411","27,306","17,410","12,668"
2021년05월_남_70~79세,"41,654","8,547","9,222","12,020","6,329","5,536"
2021년05월_남_80~89세,"15,015","3,088","3,594","4,208","2,177","1,948"
2021년05월_남_90~99세,"1,361",279,306,398,236,142
2021년05월_남_100세 이상,35,10,8,11,4,2
2021년05월_여_총인구수,"729,882","110,697","118,162","241,642","173,296","86,085"
2021년05월_여_연령구간인구수,"729,882","110,697","118,162","241,642","173,296","86,085"
2021년05월_여_0~9세,"53,986","7,136","7,107","17,872","16,483","5,388"
2021년05월_여_10~19세,"69,705","9,607","10,410","23,643","18,296","7,749"
2021년05월_여_20~29세,"100,468","14,228","14,960","36,096","24,336","10,848"
2021년05월_여_30~39세,"91,454","11,773","12,389","31,915","26,389","8,988"
2021년05월_여_40~49세,"117,285","16,129","17,785","39,864","30,513","12,994"
2021년05월_여_50~59세,"120,174","17,621","19,320","39,683","27,130","16,420"
2021년05월_여_60~69세,"95,511","17,318","17,974","29,588","17,654","12,977"
2021년05월_여_70~79세,"49,849","10,495","11,333","14,190","7,237","6,594"
2021년05월_여_80~89세,"26,681","5,510","5,842","7,419","4,374","3,536"
2021년05월_여_90~99세,"4,602",851,"1,002","1,323",861,565
2021년05월_여_100세 이상,167,29,40,49,23,26
