,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2021년03월_계_총인구수,"139,325","6,223","5,167","13,251","3,945","3,293","5,824","2,769","4,417","15,800","43,405","31,192","4,039"
2021년03월_계_연령구간인구수,"139,325","6,223","5,167","13,251","3,945","3,293","5,824","2,769","4,417","15,800","43,405","31,192","4,039"
2021년03월_계_0~9세,"11,734",235,242,821,134,94,197,83,183,923,"7,008","1,732",82
2021년03월_계_10~19세,"12,687",344,358,"1,117",262,196,293,142,328,"1,233","4,885","3,412",117
2021년03월_계_20~29세,"18,823",639,537,"1,608",425,361,614,289,488,"2,058","3,884","7,646",274
2021년03월_계_30~39세,"21,179",598,525,"1,596",364,277,647,240,453,"2,307","8,797","5,097",278
2021년03월_계_40~49세,"24,545",820,813,"2,020",538,488,753,383,600,"2,569","9,453","5,633",475
2021년03월_계_50~59세,"20,523","1,311",869,"2,304",733,631,"1,093",502,792,"2,797","4,594","4,000",897
2021년03월_계_60~69세,"16,155","1,290",825,"2,018",730,610,"1,096",550,801,"2,386","2,887","1,913","1,049"
2021년03월_계_70~79세,"9,227",628,638,"1,180",525,440,706,394,521,997,"1,372","1,221",605
2021년03월_계_80~89세,"3,817",303,310,506,203,165,347,161,222,435,455,492,218
2021년03월_계_90~99세,612,54,49,81,30,31,72,24,28,89,68,45,41
2021년03월_계_100세 이상,23,1,1,0,1,0,6,1,1,6,2,1,3
2021년03월_남_총인구수,"72,400","3,371","2,646","6,737","2,015","1,704","3,077","1,434","2,181","8,784","21,843","16,349","2,259"
2021년03월_남_연령구간인구수,"72,400","3,371","2,646","6,737","2,015","1,704","3,077","1,434","2,181","8,784","21,843","16,349","2,259"
2021년03월_남_0~9세,"6,069",128,141,408,64,59,96,54,89,480,"3,606",907,37
2021년03월_남_10~19세,"6,592",167,185,581,146,93,152,70,160,649,"2,519","1,814",56
2021년03월_남_20~29세,"9,563",370,298,857,241,202,338,162,259,"1,175","1,910","3,570",181
2021년03월_남_30~39세,"11,509",353,289,850,200,164,373,147,261,"1,404","4,261","3,030",177
2021년03월_남_40~49세,"13,394",499,444,"1,078",300,271,441,208,336,"1,511","4,987","3,005",314
2021년03월_남_50~59세,"11,349",762,475,"1,229",391,358,648,283,412,"1,584","2,387","2,288",532
2021년03월_남_60~69세,"8,090",675,405,"1,004",349,297,571,271,364,"1,302","1,313",981,558
2021년03월_남_70~79세,"4,288",293,277,528,240,203,323,164,226,504,681,536,313
2021년03월_남_80~89세,"1,394",110,120,183,76,52,117,63,66,154,165,204,84
2021년03월_남_90~99세,145,14,12,19,8,5,17,12,8,18,13,13,6
2021년03월_남_100세 이상,7,0,0,0,0,0,1,0,0,3,1,1,1
2021년03월_여_총인구수,"66,925","2,852","2,521","6,514","1,930","1,589","2,747","1,335","2,236","7,016","21,562","14,843","1,780"
2021년03월_여_연령구간인구수,"66,925","2,852","2,521","6,514","1,930","1,589","2,747","1,335","2,236","7,016","21,562","14,843","1,780"
2021년03월_여_0~9세,"5,665",107,101,413,70,35,101,29,94,443,"3,402",825,45
2021년03월_여_10~19세,"6,095",177,173,536,116,103,141,72,168,584,"2,366","1,598",61
2021년03월_여_20~29세,"9,260",269,239,751,184,159,276,127,229,883,"1,974","4,076",93
2021년03월_여_30~39세,"9,670",245,236,746,164,113,274,93,192,903,"4,536","2,067",101
2021년03월_여_40~49세,"11,151",321,369,942,238,217,312,175,264,"1,058","4,466","2,628",161
2021년03월_여_50~59세,"9,174",549,394,"1,075",342,273,445,219,380,"1,213","2,207","1,712",365
2021년03월_여_60~69세,"8,065",615,420,"1,014",381,313,525,279,437,"1,084","1,574",932,491
2021년03월_여_70~79세,"4,939",335,361,652,285,237,383,230,295,493,691,685,292
2021년03월_여_80~89세,"2,423",193,190,323,127,113,230,98,156,281,290,288,134
2021년03월_여_90~99세,467,40,37,62,22,26,55,12,20,71,55,32,35
2021년03월_여_100세 이상,16,1,1,0,1,0,5,1,1,3,1,0,2
