카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2021년02월_계_총인구수,"28,943","10,538","5,352","2,497","2,084","3,280","1,930","1,530","1,732"
2021년02월_계_연령구간인구수,"28,943","10,538","5,352","2,497","2,084","3,280","1,930","1,530","1,732"
2021년02월_계_0~9세,"1,171",629,251,59,58,75,46,20,33
2021년02월_계_10~19세,"1,949",937,399,105,136,172,74,34,92
2021년02월_계_20~29세,"2,175","1,095",454,117,101,143,86,75,104
2021년02월_계_30~39세,"1,953","1,021",395,89,80,135,79,73,81
2021년02월_계_40~49세,"3,285","1,485",687,196,185,322,145,128,137
2021년02월_계_50~59세,"5,595","1,941",978,529,398,697,405,294,353
2021년02월_계_60~69세,"6,453","1,855","1,035",669,554,845,573,454,468
2021년02월_계_70~79세,"3,896",987,743,425,363,540,314,257,267
2021년02월_계_80~89세,"2,154",516,366,256,186,304,184,173,169
2021년02월_계_90~99세,288,69,43,44,20,46,23,21,22
2021년02월_계_100세 이상,24,3,1,8,3,1,1,1,6
2021년02월_남_총인구수,"14,678","5,282","2,780","1,244","1,118","1,571","1,054",779,850
2021년02월_남_연령구간인구수,"14,678","5,282","2,780","1,244","1,118","1,571","1,054",779,850
2021년02월_남_0~9세,614,322,138,27,38,36,24,11,18
2021년02월_남_10~19세,"1,040",472,222,58,92,95,48,15,38
2021년02월_남_20~29세,"1,281",619,279,57,61,93,66,40,66
2021년02월_남_30~39세,"1,044",530,220,49,44,72,44,43,42
2021년02월_남_40~49세,"1,814",782,395,108,110,166,91,82,80
2021년02월_남_50~59세,"2,979","1,036",533,296,211,345,213,160,185
2021년02월_남_60~69세,"3,323",905,520,353,287,409,337,257,255
2021년02월_남_70~79세,"1,750",423,324,190,198,241,151,113,110
2021년02월_남_80~89세,749,178,138,91,71,104,70,51,46
2021년02월_남_90~99세,75,13,10,12,6,9,9,7,9
2021년02월_남_100세 이상,9,2,1,3,0,1,1,0,1
2021년02월_여_총인구수,"14,265","5,256","2,572","1,253",966,"1,709",876,751,882
2021년02월_여_연령구간인구수,"14,265","5,256","2,572","1,253",966,"1,709",876,751,882
2021년02월_여_0~9세,557,307,113,32,20,39,22,9,15
2021년02월_여_10~19세,909,465,177,47,44,77,26,19,54
2021년02월_여_20~29세,894,476,175,60,40,50,20,35,38
2021년02월_여_30~39세,909,491,175,40,36,63,35,30,39
2021년02월_여_40~49세,"1,471",703,292,88,75,156,54,46,57
2021년02월_여_50~59세,"2,616",905,445,233,187,352,192,134,168
2021년02월_여_60~69세,"3,130",950,515,316,267,436,236,197,213
2021년02월_여_70~79세,"2,146",564,419,235,165,299,163,144,157
2021년02월_여_80~89세,"1,405",338,228,165,115,200,114,122,123
2021년02월_여_90~99세,213,56,33,32,14,37,14,14,13
2021년02월_여_100세 이상,15,1,0,5,3,0,0,1,5
