,경기도 안산시,경기도 안산시 상록구,경기도 안산시 상록구 일동,경기도 안산시 상록구 이동,경기도 안산시 상록구 사동,경기도 안산시 상록구 사이동,경기도 안산시 상록구 해양동,경기도 안산시 상록구 본오1동,경기도 안산시 상록구 본오2동,경기도 안산시 상록구 본오3동,경기도 안산시 상록구 부곡동,경기도 안산시 상록구 월피동,경기도 안산시 상록구 성포동,경기도 안산시 상록구 반월동,경기도 안산시 상록구 안산동,경기도 안산시 단원구,경기도 안산시 단원구 와동,경기도 안산시 단원구 고잔동,경기도 안산시 단원구 중앙동,경기도 안산시 단원구 호수동,경기도 안산시 단원구 원곡동,경기도 안산시 단원구 백운동,경기도 안산시 단원구 신길동,경기도 안산시 단원구 초지동,경기도 안산시 단원구 선부1동,경기도 안산시 단원구 선부2동,경기도 안산시 단원구 선부3동,경기도 안산시 단원구 대부동
2020년08월_계_총인구수,"653,733","348,898","25,347","24,398","33,455","33,369","30,302","38,402","27,068","20,438","22,132","39,008","27,225","18,562","9,192","304,835","39,321","22,167","25,365","44,848","6,344","18,638","22,813","47,567","16,193","17,003","35,830","8,746"
2020년08월_계_연령구간인구수,"653,733","348,898","25,347","24,398","33,455","33,369","30,302","38,402","27,068","20,438","22,132","39,008","27,225","18,562","9,192","304,835","39,321","22,167","25,365","44,848","6,344","18,638","22,813","47,567","16,193","17,003","35,830","8,746"
2020년08월_계_0~9세,"45,303","23,734","1,830","1,183","1,900","2,679","3,301","2,812","1,616","1,043","1,537","2,349","1,799","1,177",508,"21,569","2,750","1,260","1,693","3,545",297,"1,340","1,714","3,925","1,180",960,"2,592",313
2020년08월_계_10~19세,"65,242","34,667","2,563","1,690","3,037","3,716","3,648","4,155","3,005","1,851","2,175","4,002","2,685","1,360",780,"30,575","4,054","1,989","2,285","5,344",316,"1,847","2,564","5,046","1,334","1,678","3,731",387
2020년08월_계_20~29세,"106,040","57,565","3,859","4,464","6,053","5,409","5,002","5,981","4,368","3,559","3,541","7,066","4,817","2,264","1,182","48,475","6,085","4,221","5,014","7,720",495,"2,866","3,112","7,503","2,428","2,547","5,777",707
2020년08월_계_30~39세,"85,882","43,986","3,220","3,827","4,673","4,267","4,243","4,756","3,026","2,495","2,500","4,428","3,281","2,310",960,"41,896","5,282","3,231","4,010","5,535",667,"2,484","3,008","7,285","2,587","1,957","5,167",683
2020년08월_계_40~49세,"109,360","58,216","4,606","4,071","5,774","5,612","5,339","7,019","4,640","3,266","3,723","6,255","3,782","2,749","1,380","51,144","7,250","3,361","3,803","7,557","1,040","2,897","4,131","8,439","2,522","2,936","6,265",943
2020년08월_계_50~59세,"127,324","68,249","4,622","4,568","6,337","6,403","5,272","7,320","5,400","4,276","4,644","8,204","5,814","3,511","1,878","59,075","7,580","4,086","4,593","9,116","1,663","3,757","4,298","8,242","3,052","3,782","6,923","1,983"
2020년08월_계_60~69세,"68,805","36,448","2,521","2,628","2,851","3,303","2,451","3,600","2,806","2,200","2,292","4,102","3,257","2,944","1,493","32,357","3,766","2,375","2,684","4,079",983,"2,266","2,536","4,281","1,949","1,932","3,443","2,063"
2020년08월_계_70~79세,"29,440","16,669","1,433","1,309","1,517","1,268",709,"1,802","1,430","1,114","1,100","1,626","1,098","1,592",671,"12,771","1,655","1,060",822,"1,217",594,846,948,"1,827",714,792,"1,240","1,056"
2020년08월_계_80~89세,"14,147","8,096",600,569,"1,107",618,281,858,686,565,556,850,568,560,278,"6,051",782,522,374,626,253,292,439,881,377,370,614,521
2020년08월_계_90~99세,"2,064","1,201",89,82,191,89,55,98,87,69,61,118,117,89,56,863,113,60,82,105,30,33,59,130,48,46,73,84
2020년08월_계_100세 이상,126,67,4,7,15,5,1,1,4,0,3,8,7,6,6,59,4,2,5,4,6,10,4,8,2,3,5,6
2020년08월_남_총인구수,"335,082","177,865","12,887","13,031","17,464","16,887","15,358","19,824","13,374","10,164","11,403","19,949","13,367","9,371","4,786","157,217","20,749","11,071","12,620","22,561","3,666","9,486","12,197","24,385","8,267","9,232","18,393","4,590"
2020년08월_남_연령구간인구수,"335,082","177,865","12,887","13,031","17,464","16,887","15,358","19,824","13,374","10,164","11,403","19,949","13,367","9,371","4,786","157,217","20,749","11,071","12,620","22,561","3,666","9,486","12,197","24,385","8,267","9,232","18,393","4,590"
2020년08월_남_0~9세,"23,050","12,062",900,586,969,"1,370","1,636","1,465",830,545,792,"1,200",930,587,252,"10,988","1,417",616,869,"1,776",150,682,878,"2,000",609,488,"1,321",182
2020년08월_남_10~19세,"33,609","17,744","1,255",876,"1,578","1,890","1,867","2,131","1,475",934,"1,090","2,129","1,412",702,405,"15,865","2,154","1,024","1,156","2,802",164,968,"1,312","2,554",686,892,"1,945",208
2020년08월_남_20~29세,"56,415","30,662","1,997","2,350","3,311","2,886","2,751","3,205","2,198","1,829","1,891","3,834","2,521","1,230",659,"25,753","3,360","2,128","2,510","3,955",300,"1,487","1,758","4,042","1,324","1,396","3,094",399
2020년08월_남_30~39세,"46,683","23,792","1,751","2,259","2,703","2,265","2,070","2,576","1,616","1,316","1,357","2,423","1,686","1,239",531,"22,891","2,938","1,803","2,122","2,781",401,"1,332","1,732","4,037","1,452","1,114","2,784",395
2020년08월_남_40~49세,"55,664","29,490","2,438","2,271","3,044","2,790","2,577","3,616","2,226","1,605","1,948","3,063","1,688","1,474",750,"26,174","3,882","1,653","1,841","3,536",632,"1,439","2,272","4,284","1,303","1,626","3,166",540
2020년08월_남_50~59세,"65,343","34,935","2,443","2,489","3,365","3,221","2,656","3,856","2,704","2,107","2,464","4,149","2,741","1,727","1,013","30,408","4,095","2,052","2,219","4,583","1,051","1,869","2,288","4,135","1,472","2,149","3,494","1,001"
2020년08월_남_60~69세,"36,065","18,915","1,286","1,367","1,496","1,690","1,331","1,891","1,479","1,129","1,203","2,187","1,679","1,409",768,"17,150","1,960","1,181","1,389","2,300",566,"1,184","1,326","2,220","1,017","1,051","1,869","1,087"
2020년08월_남_70~79세,"13,123","7,310",602,608,614,550,370,782,593,462,459,699,492,768,311,"5,813",689,445,387,594,289,410,468,803,287,384,512,545
2020년08월_남_80~89세,"4,662","2,680",198,210,330,205,91,284,233,218,187,246,179,213,86,"1,982",232,159,113,210,100,107,150,283,108,116,195,209
2020년08월_남_90~99세,439,261,17,14,50,20,9,18,19,19,11,18,36,20,10,178,22,10,12,23,12,6,12,25,8,15,12,21
2020년08월_남_100세 이상,29,14,0,1,4,0,0,0,1,0,1,1,3,2,1,15,0,0,2,1,1,2,1,2,1,1,1,3
2020년08월_여_총인구수,"318,651","171,033","12,460","11,367","15,991","16,482","14,944","18,578","13,694","10,274","10,729","19,059","13,858","9,191","4,406","147,618","18,572","11,096","12,745","22,287","2,678","9,152","10,616","23,182","7,926","7,771","17,437","4,156"
2020년08월_여_연령구간인구수,"318,651","171,033","12,460","11,367","15,991","16,482","14,944","18,578","13,694","10,274","10,729","19,059","13,858","9,191","4,406","147,618","18,572","11,096","12,745","22,287","2,678","9,152","10,616","23,182","7,926","7,771","17,437","4,156"
2020년08월_여_0~9세,"22,253","11,672",930,597,931,"1,309","1,665","1,347",786,498,745,"1,149",869,590,256,"10,581","1,333",644,824,"1,769",147,658,836,"1,925",571,472,"1,271",131
