,충청북도 영동군,충청북도 영동군 영동읍,충청북도 영동군 용산면,충청북도 영동군 황간면,충청북도 영동군 추풍령면,충청북도 영동군 매곡면,충청북도 영동군 상촌면,충청북도 영동군 양강면,충청북도 영동군 용화면,충청북도 영동군 학산면,충청북도 영동군 양산면,충청북도 영동군 심천면
2020년08월_계_총인구수,"47,706","21,155","3,368","4,324","2,260","1,943","2,403","3,261",962,"2,848","1,891","3,291"
2020년08월_계_연령구간인구수,"47,706","21,155","3,368","4,324","2,260","1,943","2,403","3,261",962,"2,848","1,891","3,291"
2020년08월_계_0~9세,"2,433","1,580",111,174,48,57,73,113,33,90,50,104
2020년08월_계_10~19세,"3,447","2,134",162,267,117,98,113,182,48,111,80,135
2020년08월_계_20~29세,"4,492","2,738",236,300,148,119,114,343,45,155,102,192
2020년08월_계_30~39세,"3,383","2,027",182,269,106,74,107,179,38,132,80,189
2020년08월_계_40~49세,"5,463","3,093",325,439,205,157,192,282,69,212,186,303
2020년08월_계_50~59세,"8,552","3,559",669,824,448,362,422,635,184,522,338,589
2020년08월_계_60~69세,"8,989","2,941",780,944,510,466,579,670,221,690,417,771
2020년08월_계_70~79세,"6,507","1,970",498,681,393,322,466,503,191,513,365,605
2020년08월_계_80~89세,"3,871",986,352,381,247,257,282,317,114,357,226,352
2020년08월_계_90~99세,531,113,47,40,37,30,52,36,18,62,47,49
2020년08월_계_100세 이상,38,14,6,5,1,1,3,1,1,4,0,2
2020년08월_남_총인구수,"23,689","10,423","1,702","2,173","1,111",953,"1,164","1,662",476,"1,434",942,"1,649"
2020년08월_남_연령구간인구수,"23,689","10,423","1,702","2,173","1,111",953,"1,164","1,662",476,"1,434",942,"1,649"
2020년08월_남_0~9세,"1,253",800,61,97,25,29,30,52,19,57,29,54
2020년08월_남_10~19세,"1,764","1,073",80,137,56,56,70,101,28,52,41,70
2020년08월_남_20~29세,"2,516","1,461",133,180,91,68,64,225,24,96,63,111
2020년08월_남_30~39세,"1,786","1,031",106,139,61,42,58,103,23,71,49,103
2020년08월_남_40~49세,"2,978","1,572",180,253,116,97,112,166,44,143,108,187
2020년08월_남_50~59세,"4,510","1,823",367,445,241,194,230,343,100,280,180,307
2020년08월_남_60~69세,"4,571","1,470",409,490,247,239,295,335,118,346,224,398
2020년08월_남_70~79세,"2,841",830,241,289,174,130,204,216,79,239,162,277
2020년08월_남_80~89세,"1,334",336,113,135,91,90,89,113,36,135,71,125
2020년08월_남_90~99세,125,22,11,7,8,8,11,8,5,14,15,16
2020년08월_남_100세 이상,11,5,1,1,1,0,1,0,0,1,0,1
2020년08월_여_총인구수,"24,017","10,732","1,666","2,151","1,149",990,"1,239","1,599",486,"1,414",949,"1,642"
2020년08월_여_연령구간인구수,"24,017","10,732","1,666","2,151","1,149",990,"1,239","1,599",486,"1,414",949,"1,642"
2020년08월_여_0~9세,"1,180",780,50,77,23,28,43,61,14,33,21,50
2020년08월_여_10~19세,"1,683","1,061",82,130,61,42,43,81,20,59,39,65
2020년08월_여_20~29세,"1,976","1,277",103,120,57,51,50,118,21,59,39,81
2020년08월_여_30~39세,"1,597",996,76,130,45,32,49,76,15,61,31,86
2020년08월_여_40~49세,"2,485","1,521",145,186,89,60,80,116,25,69,78,116
2020년08월_여_50~59세,"4,042","1,736",302,379,207,168,192,292,84,242,158,282
2020년08월_여_60~69세,"4,418","1,471",371,454,263,227,284,335,103,344,193,373
2020년08월_여_70~79세,"3,666","1,140",257,392,219,192,262,287,112,274,203,328
2020년08월_여_80~89세,"2,537",650,239,246,156,167,193,204,78,222,155,227
2020년08월_여_90~99세,406,91,36,33,29,22,41,28,13,48,32,33
2020년08월_여_100세 이상,27,9,5,4,0,1,2,1,1,3,0,1
