,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020년11월_계_총인구수,"42,332","7,202","1,111","10,318","1,630","2,122","3,952","2,221","4,530","2,113","3,338","3,795"
2020년11월_계_연령구간인구수,"42,332","7,202","1,111","10,318","1,630","2,122","3,952","2,221","4,530","2,113","3,338","3,795"
2020년11월_계_0~9세,"1,538",468,43,463,42,45,137,63,128,34,55,60
2020년11월_계_10~19세,"2,279",662,25,721,53,69,164,63,267,40,106,109
2020년11월_계_20~29세,"2,847",604,56,865,86,116,215,134,271,123,184,193
2020년11월_계_30~39세,"2,811",653,90,846,94,102,253,105,252,103,141,172
2020년11월_계_40~49세,"4,445","1,015",95,"1,342",139,161,349,150,460,185,264,285
2020년11월_계_50~59세,"7,326","1,206",167,"1,773",270,334,694,432,777,441,583,649
2020년11월_계_60~69세,"9,616","1,266",280,"2,109",445,539,955,584,"1,056",520,850,"1,012"
2020년11월_계_70~79세,"6,583",782,189,"1,315",304,433,644,405,758,354,658,741
2020년11월_계_80~89세,"4,257",465,147,781,172,277,475,256,474,276,421,513
2020년11월_계_90~99세,610,76,17,100,25,46,63,29,85,37,71,61
2020년11월_계_100세 이상,20,5,2,3,0,0,3,0,2,0,5,0
2020년11월_남_총인구수,"20,791","3,527",551,"5,044",794,"1,015","1,938","1,092","2,204","1,036","1,683","1,907"
2020년11월_남_연령구간인구수,"20,791","3,527",551,"5,044",794,"1,015","1,938","1,092","2,204","1,036","1,683","1,907"
2020년11월_남_0~9세,789,243,21,227,15,29,66,34,68,23,34,29
2020년11월_남_10~19세,"1,168",336,19,350,36,34,75,23,147,27,62,59
2020년11월_남_20~29세,"1,700",351,31,507,53,72,133,87,155,69,110,132
2020년11월_남_30~39세,"1,485",322,47,448,54,58,140,54,116,57,81,108
2020년11월_남_40~49세,"2,493",537,66,726,87,97,210,75,256,89,166,184
2020년11월_남_50~59세,"3,878",613,86,915,146,177,378,224,409,247,334,349
2020년11월_남_60~69세,"4,805",621,135,"1,049",204,268,469,317,506,287,437,512
2020년11월_남_70~79세,"3,007",344,85,569,141,189,300,179,384,145,315,356
2020년11월_남_80~89세,"1,341",140,58,235,55,81,147,97,148,83,132,165
2020년11월_남_90~99세,124,20,2,18,3,10,20,2,15,9,12,13
2020년11월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년11월_여_총인구수,"21,541","3,675",560,"5,274",836,"1,107","2,014","1,129","2,326","1,077","1,655","1,888"
2020년11월_여_연령구간인구수,"21,541","3,675",560,"5,274",836,"1,107","2,014","1,129","2,326","1,077","1,655","1,888"
2020년11월_여_0~9세,749,225,22,236,27,16,71,29,60,11,21,31
2020년11월_여_10~19세,"1,111",326,6,371,17,35,89,40,120,13,44,50
2020년11월_여_20~29세,"1,147",253,25,358,33,44,82,47,116,54,74,61
2020년11월_여_30~39세,"1,326",331,43,398,40,44,113,51,136,46,60,64
2020년11월_여_40~49세,"1,952",478,29,616,52,64,139,75,204,96,98,101
2020년11월_여_50~59세,"3,448",593,81,858,124,157,316,208,368,194,249,300
2020년11월_여_60~69세,"4,811",645,145,"1,060",241,271,486,267,550,233,413,500
2020년11월_여_70~79세,"3,576",438,104,746,163,244,344,226,374,209,343,385
2020년11월_여_80~89세,"2,916",325,89,546,117,196,328,159,326,193,289,348
2020년11월_여_90~99세,486,56,15,82,22,36,43,27,70,28,59,48
2020년11월_여_100세 이상,19,5,1,3,0,0,3,0,2,0,5,0
