카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년11월_계_총인구수,"404,341","10,871","6,574","15,329","4,605","33,028","28,973","10,873","15,663","7,482","27,355","43,340","18,470","30,920","77,408","26,178","2,138","1,860","4,054","2,204","2,013","35,003"
2021년11월_계_연령구간인구수,"404,341","10,871","6,574","15,329","4,605","33,028","28,973","10,873","15,663","7,482","27,355","43,340","18,470","30,920","77,408","26,178","2,138","1,860","4,054","2,204","2,013","35,003"
2021년11월_계_0~9세,"37,700",644,322,"1,351",300,"3,789","2,334",656,989,684,"1,982","3,623","1,989","2,675","9,431","3,125",56,41,124,46,32,"3,507"
2021년11월_계_10~19세,"51,286","1,070",358,"1,574",393,"3,707","2,134","1,069","1,898",786,"3,371","5,428","2,761","3,767","13,661","3,450",113,68,139,119,91,"5,329"
2021년11월_계_20~29세,"58,545","1,701","1,008","2,114",573,"4,013","4,288","1,828","2,421",858,"4,946","7,883","2,630","4,642","9,677","3,503",157,155,417,165,143,"5,423"
2021년11월_계_30~39세,"53,103","1,160",879,"2,063",534,"5,291","4,587","1,224","1,697",900,"3,451","5,785","2,274","3,861","9,720","3,859",120,141,444,142,129,"4,842"
2021년11월_계_40~49세,"75,118","1,772",821,"2,638",703,"6,176","4,236","1,558","2,663","1,426","4,198","7,799","3,814","5,608","17,805","5,318",179,165,486,200,206,"7,347"
2021년11월_계_50~59세,"66,160","1,854","1,110","2,460",780,"4,703","5,098","2,164","3,032","1,417","5,536","7,814","2,924","5,625","10,540","3,855",389,304,643,368,316,"5,228"
2021년11월_계_60~69세,"35,818","1,377",936,"1,606",648,"3,207","3,685","1,496","1,820",749,"2,542","3,132","1,202","2,668","4,150","2,087",476,418,823,469,389,"1,938"
2021년11월_계_70~79세,"17,222",896,777,"1,020",467,"1,393","1,611",573,785,407,831,"1,165",612,"1,382","1,737",661,327,346,565,359,351,957
2021년11월_계_80~89세,"8,160",350,317,443,174,656,865,263,321,228,420,627,230,620,586,266,262,198,349,293,309,383
2021년11월_계_90~99세,"1,188",47,43,58,30,87,135,42,35,27,76,81,33,68,98,52,58,24,61,42,46,45
2021년11월_계_100세 이상,41,0,3,2,3,6,0,0,2,0,2,3,1,4,3,2,1,0,3,1,1,4
2021년11월_남_총인구수,"203,768","5,522","3,276","7,747","2,330","16,888","14,717","5,532","7,891","3,961","13,579","21,840","9,370","15,120","38,132","13,510","1,106",951,"2,261","1,151","1,002","17,882"
2021년11월_남_연령구간인구수,"203,768","5,522","3,276","7,747","2,330","16,888","14,717","5,532","7,891","3,961","13,579","21,840","9,370","15,120","38,132","13,510","1,106",951,"2,261","1,151","1,002","17,882"
2021년11월_남_0~9세,"19,324",342,167,707,159,"1,960","1,214",341,506,354,"1,029","1,830","1,026","1,361","4,814","1,593",21,22,60,19,17,"1,782"
2021년11월_남_10~19세,"26,354",546,185,832,208,"1,876","1,097",577,979,413,"1,699","2,824","1,406","1,969","6,811","1,813",60,42,80,66,49,"2,822"
2021년11월_남_20~29세,"31,160",969,531,"1,170",317,"2,215","2,255",994,"1,269",491,"2,608","4,190","1,401","2,362","5,043","1,898",92,83,259,107,77,"2,829"
2021년11월_남_30~39세,"27,101",606,500,"1,053",294,"2,714","2,495",672,885,477,"1,785","3,040","1,115","1,919","4,470","1,977",71,91,271,91,65,"2,510"
2021년11월_남_40~49세,"37,292",915,444,"1,368",364,"3,337","2,216",770,"1,309",772,"1,920","3,671","1,879","2,701","8,514","2,758",113,106,343,117,129,"3,546"
2021년11월_남_50~59세,"34,295",981,567,"1,248",397,"2,382","2,601","1,061","1,545",800,"2,626","3,960","1,619","2,794","5,613","1,986",237,175,415,235,189,"2,864"
2021년11월_남_60~69세,"18,073",658,422,769,306,"1,577","1,904",751,913,404,"1,385","1,649",578,"1,286","1,965","1,100",267,216,449,262,225,987
2021년11월_남_70~79세,"7,470",365,334,438,219,613,702,278,365,182,367,479,272,516,727,307,151,161,270,173,139,412
2021년11월_남_80~89세,"2,481",128,114,150,59,203,220,79,112,62,148,183,67,191,158,71,88,51,102,75,100,120
2021년11월_남_90~99세,213,12,12,12,7,10,13,9,7,6,11,14,7,21,16,7,6,4,12,6,12,9
2021년11월_남_100세 이상,5,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
2021년11월_여_총인구수,"200,573","5,349","3,298","7,582","2,275","16,140","14,256","5,341","7,772","3,521","13,776","21,500","9,100","15,800","39,276","12,668","1,032",909,"1,793","1,053","1,011","17,121"
2021년11월_여_연령구간인구수,"200,573","5,349","3,298","7,582","2,275","16,140","14,256","5,341","7,772","3,521","13,776","21,500","9,100","15,800","39,276","12,668","1,032",909,"1,793","1,053","1,011","17,121"
2021년11월_여_0~9세,"18,376",302,155,644,141,"1,829","1,120",315,483,330,953,"1,793",963,"1,314","4,617","1,532",35,19,64,27,15,"1,725"
2021년11월_여_10~19세,"24,932",524,173,742,185,"1,831","1,037",492,919,373,"1,672","2,604","1,355","1,798","6,850","1,637",53,26,59,53,42,"2,507"
2021년11월_여_20~29세,"27,385",732,477,944,256,"1,798","2,033",834,"1,152",367,"2,338","3,693","1,229","2,280","4,634","1,605",65,72,158,58,66,"2,594"
2021년11월_여_30~39세,"26,002",554,379,"1,010",240,"2,577","2,092",552,812,423,"1,666","2,745","1,159","1,942","5,250","1,882",49,50,173,51,64,"2,332"
2021년11월_여_40~49세,"37,826",857,377,"1,270",339,"2,839","2,020",788,"1,354",654,"2,278","4,128","1,935","2,907","9,291","2,560",66,59,143,83,77,"3,801"
