,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년06월_계_총인구수,"114,448","12,194","2,748","3,020","1,518","2,381","2,541","3,637","2,005","4,757","4,453","3,485","1,929","4,328","7,829","2,817","5,132","9,145","3,451","3,553","33,525"
2020년06월_계_연령구간인구수,"114,448","12,194","2,748","3,020","1,518","2,381","2,541","3,637","2,005","4,757","4,453","3,485","1,929","4,328","7,829","2,817","5,132","9,145","3,451","3,553","33,525"
2020년06월_계_0~9세,"10,126","1,164",63,82,24,88,52,73,37,106,147,89,43,128,672,156,249,805,118,148,"5,882"
2020년06월_계_10~19세,"9,361",793,157,152,57,128,91,164,62,178,225,151,55,210,883,247,381,987,303,215,"3,922"
2020년06월_계_20~29세,"12,165","1,235",221,277,108,154,181,253,127,362,394,332,113,333,"1,181",359,554,"1,337",289,382,"3,973"
2020년06월_계_30~39세,"14,603","1,692",142,178,81,133,127,212,93,278,362,249,103,255,"1,006",276,423,"1,044",245,311,"7,393"
2020년06월_계_40~49세,"16,253","1,743",231,271,125,244,199,314,166,438,454,387,166,388,"1,267",437,634,"1,411",336,454,"6,588"
2020년06월_계_50~59세,"17,256","1,972",502,565,276,388,422,650,361,897,799,705,394,729,"1,283",465,895,"1,472",654,630,"3,197"
2020년06월_계_60~69세,"15,663","1,851",566,613,333,500,563,782,433,"1,071",873,701,433,896,790,395,859,"1,017",633,650,"1,704"
2020년06월_계_70~79세,"11,492","1,106",498,504,281,425,526,657,384,796,756,511,368,833,452,299,747,708,534,482,625
2020년06월_계_80~89세,"6,494",555,309,335,199,288,338,462,292,528,373,309,225,480,261,154,337,312,295,229,213
2020년06월_계_90~99세,977,80,55,41,34,28,42,67,49,99,65,51,28,71,33,29,49,51,40,38,27
2020년06월_계_100세 이상,58,3,4,2,0,5,0,3,1,4,5,0,1,5,1,0,4,1,4,14,1
2020년06월_남_총인구수,"57,642","6,123","1,376","1,566",747,"1,180","1,256","1,820",978,"2,449","2,333","1,812","1,001","2,233","3,893","1,407","2,588","4,590","1,758","1,868","16,664"
