,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020년09월_계_총인구수,"229,786","17,757","10,111","7,699","19,889","16,072","14,346","10,251","12,314","19,271","28,300","8,764","6,935","9,256","21,290","13,248","14,283"
2020년09월_계_연령구간인구수,"229,786","17,757","10,111","7,699","19,889","16,072","14,346","10,251","12,314","19,271","28,300","8,764","6,935","9,256","21,290","13,248","14,283"
2020년09월_계_0~9세,"13,686",999,385,201,698,"1,355",951,775,778,"1,017","2,796",561,249,434,"1,231",794,462
2020년09월_계_10~19세,"15,862","1,310",569,266,"1,204",874,"1,287",785,849,956,"2,948",511,299,499,"1,174","1,509",822
2020년09월_계_20~29세,"33,313","2,580","1,562",966,"4,241","2,432","1,884","1,601","1,851","2,942","3,012",980,"1,026","1,389","2,819","1,810","2,218"
2020년09월_계_30~39세,"38,070","2,849","1,771","1,051","3,144","3,650","2,112","1,860","2,023","3,876","3,695","1,516","1,150","1,670","4,030","1,508","2,165"
2020년09월_계_40~49세,"35,840","2,793","1,422","1,118","2,779","2,629","2,348","1,584","1,868","2,705","5,004","1,236",903,"1,397","3,428","2,498","2,128"
2020년09월_계_50~59세,"36,870","2,898","1,458","1,651","3,102","2,198","2,349","1,573","1,995","3,223","4,575","1,402","1,130","1,300","3,278","2,219","2,519"
2020년09월_계_60~69세,"28,456","2,220","1,452","1,353","2,375","1,637","1,731","1,033","1,523","2,369","2,972","1,331","1,071","1,192","2,774","1,399","2,024"
2020년09월_계_70~79세,"17,255","1,350",933,709,"1,537",841,"1,058",641,963,"1,371","1,854",779,639,854,"1,644",815,"1,267"
2020년09월_계_80~89세,"8,452",594,449,283,669,363,538,328,383,633,"1,173",370,368,423,718,604,556
2020년09월_계_90~99세,"1,615",134,88,69,106,75,74,56,68,137,237,64,78,84,159,86,100
2020년09월_계_100세 이상,367,30,22,32,34,18,14,15,13,42,34,14,22,14,35,6,22
2020년09월_남_총인구수,"110,604","8,645","4,872","4,698","9,326","7,729","6,741","4,855","5,862","9,294","13,219","4,116","3,278","4,270","10,255","6,360","7,084"
2020년09월_남_연령구간인구수,"110,604","8,645","4,872","4,698","9,326","7,729","6,741","4,855","5,862","9,294","13,219","4,116","3,278","4,270","10,255","6,360","7,084"
2020년09월_남_0~9세,"7,077",523,203,100,335,693,483,403,390,530,"1,463",290,121,224,658,403,258
2020년09월_남_10~19세,"8,073",723,293,144,650,450,507,402,440,505,"1,478",261,151,239,591,769,470
2020년09월_남_20~29세,"15,862","1,309",818,453,"1,697","1,025",885,736,876,"1,328","1,463",482,526,700,"1,422",899,"1,243"
2020년09월_남_30~39세,"18,972","1,478",910,562,"1,681","1,761","1,068",918,998,"1,825","1,644",767,622,837,"1,978",723,"1,200"
2020년09월_남_40~49세,"17,591","1,354",726,727,"1,399","1,364","1,146",745,915,"1,326","2,236",609,448,650,"1,690","1,182","1,074"
2020년09월_남_50~59세,"18,259","1,414",673,"1,169","1,540","1,086","1,163",758,988,"1,607","2,203",650,522,582,"1,574","1,113","1,217"
2020년09월_남_60~69세,"13,547","1,028",651,942,"1,085",793,809,484,684,"1,211","1,428",592,479,500,"1,298",690,873
2020년09월_남_70~79세,"7,447",584,421,418,643,377,471,262,404,634,747,335,244,350,711,327,519
2020년09월_남_80~89세,"3,163",190,149,137,260,152,185,124,149,262,454,116,137,161,276,222,189
