,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년09월_계_총인구수,"52,026","11,101","13,778","4,962","2,298","1,678","2,550","1,512","1,286","1,272","2,130","2,048","2,992","4,419"
2020년09월_계_연령구간인구수,"52,026","11,101","13,778","4,962","2,298","1,678","2,550","1,512","1,286","1,272","2,130","2,048","2,992","4,419"
2020년09월_계_0~9세,"2,346",559,"1,026",168,53,31,59,55,26,32,40,46,55,196
2020년09월_계_10~19세,"3,509",874,"1,518",222,60,58,111,70,59,28,68,83,101,257
2020년09월_계_20~29세,"3,925","1,050","1,356",301,94,92,143,80,61,40,97,99,213,299
2020년09월_계_30~39세,"3,498",864,"1,152",305,115,61,116,77,65,55,93,103,161,331
2020년09월_계_40~49세,"5,915","1,560","1,997",497,167,140,230,106,79,99,154,152,246,488
2020년09월_계_50~59세,"8,581","1,929","2,286",814,311,257,367,221,179,194,342,313,557,811
2020년09월_계_60~69세,"10,118","1,953","2,075","1,050",521,361,527,339,293,308,523,497,694,977
2020년09월_계_70~79세,"8,043","1,482","1,396",938,479,344,513,298,250,289,420,400,564,670
2020년09월_계_80~89세,"5,229",727,818,573,437,279,412,234,241,199,339,295,332,343
2020년09월_계_90~99세,821,98,146,89,57,54,69,31,32,27,51,57,65,45
2020년09월_계_100세 이상,41,5,8,5,4,1,3,1,1,1,3,3,4,2
2020년09월_남_총인구수,"25,742","5,570","6,731","2,484","1,109",828,"1,187",722,628,651,"1,042",987,"1,480","2,323"
2020년09월_남_연령구간인구수,"25,742","5,570","6,731","2,484","1,109",828,"1,187",722,628,651,"1,042",987,"1,480","2,323"
2020년09월_남_0~9세,"1,169",274,509,89,30,13,23,26,13,22,17,24,31,98
2020년09월_남_10~19세,"1,813",450,796,115,37,29,52,34,31,17,34,40,50,128
2020년09월_남_20~29세,"2,298",612,760,159,61,57,80,49,37,28,58,63,148,186
2020년09월_남_30~39세,"1,969",466,571,184,73,38,67,48,43,30,63,63,101,222
2020년09월_남_40~49세,"3,246",827,961,309,106,96,128,62,45,67,88,85,150,322
2020년09월_남_50~59세,"4,650","1,080","1,172",473,160,141,196,118,100,116,183,182,293,436
2020년09월_남_60~69세,"4,947",930,"1,003",527,255,178,250,171,156,146,254,246,329,502
2020년09월_남_70~79세,"3,567",630,626,401,219,160,226,136,108,140,207,180,257,277
2020년09월_남_80~89세,"1,883",277,294,207,153,103,146,70,84,82,130,88,109,140
2020년09월_남_90~99세,191,24,36,19,13,13,19,8,11,3,8,14,12,11
2020년09월_남_100세 이상,9,0,3,1,2,0,0,0,0,0,0,2,0,1
2020년09월_여_총인구수,"26,284","5,531","7,047","2,478","1,189",850,"1,363",790,658,621,"1,088","1,061","1,512","2,096"
2020년09월_여_연령구간인구수,"26,284","5,531","7,047","2,478","1,189",850,"1,363",790,658,621,"1,088","1,061","1,512","2,096"
2020년09월_여_0~9세,"1,177",285,517,79,23,18,36,29,13,10,23,22,24,98
2020년09월_여_10~19세,"1,696",424,722,107,23,29,59,36,28,11,34,43,51,129
2020년09월_여_20~29세,"1,627",438,596,142,33,35,63,31,24,12,39,36,65,113
2020년09월_여_30~39세,"1,529",398,581,121,42,23,49,29,22,25,30,40,60,109
2020년09월_여_40~49세,"2,669",733,"1,036",188,61,44,102,44,34,32,66,67,96,166
2020년09월_여_50~59세,"3,931",849,"1,114",341,151,116,171,103,79,78,159,131,264,375
2020년09월_여_60~69세,"5,171","1,023","1,072",523,266,183,277,168,137,162,269,251,365,475
2020년09월_여_70~79세,"4,476",852,770,537,260,184,287,162,142,149,213,220,307,393
2020년09월_여_80~89세,"3,346",450,524,366,284,176,266,164,157,117,209,207,223,203
2020년09월_여_90~99세,630,74,110,70,44,41,50,23,21,24,43,43,53,34
2020년09월_여_100세 이상,32,5,5,4,2,1,3,1,1,1,3,1,4,1
