카테고리,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년05월_계_총인구수,"32,433","8,519","3,430","1,901","3,934","1,936","3,152","2,910","2,898","3,753"
2020년05월_계_연령구간인구수,"32,433","8,519","3,430","1,901","3,934","1,936","3,152","2,910","2,898","3,753"
2020년05월_계_0~9세,"1,448",543,148,73,148,49,108,111,105,163
2020년05월_계_10~19세,"2,111",771,191,67,224,100,237,148,134,239
2020년05월_계_20~29세,"2,593",829,193,142,279,137,264,202,266,281
2020년05월_계_30~39세,"2,182",723,181,121,239,105,192,187,191,243
2020년05월_계_40~49세,"3,606","1,175",364,188,390,173,306,276,328,406
2020년05월_계_50~59세,"5,650","1,402",589,302,692,370,583,521,528,663
2020년05월_계_60~69세,"5,753","1,237",640,409,751,357,541,613,547,658
2020년05월_계_70~79세,"5,220","1,065",676,331,676,346,527,466,466,667
2020년05월_계_80~89세,"3,365",675,401,229,462,264,341,336,283,374
2020년05월_계_90~99세,478,93,46,38,70,34,52,48,43,54
2020년05월_계_100세 이상,27,6,1,1,3,1,1,2,7,5
2020년05월_남_총인구수,"16,211","4,191","1,706",941,"1,961",930,"1,614","1,434","1,455","1,979"
2020년05월_남_연령구간인구수,"16,211","4,191","1,706",941,"1,961",930,"1,614","1,434","1,455","1,979"
2020년05월_남_0~9세,754,279,61,40,85,20,64,55,53,97
2020년05월_남_10~19세,"1,125",421,96,35,112,55,129,72,71,134
2020년05월_남_20~29세,"1,504",439,126,74,171,89,164,116,151,174
2020년05월_남_30~39세,"1,183",366,98,72,137,59,109,107,96,139
2020년05월_남_40~49세,"2,141",645,239,117,240,98,170,163,189,280
2020년05월_남_50~59세,"3,270",772,345,170,383,208,363,308,309,412
2020년05월_남_60~69세,"2,950",599,333,205,402,189,266,330,282,344
2020년05월_남_70~79세,"2,165",439,268,148,279,130,233,186,201,281
2020년05월_남_80~89세,"1,002",206,127,71,138,73,104,92,88,103
2020년05월_남_90~99세,114,23,13,9,14,9,12,5,15,14
2020년05월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년05월_여_총인구수,"16,222","4,328","1,724",960,"1,973","1,006","1,538","1,476","1,443","1,774"
2020년05월_여_연령구간인구수,"16,222","4,328","1,724",960,"1,973","1,006","1,538","1,476","1,443","1,774"
2020년05월_여_0~9세,694,264,87,33,63,29,44,56,52,66
2020년05월_여_10~19세,986,350,95,32,112,45,108,76,63,105
2020년05월_여_20~29세,"1,089",390,67,68,108,48,100,86,115,107
2020년05월_여_30~39세,999,357,83,49,102,46,83,80,95,104
2020년05월_여_40~49세,"1,465",530,125,71,150,75,136,113,139,126
2020년05월_여_50~59세,"2,380",630,244,132,309,162,220,213,219,251
2020년05월_여_60~69세,"2,803",638,307,204,349,168,275,283,265,314
2020년05월_여_70~79세,"3,055",626,408,183,397,216,294,280,265,386
2020년05월_여_80~89세,"2,363",469,274,158,324,191,237,244,195,271
2020년05월_여_90~99세,364,70,33,29,56,25,40,43,28,40
2020년05월_여_100세 이상,24,4,1,1,3,1,1,2,7,4
