카테고리,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년02월_계_총인구수,"224,103","4,924","25,056","12,230","12,376","8,716","21,305","14,973","10,539","13,883","18,341","20,561","12,252","10,945","14,475","2,495","21,032"
2021년02월_계_연령구간인구수,"224,103","4,924","25,056","12,230","12,376","8,716","21,305","14,973","10,539","13,883","18,341","20,561","12,252","10,945","14,475","2,495","21,032"
2021년02월_계_0~9세,"15,010",105,"2,549",877,771,262,"1,615","1,389",371,794,949,"1,098",882,574,792,64,"1,918"
2021년02월_계_10~19세,"19,971",144,"3,333",897,963,389,"1,844","1,383",835,"1,108","1,773","1,501",925,790,"1,266",143,"2,677"
2021년02월_계_20~29세,"30,133",371,"2,619","1,359","1,463",788,"3,268","1,779","2,646","1,971","2,892","3,872","1,364","1,909","1,557",207,"2,068"
2021년02월_계_30~39세,"25,967",409,"2,899","1,598","1,450",746,"2,829","1,998","1,056","1,419","1,903","3,038","1,497","1,285","1,407",157,"2,276"
2021년02월_계_40~49세,"34,241",539,"4,883","1,776","1,733","1,011","3,239","2,332","1,235","2,049","2,723","3,152","1,781","1,574","2,172",257,"3,785"
2021년02월_계_50~59세,"36,789",982,"3,595","1,966","2,175","1,536","3,510","2,384","1,555","2,369","3,289","3,317","2,097","1,856","2,574",468,"3,116"
2021년02월_계_60~69세,"33,079","1,166","2,883","1,943","1,946","1,912","2,906","1,947","1,493","2,232","2,695","2,658","1,927","1,649","2,421",561,"2,740"
2021년02월_계_70~79세,"19,176",802,"1,588","1,215","1,196","1,275","1,414","1,156",917,"1,313","1,446","1,343","1,193",867,"1,522",343,"1,586"
2021년02월_계_80~89세,"8,485",351,607,511,599,704,587,517,382,561,597,508,488,389,675,255,754
2021년02월_계_90~99세,"1,154",43,91,76,77,91,87,79,43,61,72,73,88,50,82,38,103
2021년02월_계_100세 이상,98,12,9,12,3,2,6,9,6,6,2,1,10,2,7,2,9
2021년02월_남_총인구수,"113,026","2,756","12,357","5,993","6,034","4,260","10,775","7,516","5,549","7,132","9,207","10,600","6,057","5,561","7,360","1,308","10,561"
2021년02월_남_연령구간인구수,"113,026","2,756","12,357","5,993","6,034","4,260","10,775","7,516","5,549","7,132","9,207","10,600","6,057","5,561","7,360","1,308","10,561"
2021년02월_남_0~9세,"7,755",52,"1,279",447,426,125,856,737,194,383,487,572,466,314,385,31,"1,001"
2021년02월_남_10~19세,"10,330",78,"1,757",485,500,195,923,732,401,551,918,777,467,400,674,68,"1,404"
2021년02월_남_20~29세,"15,982",206,"1,401",677,759,451,"1,744",943,"1,452","1,085","1,490","1,968",728,979,854,125,"1,120"
2021년02월_남_30~39세,"14,057",243,"1,405",852,779,443,"1,527","1,052",648,785,"1,075","1,745",788,719,765,98,"1,133"
2021년02월_남_40~49세,"17,994",354,"2,431",944,857,576,"1,679","1,177",721,"1,128","1,397","1,701",935,868,"1,154",147,"1,925"
2021년02월_남_50~59세,"18,875",635,"1,780",943,"1,049",787,"1,755","1,205",800,"1,272","1,662","1,738","1,040",946,"1,355",271,"1,637"
2021년02월_남_60~69세,"16,051",656,"1,341",858,922,920,"1,420",952,745,"1,118","1,294","1,281",914,804,"1,180",310,"1,336"
2021년02월_남_70~79세,"8,607",385,711,559,517,519,647,516,428,584,654,604,524,378,701,165,715
2021년02월_남_80~89세,"3,054",129,229,207,198,220,200,180,149,208,219,193,168,148,265,81,260
2021년02월_남_90~99세,294,11,22,17,26,24,21,21,11,17,11,21,24,4,25,12,27
2021년02월_남_100세 이상,27,7,1,4,1,0,3,1,0,1,0,0,3,1,2,0,3
2021년02월_여_총인구수,"111,077","2,168","12,699","6,237","6,342","4,456","10,530","7,457","4,990","6,751","9,134","9,961","6,195","5,384","7,115","1,187","10,471"
2021년02월_여_연령구간인구수,"111,077","2,168","12,699","6,237","6,342","4,456","10,530","7,457","4,990","6,751","9,134","9,961","6,195","5,384","7,115","1,187","10,471"
2021년02월_여_0~9세,"7,255",53,"1,270",430,345,137,759,652,177,411,462,526,416,260,407,33,917
