,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2020년12월_계_총인구수,"440,263","4,971","23,524","4,256","19,399","20,393","9,572","11,140","9,175","8,649","18,533","7,667","28,772","6,761","36,690","37,371","22,376","25,104","36,509","17,166","26,950","29,099","12,100","24,086"
2020년12월_계_연령구간인구수,"440,263","4,971","23,524","4,256","19,399","20,393","9,572","11,140","9,175","8,649","18,533","7,667","28,772","6,761","36,690","37,371","22,376","25,104","36,509","17,166","26,950","29,099","12,100","24,086"
2020년12월_계_0~9세,"34,031",341,"2,384",174,"2,244","1,735",257,611,294,314,"1,210",178,"2,261",319,"3,537","4,565","1,377","1,639","2,700",970,"1,714","2,365",625,"2,217"
2020년12월_계_10~19세,"43,304",362,"2,055",216,"2,265","2,280",476,909,457,491,"1,176",352,"3,032",428,"3,963","3,161","1,773","2,511","5,047","1,605","2,485","4,463",628,"3,169"
2020년12월_계_20~29세,"62,136",562,"2,870",482,"2,142","2,434","1,033","1,657","2,559","1,284","2,908","2,364","4,143",750,"4,202","3,955","3,812","3,735","5,410","2,457","4,341","4,179","1,381","3,476"
2020년12월_계_30~39세,"54,010",677,"3,688",462,"2,805","2,374",749,"1,186","1,160","1,043","2,183","1,029","3,586",821,"4,873","6,461","2,647","2,784","3,489","1,644","3,094","2,863","1,579","2,813"
2020년12월_계_40~49세,"72,657",718,"4,057",489,"3,719","3,507","1,155","1,480","1,054","1,030","2,672",824,"4,687",912,"7,036","6,442","3,182","4,012","6,875","2,561","3,811","6,092","1,625","4,717"
2020년12월_계_50~59세,"78,202",798,"3,264",921,"2,806","3,493","1,930","2,295","1,297","1,578","2,965","1,202","5,112","1,245","6,219","5,914","4,229","4,753","7,201","3,551","5,450","5,393","2,409","4,177"
2020년12월_계_60~69세,"53,923",785,"2,670",886,"1,883","2,368","2,001","1,699","1,218","1,575","2,726","1,017","3,611","1,263","4,120","4,231","3,060","3,306","3,314","2,611","3,566","1,969","2,194","1,850"
2020년12월_계_70~79세,"28,316",500,"1,623",429,"1,040","1,489","1,325",889,757,922,"1,762",483,"1,543",698,"1,972","1,883","1,501","1,657","1,629","1,135","1,595","1,141","1,250","1,093"
2020년12월_계_80~89세,"12,187",193,790,166,440,647,598,370,337,373,804,194,689,300,676,673,708,621,751,576,812,597,362,510
2020년12월_계_90~99세,"1,403",30,111,30,50,61,43,43,39,39,110,23,103,24,90,81,85,84,91,53,76,36,39,62
2020년12월_계_100세 이상,94,5,12,1,5,5,5,1,3,0,17,1,5,1,2,5,2,2,2,3,6,1,8,2
2020년12월_남_총인구수,"219,197","2,401","11,338","2,273","9,383","9,881","4,747","5,488","4,733","4,503","9,347","4,200","14,246","3,377","18,705","18,639","11,218","12,299","18,035","8,615","13,418","14,151","6,293","11,907"
2020년12월_남_연령구간인구수,"219,197","2,401","11,338","2,273","9,383","9,881","4,747","5,488","4,733","4,503","9,347","4,200","14,246","3,377","18,705","18,639","11,218","12,299","18,035","8,615","13,418","14,151","6,293","11,907"
2020년12월_남_0~9세,"17,393",164,"1,167",90,"1,127",906,131,315,152,167,592,98,"1,163",168,"1,860","2,333",700,853,"1,341",495,887,"1,229",305,"1,150"
2020년12월_남_10~19세,"22,530",174,"1,038",128,"1,154","1,160",250,465,238,274,598,182,"1,582",222,"2,039","1,608",956,"1,330","2,660",836,"1,353","2,315",317,"1,651"
2020년12월_남_20~29세,"33,686",288,"1,391",278,"1,108","1,303",607,930,"1,379",734,"1,746","1,438","2,301",438,"2,231","2,133","2,016","1,952","2,914","1,374","2,359","2,223",760,"1,783"
2020년12월_남_30~39세,"28,245",353,"1,837",269,"1,317","1,173",443,653,710,638,"1,225",631,"1,845",467,"2,493","3,276","1,458","1,478","1,760",913,"1,655","1,354",910,"1,387"
2020년12월_남_40~49세,"35,656",388,"2,008",288,"1,792","1,638",651,712,597,576,"1,406",471,"2,215",493,"3,588","3,325","1,585","1,949","3,150","1,242","1,771","2,657",907,"2,247"
2020년12월_남_50~59세,"38,749",415,"1,601",476,"1,372","1,710",988,"1,076",648,815,"1,470",592,"2,422",596,"3,269","2,848","2,044","2,260","3,586","1,745","2,596","2,764","1,271","2,185"
2020년12월_남_60~69세,"26,209",336,"1,287",478,872,"1,111",957,817,563,717,"1,268",503,"1,770",584,"2,048","2,080","1,523","1,524","1,694","1,309","1,808",985,"1,082",893
2020년12월_남_70~79세,"12,160",218,683,202,449,639,504,387,315,427,733,206,688,297,916,816,651,713,669,506,694,412,589,446
2020년12월_남_80~89세,"4,256",56,296,53,173,229,206,120,119,149,280,74,248,108,246,210,265,226,242,185,277,202,138,154
2020년12월_남_90~99세,292,7,28,10,19,12,8,13,12,6,23,4,11,4,14,9,20,14,19,10,17,9,12,11
2020년12월_남_100세 이상,21,2,2,1,0,0,2,0,0,0,6,1,1,0,1,1,0,0,0,0,1,1,2,0
2020년12월_여_총인구수,"221,066","2,570","12,186","1,983","10,016","10,512","4,825","5,652","4,442","4,146","9,186","3,467","14,526","3,384","17,985","18,732","11,158","12,805","18,474","8,551","13,532","14,948","5,807","12,179"
2020년12월_여_연령구간인구수,"221,066","2,570","12,186","1,983","10,016","10,512","4,825","5,652","4,442","4,146","9,186","3,467","14,526","3,384","17,985","18,732","11,158","12,805","18,474","8,551","13,532","14,948","5,807","12,179"
2020년12월_여_0~9세,"16,638",177,"1,217",84,"1,117",829,126,296,142,147,618,80,"1,098",151,"1,677","2,232",677,786,"1,359",475,827,"1,136",320,"1,067"
2020년12월_여_10~19세,"20,774",188,"1,017",88,"1,111","1,120",226,444,219,217,578,170,"1,450",206,"1,924","1,553",817,"1,181","2,387",769,"1,132","2,148",311,"1,518"
2020년12월_여_20~29세,"28,450",274,"1,479",204,"1,034","1,131",426,727,"1,180",550,"1,162",926,"1,842",312,"1,971","1,822","1,796","1,783","2,496","1,083","1,982","1,956",621,"1,693"
2020년12월_여_30~39세,"25,765",324,"1,851",193,"1,488","1,201",306,533,450,405,958,398,"1,741",354,"2,380","3,185","1,189","1,306","1,729",731,"1,439","1,509",669,"1,426"
2020년12월_여_40~49세,"37,001",330,"2,049",201,"1,927","1,869",504,768,457,454,"1,266",353,"2,472",419,"3,448","3,117","1,597","2,063","3,725","1,319","2,040","3,435",718,"2,470"
2020년12월_여_50~59세,"39,453",383,"1,663",445,"1,434","1,783",942,"1,219",649,763,"1,495",610,"2,690",649,"2,950","3,066","2,185","2,493","3,615","1,806","2,854","2,629","1,138","1,992"
2020년12월_여_60~69세,"27,714",449,"1,383",408,"1,011","1,257","1,044",882,655,858,"1,458",514,"1,841",679,"2,072","2,151","1,537","1,782","1,620","1,302","1,758",984,"1,112",957
2020년12월_여_70~79세,"16,156",282,940,227,591,850,821,502,442,495,"1,029",277,855,401,"1,056","1,067",850,944,960,629,901,729,661,647
2020년12월_여_80~89세,"7,931",137,494,113,267,418,392,250,218,224,524,120,441,192,430,463,443,395,509,391,535,395,224,356
2020년12월_여_90~99세,"1,111",23,83,20,31,49,35,30,27,33,87,19,92,20,76,72,65,70,72,43,59,27,27,51
2020년12월_여_100세 이상,73,3,10,0,5,5,3,1,3,0,11,0,4,1,1,4,2,2,2,3,5,0,6,2
