,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2021년09월_계_총인구수,"419,536","17,150","15,634","16,332","20,005","22,926","11,056","19,896","18,091","11,965","14,850","23,926","10,994","11,048","16,355","12,625","14,133","22,074","18,859","11,411","17,230","30,814","28,747","33,415"
2021년09월_계_연령구간인구수,"419,536","17,150","15,634","16,332","20,005","22,926","11,056","19,896","18,091","11,965","14,850","23,926","10,994","11,048","16,355","12,625","14,133","22,074","18,859","11,411","17,230","30,814","28,747","33,415"
2021년09월_계_0~9세,"29,054","1,659","1,032","1,893","1,640","1,744",486,"1,275","1,175","1,002",808,"2,011",525,709,943,952,851,918,"1,026",347,"1,268","2,127","2,300","2,363"
2021년09월_계_10~19세,"49,635","2,186","1,775","2,040","4,483","2,402","1,076","3,834","2,155","1,690","1,395","4,003",822,707,"1,273",970,"1,126","1,766","1,764",607,"1,857","4,498","3,187","4,019"
2021년09월_계_20~29세,"53,657","1,982","2,235","2,043","1,943","2,896","1,787","2,481","2,103","1,256","2,026","2,681","1,738","1,402","1,993","1,180","2,143","3,178","2,478","1,275","2,089","4,231","3,886","4,631"
2021년09월_계_30~39세,"42,288","1,935","1,981","2,028","1,308","2,315","1,163","1,299","1,544","1,053","1,436","1,868","1,361","1,443","1,921","1,448","1,901","2,232","1,864",910,"1,800","2,778","3,318","3,382"
2021년09월_계_40~49세,"70,717","3,140","2,641","3,247","4,964","3,576","1,580","4,343","3,000","2,331","2,096","4,687","1,720","1,770","2,426","1,866","2,244","2,984","2,733","1,255","2,819","5,360","4,599","5,336"
2021년09월_계_50~59세,"74,773","2,830","2,684","2,634","2,992","4,098","2,085","3,450","3,175","1,879","2,911","4,253","1,886","1,899","2,794","2,060","2,754","4,152","3,570","2,107","3,106","5,749","5,066","6,639"
2021년09월_계_60~69세,"53,867","1,740","1,808","1,335","1,415","3,105","1,548","1,707","2,330","1,445","2,186","2,526","1,523","1,674","2,695","2,164","1,844","3,593","3,010","2,432","2,644","3,561","3,629","3,953"
2021년09월_계_70~79세,"29,015","1,075",986,739,820,"1,755",842,"1,000","1,619",862,"1,228","1,193",965,944,"1,490","1,331",835,"2,074","1,483","1,538","1,109","1,551","1,717","1,859"
