,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년12월_계_총인구수,"3,350,380","40,524","105,164","87,679","110,638","353,159","266,866","262,069","283,211","396,438","306,003","228,049","142,918","207,144","175,095","208,298","177,125"
2021년12월_계_연령구간인구수,"3,350,380","40,524","105,164","87,679","110,638","353,159","266,866","262,069","283,211","396,438","306,003","228,049","142,918","207,144","175,095","208,298","177,125"
2021년12월_계_0~9세,"219,611","1,117","5,310","3,964","4,874","20,097","18,726","16,611","18,340","27,097","18,330","12,089","19,700","13,970","9,838","11,268","18,280"
2021년12월_계_10~19세,"266,105","1,872","7,082","4,824","7,042","24,034","24,522","22,527","22,445","36,918","24,510","17,215","12,957","16,236","11,464","14,409","18,048"
2021년12월_계_20~29세,"415,549","5,839","13,028","10,278","11,465","50,989","31,201","34,143","35,666","46,850","38,220","32,019","12,565","24,911","23,723","27,690","16,962"
2021년12월_계_30~39세,"405,300","4,477","10,552","10,400","10,253","47,020","31,643","28,193","33,678","45,120","34,919","24,174","26,821","26,303","23,505","24,248","23,994"
2021년12월_계_40~49세,"502,391","5,118","14,164","11,575","14,550","50,121","42,507","40,440","39,791","63,976","44,747","31,261","26,072","31,562","24,951","28,452","33,104"
2021년12월_계_50~59세,"554,768","6,722","17,090","14,296","18,600","56,616","43,330","42,202","52,430","69,405","53,211","39,018","17,201","33,531","27,141","38,940","25,035"
2021년12월_계_60~69세,"548,878","7,918","19,315","16,111","22,346","57,250","42,034","41,484","48,637","60,122","53,340","39,694","17,050","33,606","29,010","38,474","22,487"
2021년12월_계_70~79세,"298,128","4,962","12,232","10,677","14,549","31,720","22,835","25,136","22,196","31,233","26,964","21,942","7,224","18,582","17,297","17,718","12,861"
2021년12월_계_80~89세,"123,791","2,169","5,659","4,935","6,222","13,738","8,917","10,112","8,898","13,822","10,369","9,406","2,845","7,528","7,213","6,422","5,536"
2021년12월_계_90~99세,"15,457",323,714,604,710,"1,549","1,123","1,191","1,107","1,840","1,367","1,201",471,889,924,657,787
2021년12월_계_100세 이상,402,7,18,15,27,25,28,30,23,55,26,30,12,26,29,20,31
2021년12월_남_총인구수,"1,639,044","19,755","50,853","42,877","54,471","170,181","129,681","127,955","139,795","190,624","152,197","111,513","74,047","99,761","82,609","105,034","87,691"
2021년12월_남_연령구간인구수,"1,639,044","19,755","50,853","42,877","54,471","170,181","129,681","127,955","139,795","190,624","152,197","111,513","74,047","99,761","82,609","105,034","87,691"
2021년12월_남_0~9세,"112,744",590,"2,773","2,106","2,482","10,192","9,688","8,466","9,420","13,979","9,456","6,205","10,224","7,045","5,039","5,771","9,308"
2021년12월_남_10~19세,"137,079",937,"3,623","2,494","3,576","12,174","12,748","11,605","11,687","19,015","12,649","8,876","6,589","8,352","5,920","7,483","9,351"
2021년12월_남_20~29세,"215,370","2,836","6,301","5,156","6,285","24,653","16,241","17,963","19,066","24,443","20,497","17,291","6,857","12,631","11,423","14,717","9,010"
2021년12월_남_30~39세,"207,947","2,411","5,424","5,476","5,538","24,003","15,926","14,503","17,618","22,146","18,564","12,685","13,637","13,228","11,711","13,115","11,962"
2021년12월_남_40~49세,"253,509","2,808","7,323","6,242","7,616","25,405","20,819","20,282","19,832","30,527","22,955","15,550","14,461","15,562","12,308","14,973","16,846"
2021년12월_남_50~59세,"270,303","3,417","8,809","7,370","9,594","27,521","20,704","20,677","24,734","32,997","26,129","18,643","8,978","15,861","12,605","19,433","12,831"
2021년12월_남_60~69세,"258,914","3,770","9,021","7,572","10,680","26,771","19,392","19,089","23,932","28,243","25,583","18,522","8,596","15,459","12,834","19,041","10,409"
2021년12월_남_70~79세,"134,692","2,129","5,356","4,625","6,367","14,130","10,472","11,187","10,211","13,911","12,422","10,001","3,619","8,479","7,725","8,176","5,882"
2021년12월_남_80~89세,"45,094",777,"2,085","1,690","2,186","4,986","3,432","3,917","3,085","4,939","3,678","3,468",990,"2,938","2,791","2,211","1,921"
2021년12월_남_90~99세,"3,330",80,133,143,145,343,255,261,208,410,260,270,94,201,246,112,169
2021년12월_남_100세 이상,62,0,5,3,2,3,4,5,2,14,4,2,2,5,7,2,2
2021년12월_여_총인구수,"1,711,336","20,769","54,311","44,802","56,167","182,978","137,185","134,114","143,416","205,814","153,806","116,536","68,871","107,383","92,486","103,264","89,434"
2021년12월_여_연령구간인구수,"1,711,336","20,769","54,311","44,802","56,167","182,978","137,185","134,114","143,416","205,814","153,806","116,536","68,871","107,383","92,486","103,264","89,434"
2021년12월_여_0~9세,"106,867",527,"2,537","1,858","2,392","9,905","9,038","8,145","8,920","13,118","8,874","5,884","9,476","6,925","4,799","5,497","8,972"
2021년12월_여_10~19세,"129,026",935,"3,459","2,330","3,466","11,860","11,774","10,922","10,758","17,903","11,861","8,339","6,368","7,884","5,544","6,926","8,697"
2021년12월_여_20~29세,"200,179","3,003","6,727","5,122","5,180","26,336","14,960","16,180","16,600","22,407","17,723","14,728","5,708","12,280","12,300","12,973","7,952"
2021년12월_여_30~39세,"197,353","2,066","5,128","4,924","4,715","23,017","15,717","13,690","16,060","22,974","16,355","11,489","13,184","13,075","11,794","11,133","12,032"
2021년12월_여_40~49세,"248,882","2,310","6,841","5,333","6,934","24,716","21,688","20,158","19,959","33,449","21,792","15,711","11,611","16,000","12,643","13,479","16,258"
2021년12월_여_50~59세,"284,465","3,305","8,281","6,926","9,006","29,095","22,626","21,525","27,696","36,408","27,082","20,375","8,223","17,670","14,536","19,507","12,204"
2021년12월_여_60~69세,"289,964","4,148","10,294","8,539","11,666","30,479","22,642","22,395","24,705","31,879","27,757","21,172","8,454","18,147","16,176","19,433","12,078"
2021년12월_여_70~79세,"163,436","2,833","6,876","6,052","8,182","17,590","12,363","13,949","11,985","17,322","14,542","11,941","3,605","10,103","9,572","9,542","6,979"
2021년12월_여_80~89세,"78,697","1,392","3,574","3,245","4,036","8,752","5,485","6,195","5,813","8,883","6,691","5,938","1,855","4,590","4,422","4,211","3,615"
2021년12월_여_90~99세,"12,127",243,581,461,565,"1,206",868,930,899,"1,430","1,107",931,377,688,678,545,618
2021년12월_여_100세 이상,340,7,13,12,25,22,24,25,21,41,22,28,10,21,22,18,29
