카테고리,강원도 고성군,강원도 고성군 간성읍,강원도 고성군 거진읍,강원도 고성군 현내면,강원도 고성군 죽왕면,강원도 고성군 토성면,강원도 고성군 수동면
2020년02월_계_총인구수,"27,080","7,153","6,469","2,431","3,820","7,207",0
2020년02월_계_연령구간인구수,"27,080","7,153","6,469","2,431","3,820","7,207",0
2020년02월_계_0~9세,"1,312",568,237,59,169,279,0
2020년02월_계_10~19세,"1,745",619,387,118,199,422,0
2020년02월_계_20~29세,"3,072",951,573,181,427,940,0
2020년02월_계_30~39세,"2,218",806,379,149,315,569,0
2020년02월_계_40~49세,"3,178",947,691,219,416,905,0
2020년02월_계_50~59세,"4,964","1,185","1,185",463,729,"1,402",0
2020년02월_계_60~69세,"4,940",987,"1,342",566,700,"1,345",0
2020년02월_계_70~79세,"3,567",673,"1,043",435,539,877,0
2020년02월_계_80~89세,"1,737",339,514,210,284,390,0
2020년02월_계_90~99세,331,72,114,31,39,75,0
2020년02월_계_100세 이상,16,6,4,0,3,3,0
2020년02월_남_총인구수,"13,999","3,741","3,234","1,192","1,988","3,844",0
2020년02월_남_연령구간인구수,"13,999","3,741","3,234","1,192","1,988","3,844",0
2020년02월_남_0~9세,670,296,120,28,80,146,0
2020년02월_남_10~19세,947,345,201,70,104,227,0
2020년02월_남_20~29세,"1,950",587,373,103,266,621,0
2020년02월_남_30~39세,"1,264",430,213,87,197,337,0
2020년02월_남_40~49세,"1,794",517,382,139,243,513,0
2020년02월_남_50~59세,"2,657",622,645,237,383,770,0
2020년02월_남_60~69세,"2,521",502,667,283,368,701,0
2020년02월_남_70~79세,"1,540",315,439,179,235,372,0
2020년02월_남_80~89세,576,107,165,60,103,141,0
2020년02월_남_90~99세,77,19,29,6,9,14,0
2020년02월_남_100세 이상,3,1,0,0,0,2,0
2020년02월_여_총인구수,"13,081","3,412","3,235","1,239","1,832","3,363",0
2020년02월_여_연령구간인구수,"13,081","3,412","3,235","1,239","1,832","3,363",0
2020년02월_여_0~9세,642,272,117,31,89,133,0
2020년02월_여_10~19세,798,274,186,48,95,195,0
2020년02월_여_20~29세,"1,122",364,200,78,161,319,0
2020년02월_여_30~39세,954,376,166,62,118,232,0
2020년02월_여_40~49세,"1,384",430,309,80,173,392,0
2020년02월_여_50~59세,"2,307",563,540,226,346,632,0
2020년02월_여_60~69세,"2,419",485,675,283,332,644,0
2020년02월_여_70~79세,"2,027",358,604,256,304,505,0
2020년02월_여_80~89세,"1,161",232,349,150,181,249,0
2020년02월_여_90~99세,254,53,85,25,30,61,0
2020년02월_여_100세 이상,13,5,4,0,3,1,0
