카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020년07월_계_총인구수,"46,040","14,297","2,846","3,237","1,276","3,669","1,931","2,853","2,661","1,899","2,444","4,533","4,394"
2020년07월_계_연령구간인구수,"46,040","14,297","2,846","3,237","1,276","3,669","1,931","2,853","2,661","1,899","2,444","4,533","4,394"
2020년07월_계_0~9세,"2,325","1,060",136,122,36,148,68,74,83,78,112,214,194
2020년07월_계_10~19세,"3,047","1,228",111,181,50,208,105,137,128,87,123,326,363
2020년07월_계_20~29세,"4,818","1,696",234,276,104,317,175,606,217,166,189,432,406
2020년07월_계_30~39세,"3,687","1,482",227,238,79,256,128,158,199,132,183,310,295
2020년07월_계_40~49세,"5,251","1,899",307,339,119,380,179,232,261,181,248,564,542
2020년07월_계_50~59세,"8,138","2,259",522,633,251,704,398,439,454,353,464,847,814
2020년07월_계_60~69세,"8,035","2,077",569,646,269,687,375,472,541,394,478,802,725
2020년07월_계_70~79세,"6,331","1,592",453,500,204,561,289,409,434,320,399,574,596
2020년07월_계_80~89세,"3,782",850,246,254,136,363,183,281,291,161,221,394,402
2020년07월_계_90~99세,595,144,40,45,27,40,30,44,50,25,26,67,57
2020년07월_계_100세 이상,31,10,1,3,1,5,1,1,3,2,1,3,0
2020년07월_남_총인구수,"23,422","7,255","1,442","1,644",642,"1,879",992,"1,624","1,349",939,"1,210","2,271","2,175"
2020년07월_남_연령구간인구수,"23,422","7,255","1,442","1,644",642,"1,879",992,"1,624","1,349",939,"1,210","2,271","2,175"
2020년07월_남_0~9세,"1,163",516,66,59,14,83,40,35,44,46,52,111,97
2020년07월_남_10~19세,"1,586",647,57,91,23,106,59,88,66,43,59,178,169
2020년07월_남_20~29세,"2,884",970,126,152,59,185,98,515,125,84,95,238,237
2020년07월_남_30~39세,"1,949",775,120,134,41,141,70,88,115,59,88,166,152
2020년07월_남_40~49세,"3,047","1,052",196,199,70,229,101,139,177,114,156,305,309
2020년07월_남_50~59세,"4,504","1,213",296,347,146,391,213,244,253,188,264,480,469
2020년07월_남_60~69세,"4,150","1,041",288,358,146,365,217,237,269,199,236,414,380
2020년07월_남_70~79세,"2,799",710,201,216,88,245,127,183,195,143,194,255,242
2020년07월_남_80~89세,"1,208",299,82,78,47,123,63,87,96,53,63,106,111
2020년07월_남_90~99세,129,31,10,10,8,10,4,8,9,10,3,17,9
2020년07월_남_100세 이상,3,1,0,0,0,1,0,0,0,0,0,1,0
2020년07월_여_총인구수,"22,618","7,042","1,404","1,593",634,"1,790",939,"1,229","1,312",960,"1,234","2,262","2,219"
2020년07월_여_연령구간인구수,"22,618","7,042","1,404","1,593",634,"1,790",939,"1,229","1,312",960,"1,234","2,262","2,219"
2020년07월_여_0~9세,"1,162",544,70,63,22,65,28,39,39,32,60,103,97
2020년07월_여_10~19세,"1,461",581,54,90,27,102,46,49,62,44,64,148,194
2020년07월_여_20~29세,"1,934",726,108,124,45,132,77,91,92,82,94,194,169
2020년07월_여_30~39세,"1,738",707,107,104,38,115,58,70,84,73,95,144,143
2020년07월_여_40~49세,"2,204",847,111,140,49,151,78,93,84,67,92,259,233
2020년07월_여_50~59세,"3,634","1,046",226,286,105,313,185,195,201,165,200,367,345
2020년07월_여_60~69세,"3,885","1,036",281,288,123,322,158,235,272,195,242,388,345
2020년07월_여_70~79세,"3,532",882,252,284,116,316,162,226,239,177,205,319,354
2020년07월_여_80~89세,"2,574",551,164,176,89,240,120,194,195,108,158,288,291
2020년07월_여_90~99세,466,113,30,35,19,30,26,36,41,15,23,50,48
2020년07월_여_100세 이상,28,9,1,3,1,4,1,1,3,2,1,2,0
