,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2021년04월_계_총인구수,"32,211","14,897","1,890","1,470","2,170","1,644","2,281","1,895",745,"1,751","1,680","1,788"
2021년04월_계_연령구간인구수,"32,211","14,897","1,890","1,470","2,170","1,644","2,281","1,895",745,"1,751","1,680","1,788"
2021년04월_계_0~9세,"1,420",990,29,80,51,23,61,46,23,49,35,33
2021년04월_계_10~19세,"2,073","1,313",89,75,94,55,119,90,23,66,70,79
2021년04월_계_20~29세,"2,346","1,391",121,105,82,82,152,109,25,85,93,101
2021년04월_계_30~39세,"2,120","1,279",83,139,84,67,155,91,18,55,75,74
2021년04월_계_40~49세,"3,260","1,932",153,159,152,106,189,149,55,112,109,144
2021년04월_계_50~59세,"5,751","2,668",382,249,367,251,381,315,131,328,332,347
2021년04월_계_60~69세,"7,044","2,624",498,286,564,427,538,518,234,466,418,471
2021년04월_계_70~79세,"4,531","1,549",341,196,428,332,375,297,137,316,286,274
2021년04월_계_80~89세,"3,153",994,156,156,305,269,284,237,85,232,215,220
2021년04월_계_90~99세,498,151,37,24,41,32,26,42,14,41,46,44
2021년04월_계_100세 이상,15,6,1,1,2,0,1,1,0,1,1,1
2021년04월_남_총인구수,"16,246","7,430",990,784,"1,036",805,"1,151",954,403,873,870,950
2021년04월_남_연령구간인구수,"16,246","7,430",990,784,"1,036",805,"1,151",954,403,873,870,950
2021년04월_남_0~9세,726,493,16,43,26,14,30,26,13,25,19,21
2021년04월_남_10~19세,"1,113",707,47,34,49,31,65,43,13,34,42,48
2021년04월_남_20~29세,"1,382",794,81,75,43,48,91,59,13,53,62,63
2021년04월_남_30~39세,"1,174",651,55,87,49,41,106,56,11,28,41,49
2021년04월_남_40~49세,"1,812","1,013",95,93,92,67,116,83,36,79,63,75
2021년04월_남_50~59세,"3,178","1,416",210,155,201,148,212,176,81,189,192,198
2021년04월_남_60~69세,"3,636","1,292",270,142,286,206,267,291,129,242,241,270
2021년04월_남_70~79세,"2,052",689,146,94,184,149,164,140,76,147,122,141
2021년04월_남_80~89세,"1,068",341,62,55,94,92,97,78,30,70,76,73
2021년04월_남_90~99세,105,34,8,6,12,9,3,2,1,6,12,12
2021년04월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"15,965","7,467",900,686,"1,134",839,"1,130",941,342,878,810,838
2021년04월_여_연령구간인구수,"15,965","7,467",900,686,"1,134",839,"1,130",941,342,878,810,838
2021년04월_여_0~9세,694,497,13,37,25,9,31,20,10,24,16,12
2021년04월_여_10~19세,960,606,42,41,45,24,54,47,10,32,28,31
2021년04월_여_20~29세,964,597,40,30,39,34,61,50,12,32,31,38
2021년04월_여_30~39세,946,628,28,52,35,26,49,35,7,27,34,25
2021년04월_여_40~49세,"1,448",919,58,66,60,39,73,66,19,33,46,69
2021년04월_여_50~59세,"2,573","1,252",172,94,166,103,169,139,50,139,140,149
2021년04월_여_60~69세,"3,408","1,332",228,144,278,221,271,227,105,224,177,201
2021년04월_여_70~79세,"2,479",860,195,102,244,183,211,157,61,169,164,133
2021년04월_여_80~89세,"2,085",653,94,101,211,177,187,159,55,162,139,147
2021년04월_여_90~99세,393,117,29,18,29,23,23,40,13,35,34,32
2021년04월_여_100세 이상,15,6,1,1,2,0,1,1,0,1,1,1
